ts,backend,kv_cache_usage_perc,interval_hit_rate,interval_queries,interval_hits,cum_prefix_cache_queries,cum_prefix_cache_hits,num_requests_running,num_requests_waiting,active_program_tokens,reasoning_program_tokens,acting_program_tokens,capacity_overflow
1789511369.8,http://10.100.15.12:8000,0.0,,0,0,1157397354,1062380960,0,0,0,0,0,0
1789511369.8,http://10.100.2.5:8000,0.0,,0,0,24347,19568,0,0,0,0,0,0
1789511369.8,http://10.100.2.6:8000,0.0,,0,0,23931,18880,0,0,0,0,0,0
1789511369.8,http://10.100.3.5:8000,0.0,,0,0,24039,19008,0,0,0,0,0,0
1789511371.8,http://10.100.15.12:8000,0.0,,0,0,1157397354,1062380960,0,0,56076,56076,0,0
1789511371.8,http://10.100.2.5:8000,0.0,,0,0,24347,19568,0,0,0,0,0,0
1789511371.8,http://10.100.2.6:8000,0.0,,0,0,23931,18880,0,0,0,0,0,0
1789511371.8,http://10.100.3.5:8000,0.0,,0,0,24039,19008,0,0,0,0,0,0
1789511373.9,http://10.100.15.12:8000,0.0,,0,0,1157397354,1062380960,0,0,448289,448289,0,0
1789511373.9,http://10.100.2.5:8000,0.0,,0,0,24347,19568,0,0,448288,448288,0,0
1789511373.9,http://10.100.2.6:8000,0.0,,0,0,23931,18880,0,0,448390,448390,0,0
1789511373.9,http://10.100.3.5:8000,0.0,,0,0,24039,19008,0,0,448489,448489,0,0
1789511375.9,http://10.100.15.12:8000,0.0624,0.0017,183794,320,1157581148,1062381280,3,12,952735,952735,0,0
1789511375.9,http://10.100.2.5:8000,0.0623,0.0,183507,0,207854,19568,3,12,896814,896814,0,0
1789511375.9,http://10.100.2.6:8000,0.0588,0.0018,183657,336,207588,19216,3,11,896718,896718,0,0
1789511375.9,http://10.100.3.5:8000,0.0586,0.0,183767,0,207806,19008,3,10,896768,896768,0,0
1789511377.9,http://10.100.15.12:8000,0.0624,,0,0,1157581148,1062381280,3,12,1401104,1401104,0,0
1789511377.9,http://10.100.2.5:8000,0.0623,,0,0,207854,19568,3,12,1345089,1345089,0,0
1789511377.9,http://10.100.2.6:8000,0.0588,,0,0,207588,19216,3,11,1345045,1345045,0,0
1789511377.9,http://10.100.3.5:8000,0.0586,,0,0,207806,19008,3,10,1345291,1345291,0,0
1789511379.9,http://10.100.15.12:8000,0.0973,0.0,122594,0,1157703742,1062381280,4,26,1798452,1737142,61310,0
1789511379.9,http://10.100.2.5:8000,0.1135,0.0,122411,0,330265,19568,5,23,1794435,1794435,0,0
1789511379.9,http://10.100.2.6:8000,0.1137,0.0,122377,0,329965,19216,5,23,1850277,1850277,0,0
1789511379.9,http://10.100.3.5:8000,0.1099,0.0,122672,0,330478,19008,5,22,1794602,1794602,0,0
1789511381.9,http://10.100.15.12:8000,0.1082,,0,0,1157703742,1062381280,4,28,2194141,2194141,0,0
1789511381.9,http://10.100.2.5:8000,0.1355,,0,0,330265,19568,5,28,2196033,2196033,0,0
1789511381.9,http://10.100.2.6:8000,0.1357,,0,0,329965,19216,5,29,2193417,2193417,0,0
1789511381.9,http://10.100.3.5:8000,0.1355,,0,0,330478,19008,5,28,2195198,2195198,0,0
1789511384.0,http://10.100.15.12:8000,0.1082,,0,0,1157703742,1062381280,4,28,2197918,2197918,0,0
1789511384.0,http://10.100.2.5:8000,0.1355,,0,0,330265,19568,5,28,2199805,2199805,0,0
1789511384.0,http://10.100.2.6:8000,0.1357,,0,0,329965,19216,5,29,2197199,2197199,0,0
1789511384.0,http://10.100.3.5:8000,0.1355,,0,0,330478,19008,5,28,2198979,2198979,0,0
1789511386.0,http://10.100.15.12:8000,0.1304,0.0,183711,0,1157887453,1062381280,5,33,2203426,2141914,61512,0
1789511386.0,http://10.100.2.5:8000,0.1303,0.0,183660,0,513925,19568,5,34,2204055,2204055,0,0
1789511386.0,http://10.100.2.6:8000,0.1578,0.0,183272,0,513237,19216,6,33,2201232,2201232,0,0
1789511386.0,http://10.100.3.5:8000,0.1814,0.0,183809,0,514287,19008,7,32,2198979,2198979,0,0
1789511388.0,http://10.100.15.12:8000,0.1304,,0,0,1157887453,1062381280,5,33,2207209,2207209,0,0
1789511388.0,http://10.100.2.5:8000,0.1303,,0,0,513925,19568,5,34,2204055,2204055,0,0
1789511388.0,http://10.100.2.6:8000,0.1578,,0,0,513237,19216,6,33,2206147,2206147,0,0
1789511388.0,http://10.100.3.5:8000,0.1814,,0,0,514287,19008,7,32,2208653,2208653,0,0
1789511390.0,http://10.100.15.12:8000,0.1616,0.0,122394,0,1158009847,1062381280,6,33,2207209,2207209,0,0
1789511390.0,http://10.100.2.5:8000,0.1542,0.0,122241,0,636166,19568,6,32,2209118,2209118,0,0
1789511390.0,http://10.100.2.6:8000,0.1269,0.0,122278,0,635515,19216,5,32,2216290,2216290,0,0
1789511390.0,http://10.100.3.5:8000,0.1778,0.0,122385,0,636672,19008,7,32,2208653,2208653,0,0
1789511392.0,http://10.100.15.12:8000,0.1488,0.0,61051,0,1158070898,1062381280,6,32,2212373,2212373,0,0
1789511392.0,http://10.100.2.5:8000,0.1762,0.0,61122,0,697288,19568,7,32,2214373,2214373,0,0
1789511392.0,http://10.100.2.6:8000,0.1179,0.0,61200,0,696715,19216,5,33,2221444,2221444,0,0
1789511392.0,http://10.100.3.5:8000,0.1998,0.0,61303,0,697975,19008,8,31,2213942,2213942,0,0
1789511394.1,http://10.100.15.12:8000,0.1488,,0,0,1158070898,1062381280,6,32,2217618,2217618,0,0
1789511394.1,http://10.100.2.5:8000,0.1762,,0,0,697288,19568,7,32,2224848,2224848,0,0
1789511394.1,http://10.100.2.6:8000,0.1179,,0,0,696715,19216,5,33,2226670,2226670,0,0
1789511394.1,http://10.100.3.5:8000,0.1998,,0,0,697975,19008,8,31,2219184,2219184,0,0
1789511396.1,http://10.100.15.12:8000,0.191,0.0,122479,0,1158193377,1062381280,7,32,2222975,2161631,61344,0
1789511396.1,http://10.100.2.5:8000,0.1089,0.0,122493,0,819781,19568,4,35,2235286,2235286,0,2146
1789511396.1,http://10.100.2.6:8000,0.1092,0.0,122276,0,818991,19216,4,33,2175887,2175887,0,0
1789511396.1,http://10.100.3.5:8000,0.1633,0.0,122267,0,820242,19008,6,33,2229681,2229681,0,0
1789511398.1,http://10.100.15.12:8000,0.191,,0,0,1158193377,1062381280,7,32,2228186,2228186,0,0
1789511398.1,http://10.100.2.5:8000,0.1089,,0,0,819781,19568,4,35,2235286,2235286,0,2146
1789511398.1,http://10.100.2.6:8000,0.1092,,0,0,818991,19216,4,33,2175887,2175887,0,0
1789511398.1,http://10.100.3.5:8000,0.1633,,0,0,820242,19008,6,33,2240239,2240239,0,7099
1789511400.1,http://10.100.15.12:8000,0.1363,0.0,122419,0,1158315796,1062381280,5,34,2238746,2238746,0,5606
1789511400.1,http://10.100.2.5:8000,0.1602,0.0,122404,0,942185,19568,6,33,2235286,2235286,0,2146
1789511400.1,http://10.100.2.6:8000,0.1605,0.0,122310,0,941301,19216,6,32,2181123,2181123,0,0
1789511400.1,http://10.100.3.5:8000,0.1325,0.0,122222,0,942464,19008,5,33,2245485,2245485,0,12345
1789511402.1,http://10.100.15.12:8000,0.131,0.0,61157,0,1158376953,1062381280,5,33,2187975,2126649,61326,0
1789511402.1,http://10.100.2.5:8000,0.1311,0.0,61264,0,1003449,19568,5,32,2184487,2184487,0,0
1789511402.1,http://10.100.2.6:8000,0.1551,0.0,61189,0,1002490,19216,6,32,2181123,2181123,0,0
1789511402.1,http://10.100.3.5:8000,0.127,0.0,61324,0,1003788,19008,5,33,2250726,2250726,0,17586
1789511404.1,http://10.100.15.12:8000,0.131,,0,0,1158376953,1062381280,5,33,2187995,2187995,0,0
1789511404.1,http://10.100.2.5:8000,0.1311,,0,0,1003449,19568,5,32,2128379,2128379,0,0
1789511404.1,http://10.100.2.6:8000,0.1551,,0,0,1002490,19216,6,32,2186353,2186353,0,0
1789511404.1,http://10.100.3.5:8000,0.127,,0,0,1003788,19008,5,33,2194652,2194652,0,0
1789511406.2,http://10.100.15.12:8000,0.1495,0.0,183847,0,1158560800,1062381280,6,31,2193227,2193227,0,0
1789511406.2,http://10.100.2.5:8000,0.1496,0.0,183419,0,1186868,19568,6,30,2194983,2194983,0,0
1789511406.2,http://10.100.2.6:8000,0.1462,0.0,183732,0,1186222,19216,6,30,2196909,2135610,61299,0
1789511406.2,http://10.100.3.5:8000,0.1456,0.0,183740,0,1187528,19008,6,31,2199853,2199853,0,0
1789511408.2,http://10.100.15.12:8000,0.1495,,0,0,1158560800,1062381280,6,31,2198450,2137158,61292,0
