ts,programs_count,reasoning_count,acting_count,paused_count
1789511369.8,0,0,0,0
1789511371.8,1,1,0,0
1789511373.9,33,33,0,0
1789511375.9,65,65,0,0
1789511377.9,97,97,0,0
1789511379.9,129,128,1,0
1789511381.9,161,161,0,5
1789511384.0,193,193,0,37
1789511386.0,225,224,1,69
1789511388.0,257,257,0,101
1789511390.0,289,289,0,133
1789511392.0,320,320,0,164
1789511394.1,320,320,0,164
1789511396.1,320,318,2,165
1789511398.1,320,320,0,165
1789511400.1,320,320,0,165
1789511402.1,320,319,1,167
1789511404.1,320,320,0,169
1789511406.2,320,318,2,168
1789511408.2,320,317,3,171
1789511410.2,320,319,1,174
1789511412.2,320,320,0,168
1789511414.2,320,320,0,169
1789511416.3,320,320,0,168
1789511418.3,320,319,1,173
1789511420.3,320,318,2,176
1789511422.3,320,319,1,171
1789511424.3,320,319,1,177
1789511426.3,320,320,0,172
1789511428.4,320,319,1,175
1789511430.4,320,320,0,177
1789511432.4,320,318,2,175
1789511434.4,320,320,0,178
1789511436.4,320,318,2,173
1789511438.5,320,319,1,175
1789511440.5,320,320,0,179
1789511442.5,320,320,0,175
1789511444.5,320,320,0,177
1789511446.5,320,319,1,176
1789511448.6,320,320,0,178
1789511450.6,320,320,0,181
1789511452.6,320,319,1,179
1789511454.6,320,319,1,184
1789511456.6,320,319,1,176
1789511458.6,320,319,1,179
1789511460.7,320,320,0,180
1789511462.7,320,319,1,178
1789511464.7,320,319,1,182
1789511466.7,320,317,3,178
1789511468.7,320,319,1,179
1789511470.8,320,318,2,184
1789511472.8,320,320,0,178
1789511474.8,320,320,0,186
1789511476.8,320,319,1,177
1789511478.8,320,318,2,182
1789511480.9,320,320,0,182
1789511482.9,320,320,0,177
1789511484.9,320,320,0,178
1789511486.9,320,319,1,176
1789511488.9,320,319,1,178
1789511491.0,320,320,0,181
1789511493.0,320,318,2,179
1789511495.0,320,318,2,180
1789511497.1,320,320,0,176
1789511499.1,320,319,1,177
1789511501.1,320,320,0,179
1789511503.1,320,320,0,179
1789511505.2,319,319,0,181
1789511507.2,319,317,2,175
1789511509.2,319,319,0,175
1789511511.2,319,319,0,176
1789511513.2,318,317,1,174
1789511515.2,318,318,0,175
1789511517.3,316,316,0,174
1789511519.3,315,313,2,174
1789511521.3,277,277,0,174
1789511523.3,276,276,0,131
1789511525.3,271,270,1,131
1789511527.4,259,256,3,119
1789511529.4,247,247,0,119
1789511531.4,242,242,0,119
1789511533.4,235,234,1,96
1789511535.4,232,232,0,96
1789511537.4,230,228,2,84
1789511539.5,224,223,1,84
1789511541.5,223,222,1,84
1789511543.5,214,213,1,75
1789511545.5,204,204,0,75
1789511547.5,198,196,2,53
1789511549.5,188,186,2,54
1789511551.6,182,182,0,55
1789511553.6,182,182,0,39
1789511555.6,180,177,3,39
1789511557.6,176,173,3,31
1789511559.6,173,171,2,31
1789511561.6,173,173,0,32
1789511563.7,171,169,2,30
1789511565.7,171,171,0,31
1789511567.7,171,171,0,26
1789511569.7,171,171,0,26
1789511571.7,171,170,1,28
1789511573.7,171,170,1,26
1789511575.7,171,171,0,28
1789511577.8,170,170,0,26
1789511579.8,170,169,1,28
1789511581.8,170,170,0,28
1789511583.8,170,170,0,26
1789511585.8,170,170,0,27
1789511587.8,169,168,1,26
1789511589.9,169,169,0,26
1789511591.9,169,167,2,28
1789511593.9,169,167,2,25
1789511595.9,169,168,1,27
1789511597.9,169,168,1,26
1789511599.9,169,168,1,27
1789511602.0,169,169,0,30
1789511604.0,168,166,2,26
1789511606.0,168,163,5,27
1789511608.0,160,157,3,22
1789511610.0,145,144,1,22
1789511612.1,142,131,11,22
1789511614.1,125,122,3,1
1789511616.1,113,106,7,1
1789511618.1,95,87,8,0
1789511620.1,64,59,5,0
1789511622.1,40,39,1,0
1789511624.2,37,35,2,0
1789511626.2,28,24,4,0
1789511628.2,22,22,0,0
1789511630.2,21,21,0,0
1789511632.2,21,21,0,0
1789511634.2,19,19,0,0
1789511636.2,19,19,0,0
1789511638.2,19,19,0,0
1789511640.3,19,19,0,0
1789511642.3,19,19,0,0
1789511644.3,19,19,0,0
1789511646.3,19,18,1,0
1789511648.3,19,17,2,0
1789511650.3,17,11,6,0
1789511652.3,0,0,0,0
1789511654.4,0,0,0,0
1789511656.4,0,0,0,0
1789511657.6,0,0,0,0
