program_id,turn,status,latency_s,prompt_tokens,completion_tokens
bench-sat-20260915-152924-s000,0,200,7.941,61284,26
bench-sat-20260915-152924-s000,1,200,67.569,61339,63
bench-sat-20260915-152924-s000,2,200,69.963,61431,62
bench-sat-20260915-152924-s001,0,200,9.418,61059,32
bench-sat-20260915-152924-s001,1,200,84.032,61120,75
bench-sat-20260915-152924-s001,2,200,58.904,61224,52
bench-sat-20260915-152924-s002,0,200,11.106,61317,38
bench-sat-20260915-152924-s002,1,200,80.571,61384,66
bench-sat-20260915-152924-s002,2,200,71.488,61479,80
bench-sat-20260915-152924-s003,0,200,14.21,61360,51
bench-sat-20260915-152924-s003,1,200,80.022,61440,68
bench-sat-20260915-152924-s003,2,200,110.294,61537,62
bench-sat-20260915-152924-s004,0,200,10.938,61301,31
bench-sat-20260915-152924-s004,1,200,76.443,61361,45
bench-sat-20260915-152924-s004,2,200,59.452,61435,53
bench-sat-20260915-152924-s005,0,200,11.977,61056,36
bench-sat-20260915-152924-s005,1,200,71.417,61121,26
bench-sat-20260915-152924-s005,2,200,47.145,61176,28
bench-sat-20260915-152924-s006,0,200,10.759,61033,31
bench-sat-20260915-152924-s006,1,200,73.941,61093,41
bench-sat-20260915-152924-s006,2,200,59.384,61163,38
bench-sat-20260915-152924-s007,0,200,11.001,61210,32
bench-sat-20260915-152924-s007,1,200,70.001,61271,25
bench-sat-20260915-152924-s007,2,200,57.485,61325,30
bench-sat-20260915-152924-s008,0,200,12.651,61147,31
bench-sat-20260915-152924-s008,1,200,77.347,61207,49
bench-sat-20260915-152924-s008,2,200,57.285,61285,80
bench-sat-20260915-152924-s009,0,200,14.686,61284,40
bench-sat-20260915-152924-s009,1,200,76.0,61353,49
bench-sat-20260915-152924-s009,2,200,57.691,61431,53
bench-sat-20260915-152924-s010,0,200,13.267,61477,35
bench-sat-20260915-152924-s010,1,200,68.826,61541,24
bench-sat-20260915-152924-s010,2,200,87.622,61594,31
bench-sat-20260915-152924-s011,0,200,14.935,61197,41
bench-sat-20260915-152924-s011,1,200,75.652,61267,49
bench-sat-20260915-152924-s011,2,200,55.908,61345,54
bench-sat-20260915-152924-s012,0,200,20.054,61205,55
bench-sat-20260915-152924-s012,1,200,73.754,61289,43
bench-sat-20260915-152924-s012,2,200,59.677,61361,40
bench-sat-20260915-152924-s013,0,200,16.098,61232,39
bench-sat-20260915-152924-s013,1,200,71.727,61300,30
bench-sat-20260915-152924-s013,2,200,59.823,61359,43
bench-sat-20260915-152924-s014,0,200,14.032,61218,31
