ts,backend,kv_cache_usage_perc,interval_hit_rate,interval_queries,interval_hits,cum_prefix_cache_queries,cum_prefix_cache_hits,num_requests_running,num_requests_waiting,num_preemptions,active_program_tokens,reasoning_program_tokens,acting_program_tokens,capacity_overflow
1789512545.0,http://10.100.3.5:8000,0.0,,0,0,13695028,6033968,0,0,0,0,0,0,0
1789512547.1,http://10.100.3.5:8000,0.0,,0,0,13695028,6033968,0,0,0,0,0,0,0
1789512549.1,http://10.100.3.5:8000,0.0,,0,0,13695028,6033968,0,0,0,829430,829430,0,0
1789512551.1,http://10.100.3.5:8000,0.0,,0,0,13695028,6033968,0,0,0,1658592,1658592,0,0
1789512553.2,http://10.100.3.5:8000,0.0659,0.0,183660,0,13878688,6033968,3,27,0,2228682,2228682,0,0
1789512555.2,http://10.100.3.5:8000,0.0659,,0,0,13878688,6033968,3,27,0,2228682,2228682,0,0
1789512557.2,http://10.100.3.5:8000,0.1392,0.0,183717,0,14062405,6033968,6,37,0,2228682,2228682,0,0
1789512559.2,http://10.100.3.5:8000,0.1392,,0,0,14062405,6033968,6,37,0,2247647,2247647,0,14907
1789512561.2,http://10.100.3.5:8000,0.1392,,0,0,14062405,6033968,6,37,0,2247647,2247647,0,14907
1789512563.3,http://10.100.3.5:8000,0.1614,0.0,122243,0,14184648,6033968,6,37,0,2195815,2195815,0,0
1789512565.3,http://10.100.3.5:8000,0.1614,,0,0,14184648,6033968,6,37,0,2143973,2143973,0,0
1789512567.3,http://10.100.3.5:8000,0.1761,0.0,183908,0,14368556,6033968,7,34,0,2101548,2101548,0,0
1789512569.3,http://10.100.3.5:8000,0.1761,,0,0,14368556,6033968,7,34,0,2049685,2049685,0,0
1789512571.4,http://10.100.3.5:8000,0.1362,0.0,122402,0,14490958,6033968,5,33,0,2181741,2181741,0,0
1789512573.4,http://10.100.3.5:8000,0.1362,,0,0,14490958,6033968,5,33,0,2129915,2129915,0,0
1789512575.4,http://10.100.3.5:8000,0.1362,,0,0,14490958,6033968,5,33,0,2129915,2129915,0,0
1789512577.4,http://10.100.3.5:8000,0.1309,0.0,183826,0,14674784,6033968,5,33,0,2210117,2210117,0,0
1789512579.4,http://10.100.3.5:8000,0.1309,,0,0,14674784,6033968,5,33,0,2158246,2158246,0,0
1789512581.5,http://10.100.3.5:8000,0.1767,0.0,183727,0,14858511,6033968,7,33,0,2219618,2219618,0,0
1789512583.5,http://10.100.3.5:8000,0.1767,,0,0,14858511,6033968,7,33,0,2115956,2115956,0,0
1789512585.5,http://10.100.3.5:8000,0.1767,,0,0,14858511,6033968,7,33,0,2064180,2064180,0,0
1789512587.5,http://10.100.3.5:8000,0.1642,0.0,122647,0,14981158,6033968,6,32,0,2134873,2134873,0,0
1789512589.5,http://10.100.3.5:8000,0.1642,,0,0,14981158,6033968,6,32,0,2083043,2083043,0,0
1789512591.6,http://10.100.3.5:8000,0.1314,0.0,183539,0,15164697,6033968,5,31,0,2224824,2224824,0,0
1789512593.6,http://10.100.3.5:8000,0.1314,,0,0,15164697,6033968,5,31,0,2224824,2224824,0,0
1789512595.6,http://10.100.3.5:8000,0.1314,,0,0,15164697,6033968,5,31,0,2173067,2173067,0,0
1789512597.6,http://10.100.3.5:8000,0.1772,0.0,183269,0,15347966,6033968,7,32,0,2172965,2172965,0,0
1789512599.6,http://10.100.3.5:8000,0.1772,,0,0,15347966,6033968,7,32,0,2069286,2069286,0,0
1789512601.7,http://10.100.3.5:8000,0.1647,0.0,183749,0,15531715,6033968,7,30,0,2191985,2191985,0,0
1789512603.7,http://10.100.3.5:8000,0.1647,,0,0,15531715,6033968,7,30,0,2140135,2140135,0,0
1789512605.7,http://10.100.3.5:8000,0.1647,,0,0,15531715,6033968,7,30,0,2088284,2088284,0,0
1789512607.7,http://10.100.3.5:8000,0.1596,0.0,122544,0,15654259,6033968,6,30,0,2220345,2220345,0,0
1789512609.7,http://10.100.3.5:8000,0.1596,,0,0,15654259,6033968,6,30,0,2116652,2116652,0,0
1789512611.8,http://10.100.3.5:8000,0.1507,0.0,183623,0,15837882,6033968,6,30,0,2187415,2187415,0,0
1789512613.8,http://10.100.3.5:8000,0.1507,,0,0,15837882,6033968,6,30,0,2187415,2187415,0,0
1789512615.8,http://10.100.3.5:8000,0.1507,,0,0,15837882,6033968,6,30,0,1980139,1980139,0,0
1789512617.8,http://10.100.3.5:8000,0.107,0.0,122327,0,15960209,6033968,4,30,0,2225306,2225306,0,0
1789512619.8,http://10.100.3.5:8000,0.107,,0,0,15960209,6033968,4,30,0,2173529,2173529,0,0
1789512621.9,http://10.100.3.5:8000,0.1291,0.0,183348,0,16143557,6033968,5,31,0,2183012,2183012,0,0
1789512623.9,http://10.100.3.5:8000,0.1291,,0,0,16143557,6033968,5,31,0,2131121,2131121,0,0
1789512625.9,http://10.100.3.5:8000,0.1291,,0,0,16143557,6033968,5,31,0,2079322,2079322,0,0
1789512627.9,http://10.100.3.5:8000,0.144,0.0,183373,0,16326930,6033968,6,29,0,2201945,2201945,0,0
1789512629.9,http://10.100.3.5:8000,0.144,,0,0,16326930,6033968,6,29,0,2150119,2150119,0,0
1789512632.0,http://10.100.3.5:8000,0.1626,0.0,122469,0,16449399,6033968,6,29,0,2220788,2220788,0,0
1789512634.0,http://10.100.3.5:8000,0.1626,,0,0,16449399,6033968,6,29,0,2117131,2117131,0,0
1789512636.0,http://10.100.3.5:8000,0.1626,,0,0,16449399,6033968,6,29,0,2013519,2013519,0,0
1789512638.0,http://10.100.3.5:8000,0.1265,0.0,183753,0,16633152,6033968,5,28,0,2197181,2197181,0,0
1789512640.0,http://10.100.3.5:8000,0.1265,,0,0,16633152,6033968,5,28,0,2197181,2197181,0,0
1789512642.1,http://10.100.3.5:8000,0.196,0.0,183829,0,16816981,6033968,8,28,0,2197141,2135845,61296,0
1789512644.1,http://10.100.3.5:8000,0.196,,0,0,16816981,6033968,8,28,0,2197210,2197210,0,0
1789512646.1,http://10.100.3.5:8000,0.196,,0,0,16816981,6033968,8,28,0,2197207,2197207,0,0
1789512648.1,http://10.100.3.5:8000,0.1871,0.0,122474,0,16939455,6033968,7,29,0,2135842,2135842,0,0
1789512650.1,http://10.100.3.5:8000,0.1871,,0,0,16939455,6033968,7,29,0,2135895,2135895,0,0
1789512652.2,http://10.100.3.5:8000,0.1782,0.0,184007,0,17123462,6033968,7,27,0,2197230,2197230,0,0
1789512654.2,http://10.100.3.5:8000,0.1782,,0,0,17123462,6033968,7,27,0,2197230,2197230,0,0
1789512656.2,http://10.100.3.5:8000,0.1782,,0,0,17123462,6033968,7,27,0,2197286,2197286,0,0
1789512658.2,http://10.100.3.5:8000,0.2203,0.0,183772,0,17307234,6033968,9,27,0,2197376,2197376,0,0
1789512660.2,http://10.100.3.5:8000,0.2203,,0,0,17307234,6033968,9,27,0,2197432,2197432,0,0
