ts,programs_count,reasoning_count,acting_count,paused_count
1789512545.0,0,0,0,0
1789512547.1,1,1,0,0
1789512549.1,16,16,0,0
1789512551.1,33,33,0,0
1789512553.2,49,49,0,6
1789512555.2,65,65,0,22
1789512557.2,80,80,0,37
1789512559.2,80,80,0,37
1789512561.2,80,80,0,37
1789512563.3,80,80,0,38
1789512565.3,80,80,0,39
1789512567.3,80,80,0,40
1789512569.3,80,80,0,41
1789512571.4,80,80,0,39
1789512573.4,80,80,0,40
1789512575.4,80,80,0,40
1789512577.4,80,80,0,39
1789512579.4,80,79,1,40
1789512581.5,80,80,0,39
1789512583.5,80,80,0,41
1789512585.5,80,80,0,42
1789512587.5,80,80,0,41
1789512589.5,80,80,0,42
1789512591.6,80,80,0,40
1789512593.6,80,80,0,40
1789512595.6,80,80,0,41
1789512597.6,80,80,0,41
1789512599.6,80,80,0,43
1789512601.7,80,80,0,41
1789512603.7,80,80,0,42
1789512605.7,80,80,0,43
1789512607.7,80,80,0,41
1789512609.7,80,79,1,43
1789512611.8,80,80,0,42
1789512613.8,80,80,0,42
1789512615.8,80,80,0,46
1789512617.8,80,80,0,42
1789512619.8,80,80,0,43
1789512621.9,80,80,0,43
1789512623.9,80,80,0,44
1789512625.9,80,80,0,45
1789512627.9,80,80,0,43
1789512629.9,80,80,0,44
1789512632.0,80,80,0,43
1789512634.0,80,80,0,45
1789512636.0,80,80,0,47
1789512638.0,80,80,0,44
1789512640.0,80,80,0,44
1789512642.1,80,79,1,44
1789512644.1,80,80,0,44
1789512646.1,80,80,0,44
1789512648.1,80,79,1,45
1789512650.1,80,80,0,45
1789512652.2,80,80,0,44
1789512654.2,80,80,0,44
1789512656.2,80,80,0,44
1789512658.2,80,80,0,44
1789512660.2,80,80,0,44
1789512662.3,80,80,0,44
1789512664.3,80,80,0,44
1789512666.3,80,80,0,44
1789512668.3,80,80,0,44
1789512670.3,80,80,0,44
1789512672.4,80,80,0,44
1789512674.4,80,80,0,44
1789512676.4,80,80,0,44
1789512678.4,80,79,1,44
1789512680.5,80,80,0,44
1789512682.5,80,80,0,44
1789512684.5,80,80,0,44
1789512686.5,80,80,0,44
1789512688.5,80,80,0,44
1789512690.6,80,80,0,44
1789512692.6,80,78,2,44
1789512694.6,45,44,1,44
1789512696.6,44,44,0,3
1789512698.8,44,44,0,3
1789512700.8,44,44,0,3
1789512702.8,44,44,0,3
1789512704.8,44,44,0,3
1789512706.8,44,44,0,3
1789512708.9,44,44,0,3
1789512710.9,44,43,1,3
1789512712.9,44,43,1,3
1789512714.9,43,43,0,3
1789512716.9,43,42,1,2
1789512719.0,43,43,0,2
1789512721.0,43,42,1,2
1789512723.0,43,42,1,2
1789512725.0,43,43,0,2
1789512727.0,43,42,1,2
1789512729.1,43,43,0,2
1789512731.1,43,43,0,2
1789512733.1,43,43,0,3
1789512735.1,43,43,0,5
1789512737.1,43,43,0,3
1789512739.2,43,43,0,5
1789512741.2,43,43,0,5
1789512743.2,43,43,0,4
1789512745.2,43,43,0,5
1789512747.2,43,42,1,5
1789512749.3,43,41,2,7
1789512751.3,43,43,0,7
1789512753.3,43,43,0,5
1789512755.3,43,43,0,5
1789512757.3,43,43,0,5
1789512759.4,43,43,0,6
1789512761.4,43,43,0,8
1789512763.4,43,42,1,6
1789512765.4,43,43,0,8
1789512767.4,43,43,0,6
1789512769.5,43,43,0,6
1789512771.5,43,43,0,8
1789512773.5,43,43,0,6
1789512775.5,43,43,0,6
1789512777.5,43,43,0,6
1789512779.6,43,41,2,9
1789512781.6,43,43,0,12
1789512783.6,43,42,1,8
1789512785.6,42,42,0,7
1789512787.6,42,42,0,6
1789512789.7,41,40,1,7
1789512791.7,40,40,0,6
1789512793.7,39,39,0,4
1789512795.7,39,39,0,5
1789512797.7,39,39,0,3
1789512799.8,39,39,0,4
1789512801.8,39,39,0,4
1789512803.8,39,39,0,3
1789512805.8,39,38,1,5
1789512807.8,38,38,0,3
1789512809.9,38,38,0,3
1789512811.9,38,38,0,2
1789512813.9,37,37,0,2
1789512815.9,37,37,0,2
1789512817.9,37,37,0,1
1789512820.0,37,37,0,1
1789512822.0,37,37,0,1
1789512824.0,37,37,0,1
1789512826.0,37,37,0,1
1789512828.0,37,37,0,1
1789512830.1,37,37,0,1
1789512832.1,37,37,0,1
1789512834.1,37,37,0,1
1789512836.1,37,37,0,1
1789512838.1,37,37,0,1
1789512840.1,37,37,0,1
1789512842.2,37,34,3,1
1789512844.2,37,37,0,1
1789512846.2,37,37,0,1
1789512848.2,19,12,7,1
1789512850.2,1,1,0,1
1789512852.3,1,1,0,0
1789512854.3,1,1,0,0
1789512856.3,1,0,1,0
1789512858.3,0,0,0,0
1789512860.3,0,0,0,0
1789512862.3,0,0,0,0
1789512862.4,0,0,0,0
