program_id,turn,status,latency_s,prompt_tokens,completion_tokens
bench-ab-20260915-155644-tr-s000,0,200,10.458,61284,36
bench-ab-20260915-155644-tr-s000,1,200,90.362,61349,73
bench-ab-20260915-155644-tr-s000,2,200,59.763,61451,60
bench-ab-20260915-155644-tr-s001,0,200,11.164,61059,32
bench-ab-20260915-155644-tr-s001,1,200,92.289,61120,75
bench-ab-20260915-155644-tr-s001,2,200,37.0,61224,44
bench-ab-20260915-155644-tr-s002,0,200,14.341,61317,37
bench-ab-20260915-155644-tr-s002,1,200,99.335,61383,80
bench-ab-20260915-155644-tr-s002,2,200,26.735,61493,43
bench-ab-20260915-155644-tr-s003,0,200,19.47,61360,51
bench-ab-20260915-155644-tr-s003,1,200,102.662,61440,68
bench-ab-20260915-155644-tr-s003,2,200,18.534,61537,62
bench-ab-20260915-155644-tr-s004,0,200,16.46,61301,31
bench-ab-20260915-155644-tr-s004,1,200,80.629,61361,45
bench-ab-20260915-155644-tr-s004,2,200,42.88,61435,42
bench-ab-20260915-155644-tr-s005,0,200,19.207,61056,36
bench-ab-20260915-155644-tr-s005,1,200,74.789,61121,26
bench-ab-20260915-155644-tr-s005,2,200,45.413,61176,28
bench-ab-20260915-155644-tr-s006,0,200,19.997,61033,31
bench-ab-20260915-155644-tr-s006,1,200,81.539,61093,41
bench-ab-20260915-155644-tr-s006,2,200,38.066,61163,38
bench-ab-20260915-155644-tr-s007,0,200,21.829,61210,32
bench-ab-20260915-155644-tr-s007,1,200,73.505,61271,25
bench-ab-20260915-155644-tr-s007,2,200,43.877,61325,30
bench-ab-20260915-155644-tr-s008,0,200,23.552,61147,31
bench-ab-20260915-155644-tr-s008,1,200,85.328,61207,49
bench-ab-20260915-155644-tr-s008,2,200,30.928,61285,51
bench-ab-20260915-155644-tr-s009,0,200,27.328,61284,40
bench-ab-20260915-155644-tr-s009,1,200,79.662,61353,49
bench-ab-20260915-155644-tr-s009,2,200,32.447,61431,41
bench-ab-20260915-155644-tr-s010,0,200,27.921,61477,35
bench-ab-20260915-155644-tr-s010,1,200,188.768,61541,24
bench-ab-20260915-155644-tr-s010,2,200,78.549,61594,31
bench-ab-20260915-155644-tr-s011,0,200,31.035,61197,41
bench-ab-20260915-155644-tr-s011,1,200,79.464,61267,49
bench-ab-20260915-155644-tr-s011,2,200,28.979,61345,53
bench-ab-20260915-155644-tr-s012,0,200,36.456,61205,55
bench-ab-20260915-155644-tr-s012,1,200,76.233,61289,43
bench-ab-20260915-155644-tr-s012,2,200,26.342,61361,40
bench-ab-20260915-155644-tr-s013,0,200,34.191,61232,39
bench-ab-20260915-155644-tr-s013,1,200,80.748,61300,30
bench-ab-20260915-155644-tr-s013,2,200,24.118,61359,46
bench-ab-20260915-155644-tr-s014,0,200,34.062,61218,31
bench-ab-20260915-155644-tr-s014,1,200,81.417,61278,63
bench-ab-20260915-155644-tr-s014,2,200,23.614,61370,52
bench-ab-20260915-155644-tr-s015,0,200,39.817,61376,48
bench-ab-20260915-155644-tr-s015,1,200,116.97,61453,45
bench-ab-20260915-155644-tr-s015,2,200,76.075,61527,47
bench-ab-20260915-155644-tr-s016,0,200,37.612,61206,31
bench-ab-20260915-155644-tr-s016,1,200,77.613,61266,25
bench-ab-20260915-155644-tr-s016,2,200,23.213,61320,37
bench-ab-20260915-155644-tr-s017,0,200,41.083,61376,38
bench-ab-20260915-155644-tr-s017,1,200,115.892,61443,39
bench-ab-20260915-155644-tr-s017,2,200,76.03,61511,34
bench-ab-20260915-155644-tr-s018,0,200,41.266,61145,32
bench-ab-20260915-155644-tr-s018,1,200,80.703,61206,67
bench-ab-20260915-155644-tr-s018,2,200,16.558,61302,50
bench-ab-20260915-155644-tr-s019,0,200,47.093,61296,49
bench-ab-20260915-155644-tr-s019,1,200,119.049,61374,61
bench-ab-20260915-155644-tr-s019,2,200,78.514,61464,51
bench-ab-20260915-155644-tr-s020,0,200,45.215,61351,34
bench-ab-20260915-155644-tr-s020,1,200,81.476,61414,65
bench-ab-20260915-155644-tr-s020,2,200,11.554,61508,48
bench-ab-20260915-155644-tr-s021,0,200,48.644,61176,41
bench-ab-20260915-155644-tr-s021,1,200,81.625,61246,63
bench-ab-20260915-155644-tr-s021,2,200,8.127,61338,65
bench-ab-20260915-155644-tr-s022,0,200,47.993,61133,30
bench-ab-20260915-155644-tr-s022,1,200,77.62,61192,53
bench-ab-20260915-155644-tr-s022,2,200,12.402,61274,50
bench-ab-20260915-155644-tr-s023,0,200,53.887,61230,48
bench-ab-20260915-155644-tr-s023,1,200,83.106,61307,80
bench-ab-20260915-155644-tr-s023,2,200,1.396,61417,51
bench-ab-20260915-155644-tr-s024,0,200,51.773,61146,33
bench-ab-20260915-155644-tr-s024,1,200,85.243,61208,80
bench-ab-20260915-155644-tr-s024,2,200,1.125,61318,36
bench-ab-20260915-155644-tr-s025,0,200,59.448,61200,56
bench-ab-20260915-155644-tr-s025,1,200,77.298,61285,59
bench-ab-20260915-155644-tr-s025,2,200,1.456,61373,60
bench-ab-20260915-155644-tr-s026,0,200,55.515,60923,34
bench-ab-20260915-155644-tr-s026,1,200,76.777,60986,48
bench-ab-20260915-155644-tr-s026,2,200,5.193,61063,49
bench-ab-20260915-155644-tr-s027,0,200,60.78,61251,47
bench-ab-20260915-155644-tr-s027,1,200,75.981,61327,47
bench-ab-20260915-155644-tr-s027,2,200,0.937,61403,27
bench-ab-20260915-155644-tr-s028,0,200,58.54,61163,31
