program_id,turn,status,latency_s,prompt_tokens,completion_tokens
bench-ab-20260915-162856-tr-decay-s000,0,200,10.458,61284,36
bench-ab-20260915-162856-tr-decay-s000,1,200,90.307,61349,73
bench-ab-20260915-162856-tr-decay-s000,2,200,121.923,61451,60
bench-ab-20260915-162856-tr-decay-s001,0,200,11.158,61059,32
bench-ab-20260915-162856-tr-decay-s001,1,200,92.23,61120,75
bench-ab-20260915-162856-tr-decay-s001,2,200,60.368,61224,52
bench-ab-20260915-162856-tr-decay-s002,0,200,14.337,61317,37
bench-ab-20260915-162856-tr-decay-s002,1,200,105.878,61383,80
bench-ab-20260915-162856-tr-decay-s002,2,200,52.162,61493,44
bench-ab-20260915-162856-tr-decay-s003,0,200,19.45,61360,51
bench-ab-20260915-162856-tr-decay-s003,1,200,104.383,61440,68
bench-ab-20260915-162856-tr-decay-s003,2,200,106.608,61537,62
bench-ab-20260915-162856-tr-decay-s004,0,200,16.452,61301,31
bench-ab-20260915-162856-tr-decay-s004,1,200,80.583,61361,45
bench-ab-20260915-162856-tr-decay-s004,2,200,66.901,61435,54
bench-ab-20260915-162856-tr-decay-s005,0,200,19.19,61056,36
bench-ab-20260915-162856-tr-decay-s005,1,200,74.747,61121,26
bench-ab-20260915-162856-tr-decay-s005,2,200,59.171,61176,28
bench-ab-20260915-162856-tr-decay-s006,0,200,19.983,61033,31
bench-ab-20260915-162856-tr-decay-s006,1,200,81.498,61093,41
bench-ab-20260915-162856-tr-decay-s006,2,200,57.501,61163,38
bench-ab-20260915-162856-tr-decay-s007,0,200,21.812,61210,32
bench-ab-20260915-162856-tr-decay-s007,1,200,73.467,61271,25
bench-ab-20260915-162856-tr-decay-s007,2,200,59.543,61325,30
bench-ab-20260915-162856-tr-decay-s008,0,200,23.532,61147,31
bench-ab-20260915-162856-tr-decay-s008,1,200,84.143,61207,49
bench-ab-20260915-162856-tr-decay-s008,2,200,66.728,61285,80
bench-ab-20260915-162856-tr-decay-s009,0,200,27.313,61284,40
bench-ab-20260915-162856-tr-decay-s009,1,200,78.093,61353,49
bench-ab-20260915-162856-tr-decay-s009,2,200,60.334,61431,53
bench-ab-20260915-162856-tr-decay-s010,0,200,27.907,61477,35
bench-ab-20260915-162856-tr-decay-s010,1,200,194.052,61541,24
bench-ab-20260915-162856-tr-decay-s010,2,200,47.584,61594,31
bench-ab-20260915-162856-tr-decay-s011,0,200,31.016,61197,41
bench-ab-20260915-162856-tr-decay-s011,1,200,78.063,61267,49
bench-ab-20260915-162856-tr-decay-s011,2,200,59.144,61345,54
bench-ab-20260915-162856-tr-decay-s012,0,200,36.431,61205,55
bench-ab-20260915-162856-tr-decay-s012,1,200,76.679,61289,43
bench-ab-20260915-162856-tr-decay-s012,2,200,51.839,61361,40
bench-ab-20260915-162856-tr-decay-s013,0,200,34.167,61232,39
bench-ab-20260915-162856-tr-decay-s013,1,200,80.211,61300,30
bench-ab-20260915-162856-tr-decay-s013,2,200,52.481,61359,43
bench-ab-20260915-162856-tr-decay-s014,0,200,34.039,61218,31
bench-ab-20260915-162856-tr-decay-s014,1,200,82.019,61278,63
bench-ab-20260915-162856-tr-decay-s014,2,200,62.883,61370,80
bench-ab-20260915-162856-tr-decay-s015,0,200,39.798,61376,48
bench-ab-20260915-162856-tr-decay-s015,1,200,179.026,61453,45
bench-ab-20260915-162856-tr-decay-s015,2,200,50.117,61527,47
bench-ab-20260915-162856-tr-decay-s016,0,200,37.586,61206,31
bench-ab-20260915-162856-tr-decay-s016,1,200,77.085,61266,25
bench-ab-20260915-162856-tr-decay-s016,2,200,49.947,61320,33
bench-ab-20260915-162856-tr-decay-s017,0,200,41.054,61376,38
bench-ab-20260915-162856-tr-decay-s017,1,200,168.352,61443,39
bench-ab-20260915-162856-tr-decay-s017,2,200,44.54,61511,34
bench-ab-20260915-162856-tr-decay-s018,0,200,41.239,61145,32
bench-ab-20260915-162856-tr-decay-s018,1,200,78.246,61206,67
bench-ab-20260915-162856-tr-decay-s018,2,200,55.02,61302,55
bench-ab-20260915-162856-tr-decay-s019,0,200,47.066,61296,49
bench-ab-20260915-162856-tr-decay-s019,1,200,86.245,61374,61
bench-ab-20260915-162856-tr-decay-s019,2,200,88.399,61464,51
bench-ab-20260915-162856-tr-decay-s020,0,200,45.189,61351,34
