ts,programs_count,reasoning_count,acting_count,paused_count
1789522275.3,0,0,0,0
1789522277.3,1,1,0,0
1789522279.3,16,16,0,0
1789522281.4,32,32,0,0
1789522283.4,49,49,0,0
1789522285.5,65,65,0,0
1789522287.5,80,80,0,0
1789522289.5,80,80,0,0
1789522291.5,80,80,0,0
1789522293.5,80,80,0,0
1789522295.6,80,80,0,0
1789522297.6,80,80,0,0
1789522299.6,80,80,0,0
1789522301.6,80,80,0,0
1789522303.6,80,80,0,0
1789522305.7,80,80,0,0
1789522307.7,80,80,0,0
1789522309.7,80,80,0,0
1789522311.7,80,80,0,0
1789522313.7,80,80,0,0
1789522315.8,80,80,0,0
1789522317.8,80,80,0,0
1789522319.8,80,80,0,0
1789522321.8,80,80,0,0
1789522323.8,80,80,0,0
1789522325.9,80,80,0,0
1789522327.9,80,80,0,0
1789522329.9,80,80,0,0
1789522331.9,80,80,0,0
1789522333.9,80,80,0,0
1789522336.0,80,80,0,0
1789522338.0,80,80,0,0
1789522340.0,80,79,1,0
1789522342.0,80,80,0,0
1789522344.0,80,80,0,0
1789522346.1,80,80,0,0
1789522348.1,80,80,0,0
1789522350.1,80,80,0,0
1789522352.1,80,80,0,0
1789522354.1,80,80,0,0
1789522356.2,80,80,0,0
1789522358.2,80,80,0,0
1789522360.2,80,80,0,0
1789522362.2,80,80,0,0
1789522364.3,80,80,0,0
1789522366.3,80,80,0,0
1789522368.3,80,80,0,0
1789522370.3,80,80,0,0
1789522372.3,80,79,1,0
1789522374.4,80,80,0,0
1789522376.4,80,80,0,0
1789522378.4,80,80,0,0
1789522380.4,80,80,0,0
1789522382.4,80,80,0,0
1789522384.5,80,80,0,0
1789522386.5,80,80,0,0
1789522388.5,80,80,0,0
1789522390.5,80,79,1,0
1789522392.6,80,80,0,0
1789522394.6,80,80,0,0
1789522396.6,80,80,0,0
1789522398.6,80,80,0,0
1789522400.6,80,80,0,0
1789522402.7,80,80,0,0
1789522404.7,80,80,0,0
1789522406.7,80,80,0,0
1789522408.7,80,79,1,0
1789522410.7,80,79,1,0
1789522412.8,80,80,0,0
1789522414.8,80,80,0,0
1789522416.8,80,80,0,0
1789522418.8,80,80,0,0
1789522420.8,80,80,0,0
1789522422.9,80,80,0,0
1789522424.9,80,80,0,0
1789522426.9,80,80,0,0
1789522428.9,80,79,1,0
1789522431.0,80,80,0,0
1789522433.0,80,80,0,0
1789522435.0,80,78,2,0
1789522437.0,80,80,0,0
1789522439.0,80,80,0,0
1789522441.1,80,80,0,0
1789522443.1,80,80,0,0
1789522445.1,80,80,0,0
1789522447.1,80,80,0,0
1789522449.2,80,79,1,0
1789522451.2,80,80,0,0
1789522453.2,80,80,0,0
1789522455.2,80,80,0,0
1789522457.2,80,80,0,0
1789522459.3,80,80,0,0
1789522461.3,80,79,1,0
1789522463.3,80,80,0,0
1789522465.3,80,80,0,0
1789522467.4,80,80,0,0
1789522469.4,80,80,0,0
1789522471.4,80,79,1,0
1789522473.4,80,80,0,0
1789522475.4,80,80,0,0
1789522477.5,80,80,0,0
1789522479.5,80,80,0,0
1789522481.5,80,80,0,0
1789522483.5,80,80,0,0
1789522485.5,80,80,0,0
1789522487.6,80,80,0,0
1789522489.6,80,80,0,0
1789522491.6,80,80,0,0
1789522493.6,80,79,1,0
1789522495.6,80,79,1,0
1789522497.7,80,80,0,0
1789522499.7,80,79,1,0
1789522501.7,80,80,0,0
1789522503.7,80,80,0,0
1789522505.7,80,78,2,0
1789522507.8,80,80,0,0
1789522509.8,80,80,0,0
1789522511.8,80,80,0,0
1789522513.8,80,79,1,0
1789522515.9,80,80,0,0
1789522517.9,80,80,0,0
1789522519.9,80,79,1,0
1789522521.9,80,80,0,0
1789522523.9,80,80,0,0
1789522526.0,80,80,0,0
1789522528.0,80,78,2,0
1789522530.0,80,80,0,0
1789522532.0,80,80,0,0
1789522534.1,80,80,0,0
1789522536.1,80,79,1,0
1789522538.1,80,80,0,0
1789522540.1,80,80,0,0
1789522542.1,80,80,0,0
1789522544.2,80,80,0,0
1789522546.2,80,80,0,0
1789522548.2,80,79,1,0
1789522550.2,80,80,0,0
1789522552.2,80,80,0,0
1789522554.3,80,80,0,0
1789522556.3,80,80,0,0
1789522558.3,80,80,0,0
1789522560.3,80,80,0,0
1789522562.3,80,80,0,0
1789522564.4,80,80,0,0
1789522566.4,80,79,1,0
1789522568.4,80,80,0,0
1789522570.4,80,80,0,0
1789522572.5,80,80,0,0
1789522574.5,80,80,0,0
1789522576.5,80,80,0,0
1789522578.5,80,80,0,0
1789522580.5,80,80,0,0
1789522582.6,80,80,0,0
1789522584.6,80,80,0,0
1789522586.6,80,80,0,0
1789522588.6,80,80,0,0
1789522590.6,80,79,1,0
1789522592.7,80,79,1,0
1789522594.7,80,79,1,0
1789522596.7,80,78,2,0
1789522598.7,80,77,3,0
1789522600.8,80,77,3,0
1789522602.8,80,75,5,0
1789522604.8,80,74,6,0
1789522606.8,80,72,8,0
1789522608.8,80,72,8,0
1789522610.9,80,72,8,0
1789522612.9,80,71,9,0
1789522614.9,80,70,10,0
1789522616.9,80,68,12,0
1789522618.9,80,68,12,0
1789522621.0,80,65,15,0
1789522623.0,80,65,15,0
1789522625.0,80,64,16,0
1789522627.0,80,63,17,0
1789522629.1,80,63,17,0
1789522631.1,80,63,17,0
1789522633.1,80,60,20,0
1789522635.1,80,60,20,0
1789522637.1,80,58,22,0
1789522639.2,80,58,22,0
1789522641.2,80,57,23,0
1789522643.2,80,55,25,0
1789522645.2,80,53,27,0
1789522647.2,80,53,27,0
1789522649.3,80,53,27,0
1789522651.3,80,51,29,0
1789522653.3,80,49,31,0
1789522655.3,80,47,33,0
1789522657.3,80,47,33,0
1789522659.4,80,47,33,0
1789522661.4,80,47,33,0
1789522663.4,80,46,34,0
1789522665.4,80,45,35,0
1789522667.5,80,43,37,0
1789522669.5,80,41,39,0
1789522671.5,80,41,39,0
1789522673.5,80,38,42,0
1789522675.5,80,38,42,0
1789522677.6,80,36,44,0
1789522679.6,80,35,45,0
1789522681.6,80,33,47,0
1789522683.6,80,31,49,0
1789522685.7,80,31,49,0
1789522687.7,80,29,51,0
1789522689.7,80,28,52,0
1789522691.7,80,28,52,0
1789522693.7,80,28,52,0
1789522695.8,80,27,53,0
1789522697.8,80,27,53,0
1789522699.8,80,26,54,0
1789522701.8,80,26,54,0
1789522703.8,80,24,56,0
1789522705.9,80,23,57,0
1789522707.9,80,21,59,0
1789522709.9,80,19,61,0
1789522711.9,80,18,62,0
1789522714.0,80,17,63,0
1789522716.0,80,17,63,0
1789522718.0,80,17,63,0
1789522720.0,80,17,63,0
1789522722.1,80,15,65,0
1789522724.1,80,13,67,0
1789522726.1,80,12,68,0
1789522728.1,80,10,70,0
1789522730.1,80,9,71,0
1789522732.2,80,8,72,0
1789522734.2,80,4,76,0
1789522736.2,80,0,80,0
1789522738.2,80,0,80,0
1789522740.2,80,0,80,0
1789522740.8,80,0,80,0
