ts,backend,kv_cache_usage_perc,interval_hit_rate,interval_queries,interval_hits,cum_prefix_cache_queries,cum_prefix_cache_hits,num_requests_running,num_requests_waiting,num_preemptions,active_program_tokens,reasoning_program_tokens,acting_program_tokens,capacity_overflow
1789522791.3,http://10.100.3.5:8000,0.0,,0,0,116644951,28444080,0,0,0,0,0,0,0
1789522793.4,http://10.100.3.5:8000,0.0,,0,0,116644951,28444080,0,0,0,0,0,0,0
1789522795.4,http://10.100.3.5:8000,0.0,,0,0,116644951,28444080,0,0,0,829447,829447,0,0
1789522797.4,http://10.100.3.5:8000,0.0,,0,0,116644951,28444080,0,0,0,1658631,1658631,0,0
1789522799.5,http://10.100.3.5:8000,0.0696,0.0,183660,0,116828611,28444080,3,28,0,2228735,2228735,0,0
1789522801.5,http://10.100.3.5:8000,0.0696,,0,0,116828611,28444080,3,28,0,2228735,2228735,0,0
1789522803.5,http://10.100.3.5:8000,0.1428,0.0,183717,0,117012328,28444080,6,37,0,2228735,2228735,0,0
1789522805.5,http://10.100.3.5:8000,0.1428,,0,0,117012328,28444080,6,37,0,2247698,2247698,0,14958
1789522807.6,http://10.100.3.5:8000,0.1428,,0,0,117012328,28444080,6,37,0,2247698,2247698,0,14958
1789522809.6,http://10.100.3.5:8000,0.1614,0.0,122243,0,117134571,28444080,6,37,0,2195865,2195865,0,0
1789522811.6,http://10.100.3.5:8000,0.1614,,0,0,117134571,28444080,6,37,0,2144022,2144022,0,0
1789522813.6,http://10.100.3.5:8000,0.1798,0.0,183908,0,117318479,28444080,7,34,0,2101595,2101595,0,0
1789522815.6,http://10.100.3.5:8000,0.1798,,0,0,117318479,28444080,7,34,0,2049730,2049730,0,0
1789522817.7,http://10.100.3.5:8000,0.1798,,0,0,117318479,28444080,7,34,0,1997814,1997814,0,0
1789522819.7,http://10.100.3.5:8000,0.1399,0.0,183634,0,117502113,28444080,6,32,0,2129931,2129931,0,0
1789522821.7,http://10.100.3.5:8000,0.1399,,0,0,117502113,28444080,6,32,0,2129931,2129931,0,0
1789522823.7,http://10.100.3.5:8000,0.1309,0.0,122594,0,117624707,28444080,5,33,0,2210121,2210121,0,0
1789522825.7,http://10.100.3.5:8000,0.1309,,0,0,117624707,28444080,5,33,0,2210121,2210121,0,0
1789522827.8,http://10.100.3.5:8000,0.1309,,0,0,117624707,28444080,5,33,0,2158249,2158249,0,0
1789522829.8,http://10.100.3.5:8000,0.1804,0.0,183727,0,117808434,28444080,7,33,0,2115954,2115954,0,0
1789522831.8,http://10.100.3.5:8000,0.1804,,0,0,117808434,28444080,7,33,0,2064177,2064177,0,0
1789522833.8,http://10.100.3.5:8000,0.1642,0.0,122647,0,117931081,28444080,6,32,0,2134867,2134867,0,0
1789522835.9,http://10.100.3.5:8000,0.1642,,0,0,117931081,28444080,6,32,0,2083036,2083036,0,0
1789522837.9,http://10.100.3.5:8000,0.1642,,0,0,117931081,28444080,6,32,0,1979346,1979346,0,0
1789522839.9,http://10.100.3.5:8000,0.1314,0.0,183539,0,118114620,28444080,5,31,0,2224799,2224799,0,0
1789522841.9,http://10.100.3.5:8000,0.1314,,0,0,118114620,28444080,5,31,0,2173040,2173040,0,0
1789522843.9,http://10.100.3.5:8000,0.1772,0.0,183269,0,118297889,28444080,7,32,0,2172938,2172938,0,0
1789522846.0,http://10.100.3.5:8000,0.1772,,0,0,118297889,28444080,7,32,0,2069257,2069257,0,0
1789522848.0,http://10.100.3.5:8000,0.1647,0.0,183749,0,118481638,28444080,7,30,0,2191956,2191956,0,0
1789522850.0,http://10.100.3.5:8000,0.1647,,0,0,118481638,28444080,7,30,0,2140105,2140105,0,0
1789522852.0,http://10.100.3.5:8000,0.1647,,0,0,118481638,28444080,7,30,0,2088253,2088253,0,0
1789522854.0,http://10.100.3.5:8000,0.1596,0.0,122544,0,118604182,28444080,6,30,0,2220313,2220313,0,0
1789522856.1,http://10.100.3.5:8000,0.1596,,0,0,118604182,28444080,6,30,0,2168461,2168461,0,0
1789522858.1,http://10.100.3.5:8000,0.1507,0.0,183623,0,118787805,28444080,6,30,0,2187378,2187378,0,0
1789522860.1,http://10.100.3.5:8000,0.1507,,0,0,118787805,28444080,6,30,0,2187378,2187378,0,0
