program_id,turn,status,latency_s,prompt_tokens,completion_tokens
bench-ab-20260915-183059-tr-nodecay-s000,0,200,10.467,61284,36
bench-ab-20260915-183059-tr-nodecay-s000,1,200,90.357,61349,73
bench-ab-20260915-183059-tr-nodecay-s000,2,200,1847.991,61451,60
bench-ab-20260915-183059-tr-nodecay-s001,0,200,11.171,61059,32
bench-ab-20260915-183059-tr-nodecay-s001,1,200,92.281,61120,75
bench-ab-20260915-183059-tr-nodecay-s001,2,200,40.916,61224,56
bench-ab-20260915-183059-tr-nodecay-s002,0,200,14.355,61317,37
bench-ab-20260915-183059-tr-nodecay-s002,1,200,114.902,61383,80
bench-ab-20260915-183059-tr-nodecay-s002,2,200,15.11,61493,48
bench-ab-20260915-183059-tr-nodecay-s003,0,200,19.479,61360,51
bench-ab-20260915-183059-tr-nodecay-s003,1,200,85.811,61440,68
bench-ab-20260915-183059-tr-nodecay-s003,2,200,1843.457,61537,60
bench-ab-20260915-183059-tr-nodecay-s004,0,200,16.479,61301,31
bench-ab-20260915-183059-tr-nodecay-s004,1,200,80.591,61361,45
bench-ab-20260915-183059-tr-nodecay-s004,2,200,1844.726,61435,54
bench-ab-20260915-183059-tr-nodecay-s005,0,200,19.226,61056,36
bench-ab-20260915-183059-tr-nodecay-s005,1,200,76.546,61121,26
bench-ab-20260915-183059-tr-nodecay-s005,2,200,47.21,61176,28
bench-ab-20260915-183059-tr-nodecay-s006,0,200,20.019,61033,31
bench-ab-20260915-183059-tr-nodecay-s006,1,200,81.533,61093,41
bench-ab-20260915-183059-tr-nodecay-s006,2,200,41.712,61163,38
bench-ab-20260915-183059-tr-nodecay-s007,0,200,21.849,61210,32
bench-ab-20260915-183059-tr-nodecay-s007,1,200,77.361,61271,25
bench-ab-20260915-183059-tr-nodecay-s007,2,200,43.605,61325,26
bench-ab-20260915-183059-tr-nodecay-s008,0,200,23.567,61147,31
bench-ab-20260915-183059-tr-nodecay-s008,1,200,83.625,61207,49
bench-ab-20260915-183059-tr-nodecay-s008,2,200,36.77,61285,80
bench-ab-20260915-183059-tr-nodecay-s009,0,200,27.341,61284,40
bench-ab-20260915-183059-tr-nodecay-s009,1,200,81.485,61353,49
bench-ab-20260915-183059-tr-nodecay-s009,2,200,34.747,61431,53
bench-ab-20260915-183059-tr-nodecay-s010,0,200,27.936,61477,35
bench-ab-20260915-183059-tr-nodecay-s010,1,200,1853.531,61541,24
bench-ab-20260915-183059-tr-nodecay-s010,2,200,1802.171,61594,34
bench-ab-20260915-183059-tr-nodecay-s011,0,200,31.052,61197,41
bench-ab-20260915-183059-tr-nodecay-s011,1,200,79.51,61267,49
bench-ab-20260915-183059-tr-nodecay-s011,2,200,32.774,61345,54
bench-ab-20260915-183059-tr-nodecay-s012,0,200,36.469,61205,55
bench-ab-20260915-183059-tr-nodecay-s012,1,200,78.002,61289,43
bench-ab-20260915-183059-tr-nodecay-s012,2,200,28.535,61361,43
bench-ab-20260915-183059-tr-nodecay-s013,0,200,34.201,61232,39
bench-ab-20260915-183059-tr-nodecay-s013,1,200,73.3,61300,30
bench-ab-20260915-183059-tr-nodecay-s013,2,200,35.101,61359,37
bench-ab-20260915-183059-tr-nodecay-s014,0,200,34.076,61218,31
bench-ab-20260915-183059-tr-nodecay-s014,1,200,83.382,61278,63
bench-ab-20260915-183059-tr-nodecay-s014,2,200,25.834,61370,80
bench-ab-20260915-183059-tr-nodecay-s015,0,200,39.835,61376,48
bench-ab-20260915-183059-tr-nodecay-s015,1,200,1854.028,61453,45
bench-ab-20260915-183059-tr-nodecay-s015,2,200,1802.243,61527,55
bench-ab-20260915-183059-tr-nodecay-s016,0,200,37.623,61206,31
bench-ab-20260915-183059-tr-nodecay-s016,1,200,73.855,61266,25
bench-ab-20260915-183059-tr-nodecay-s016,2,200,30.741,61320,30
bench-ab-20260915-183059-tr-nodecay-s017,0,200,41.093,61376,38
bench-ab-20260915-183059-tr-nodecay-s017,1,200,1856.93,61443,39
bench-ab-20260915-183059-tr-nodecay-s017,2,200,1802.12,61511,31
bench-ab-20260915-183059-tr-nodecay-s018,0,200,41.277,61145,32
bench-ab-20260915-183059-tr-nodecay-s018,1,200,84.395,61206,67
bench-ab-20260915-183059-tr-nodecay-s018,2,200,16.759,61302,53
bench-ab-20260915-183059-tr-nodecay-s019,0,200,47.101,61296,49
bench-ab-20260915-183059-tr-nodecay-s019,1,200,78.803,61374,61
