ts,backend,kv_cache_usage_perc,interval_hit_rate,interval_queries,interval_hits,cum_prefix_cache_queries,cum_prefix_cache_hits,num_requests_running,num_requests_waiting,num_preemptions,active_program_tokens,reasoning_program_tokens,acting_program_tokens,capacity_overflow
1789531174.3,http://10.100.3.5:8000,0.0,,0,0,146059200,38671392,0,0,0,0,0,0,0
1789531176.3,http://10.100.3.5:8000,0.0,,0,0,146059200,38671392,0,0,0,0,0,0,0
1789531178.3,http://10.100.3.5:8000,0.011,0.0,61284,0,146120484,38671392,1,0,0,829446,829446,0,0
1789531180.4,http://10.100.3.5:8000,0.011,,0,0,146120484,38671392,1,0,0,1658624,1658624,0,0
1789531182.4,http://10.100.3.5:8000,0.0842,0.0,183736,0,146304220,38671392,4,35,0,2487958,2487958,0,255718
1789531184.4,http://10.100.3.5:8000,0.0842,,0,0,146304220,38671392,4,35,0,3317268,3317268,0,1086628
1789531186.5,http://10.100.3.5:8000,0.0842,,0,0,146304220,38671392,4,35,0,4146636,4146636,0,1917596
1789531188.5,http://10.100.3.5:8000,0.1337,0.0,122357,0,146426577,38671392,5,73,0,4165599,4165599,0,1936559
1789531190.5,http://10.100.3.5:8000,0.1337,,0,0,146426577,38671392,5,73,0,4165599,4165599,0,1936559
1789531192.5,http://10.100.3.5:8000,0.1522,0.0,183390,0,146609967,38671392,6,74,0,4175086,4175086,0,1946046
1789531194.6,http://10.100.3.5:8000,0.1522,,0,0,146609967,38671392,6,74,0,4184578,4184578,0,1955538
1789531196.6,http://10.100.3.5:8000,0.1522,,0,0,146609967,38671392,6,74,0,4203556,4203556,0,1974516
1789531198.6,http://10.100.3.5:8000,0.136,0.0,122761,0,146732728,38671392,5,73,0,4212981,4212981,0,1983941
1789531200.6,http://10.100.3.5:8000,0.136,,0,0,146732728,38671392,5,73,0,4222401,4222401,0,1993361
1789531202.6,http://10.100.3.5:8000,0.1309,0.0,183634,0,146916362,38671392,5,75,0,4231801,4231801,0,2002761
1789531204.7,http://10.100.3.5:8000,0.1309,,0,0,146916362,38671392,5,75,0,4231801,4231801,0,2002761
1789531206.7,http://10.100.3.5:8000,0.1309,,0,0,146916362,38671392,5,75,0,4250746,4250746,0,2021706
1789531208.7,http://10.100.3.5:8000,0.1492,0.0,183800,0,147100162,38671392,6,74,0,4260112,4198874,61238,2031072
1789531210.7,http://10.100.3.5:8000,0.1492,,0,0,147100162,38671392,6,74,0,4260246,4260246,0,2031206
1789531212.7,http://10.100.3.5:8000,0.1914,0.0,122521,0,147222683,38671392,7,73,0,4279211,4279211,0,2050171
1789531214.8,http://10.100.3.5:8000,0.1914,,0,0,147222683,38671392,7,73,0,4288709,4288709,0,2059669
1789531216.8,http://10.100.3.5:8000,0.1914,,0,0,147222683,38671392,7,73,0,4298182,4298182,0,2069142
1789531218.8,http://10.100.3.5:8000,0.1588,0.0,183823,0,147406506,38671392,6,74,0,4307710,4307710,0,2078670
1789531220.8,http://10.100.3.5:8000,0.1588,,0,0,147406506,38671392,6,74,0,4326700,4326700,0,2097660
1789531222.9,http://10.100.3.5:8000,0.1497,0.0,183509,0,147590015,38671392,6,74,0,4326700,4326700,0,2097660
1789531224.9,http://10.100.3.5:8000,0.1497,,0,0,147590015,38671392,6,74,0,4336218,4336218,0,2107178
1789531226.9,http://10.100.3.5:8000,0.1497,,0,0,147590015,38671392,6,74,0,4345774,4345774,0,2116734
1789531228.9,http://10.100.3.5:8000,0.1645,0.0,183374,0,147773389,38671392,7,73,0,4364792,4364792,0,2135752
1789531230.9,http://10.100.3.5:8000,0.1645,,0,0,147773389,38671392,7,73,0,4364792,4364792,0,2135752
1789531233.0,http://10.100.3.5:8000,0.1593,0.0,122498,0,147895887,38671392,6,74,0,4374257,4374257,0,2145217
1789531235.0,http://10.100.3.5:8000,0.1593,,0,0,147895887,38671392,6,74,0,4383742,4383742,0,2154702
1789531237.0,http://10.100.3.5:8000,0.1779,0.0,183736,0,148079623,38671392,7,73,0,4393149,4393149,0,2164109
1789531239.0,http://10.100.3.5:8000,0.1779,,0,0,148079623,38671392,7,73,0,4411968,4350712,61256,2182928
1789531241.0,http://10.100.3.5:8000,0.1779,,0,0,148079623,38671392,7,73,0,4421454,4421454,0,2192414
1789531243.1,http://10.100.3.5:8000,0.1653,0.0,183678,0,148263301,38671392,7,73,0,4421454,4421454,0,2192414
1789531245.1,http://10.100.3.5:8000,0.1653,,0,0,148263301,38671392,7,73,0,4459369,4459369,0,2230329
1789531247.1,http://10.100.3.5:8000,0.129,0.0,122129,0,148385430,38671392,5,75,0,4459369,4459369,0,2230329
1789531249.1,http://10.100.3.5:8000,0.129,,0,0,148385430,38671392,5,75,0,4468869,4468869,0,2239829
1789531251.1,http://10.100.3.5:8000,0.129,,0,0,148385430,38671392,5,75,0,4478351,4478351,0,2249311
1789531253.2,http://10.100.3.5:8000,0.1164,0.0,183350,0,148568780,38671392,5,74,0,4487835,4487835,0,2258795
1789531255.2,http://10.100.3.5:8000,0.1164,,0,0,148568780,38671392,5,74,0,4497282,4497282,0,2268242
1789531257.2,http://10.100.3.5:8000,0.1623,0.0,122322,0,148691102,38671392,6,74,0,4497282,4497282,0,2268242
1789531259.2,http://10.100.3.5:8000,0.1623,,0,0,148691102,38671392,6,74,0,4506717,4506717,0,2277677
1789531261.3,http://10.100.3.5:8000,0.1623,,0,0,148691102,38671392,6,74,0,4516136,4516136,0,2287096
1789531263.3,http://10.100.3.5:8000,0.1809,0.0,183811,0,148874913,38671392,7,73,0,4534934,4534934,0,2305894
1789531265.3,http://10.100.3.5:8000,0.1809,,0,0,148874913,38671392,7,73,0,4553709,4553709,0,2324669
1789531267.3,http://10.100.3.5:8000,0.1374,0.0,183514,0,149058427,38671392,6,74,0,4553709,4553709,0,2324669
1789531269.3,http://10.100.3.5:8000,0.1374,,0,0,149058427,38671392,6,74,0,4572615,4572615,0,2343575
1789531271.4,http://10.100.3.5:8000,0.1374,,0,0,149058427,38671392,6,74,0,4581971,4520725,61246,2352931
1789531273.4,http://10.100.3.5:8000,0.1321,0.0,122343,0,149180770,38671392,5,75,0,4582068,4582068,0,2353028
1789531275.4,http://10.100.3.5:8000,0.1321,,0,0,149180770,38671392,5,75,0,4582068,4582068,0,2353028
1789531277.4,http://10.100.3.5:8000,0.1507,0.0,183561,0,149364331,38671392,6,72,0,4600945,4600945,0,2371905
1789531279.5,http://10.100.3.5:8000,0.1507,,0,0,149364331,38671392,6,72,0,4610378,4610378,0,2381338
1789531281.5,http://10.100.3.5:8000,0.1507,,0,0,149364331,38671392,6,72,0,4619835,4619835,0,2390795
1789531283.5,http://10.100.3.5:8000,0.1655,0.0,183574,0,149547905,38671392,7,73,0,4619835,4619835,0,2390795
1789531285.5,http://10.100.3.5:8000,0.1655,,0,0,149547905,38671392,7,73,0,4638687,4638687,0,2409647
1789531287.5,http://10.100.3.5:8000,0.1566,0.0,122285,0,149670190,38671392,6,73,0,4648125,4648125,0,2419085
1789531289.6,http://10.100.3.5:8000,0.1566,,0,0,149670190,38671392,6,73,0,4666942,4605736,61206,2437902
1789531291.6,http://10.100.3.5:8000,0.1566,,0,0,149670190,38671392,6,73,0,4667015,4667015,0,2437975
1789531293.6,http://10.100.3.5:8000,0.1478,0.0,183431,0,149853621,38671392,6,73,0,4676445,4676445,0,2447405
