program_id,turn,status,latency_s,prompt_tokens,completion_tokens
bench-ab-20260915-205919-default-s000,0,200,10.433,61284,36
bench-ab-20260915-205919-default-s000,1,200,160.904,61349,73
bench-ab-20260915-205919-default-s000,2,200,152.926,61451,60
bench-ab-20260915-205919-default-s001,0,200,11.132,61059,32
bench-ab-20260915-205919-default-s001,1,200,162.898,61120,75
bench-ab-20260915-205919-default-s001,2,200,151.874,61224,52
bench-ab-20260915-205919-default-s002,0,200,14.307,61317,37
bench-ab-20260915-205919-default-s002,1,200,162.383,61383,80
bench-ab-20260915-205919-default-s002,2,200,150.883,61493,44
bench-ab-20260915-205919-default-s003,0,200,19.43,61360,51
bench-ab-20260915-205919-default-s003,1,200,160.174,61440,68
bench-ab-20260915-205919-default-s003,2,200,156.187,61537,62
bench-ab-20260915-205919-default-s004,0,200,16.43,61301,31
bench-ab-20260915-205919-default-s004,1,200,153.331,61361,45
bench-ab-20260915-205919-default-s004,2,200,150.418,61435,54
bench-ab-20260915-205919-default-s005,0,200,19.175,61056,36
bench-ab-20260915-205919-default-s005,1,200,147.142,61121,26
bench-ab-20260915-205919-default-s005,2,200,145.047,61176,28
bench-ab-20260915-205919-default-s006,0,200,19.967,61033,31
bench-ab-20260915-205919-default-s006,1,200,153.938,61093,41
bench-ab-20260915-205919-default-s006,2,200,149.581,61163,38
bench-ab-20260915-205919-default-s007,0,200,21.793,61210,32
bench-ab-20260915-205919-default-s007,1,200,149.721,61271,25
bench-ab-20260915-205919-default-s007,2,200,145.848,61325,30
bench-ab-20260915-205919-default-s008,0,200,23.508,61147,31
bench-ab-20260915-205919-default-s008,1,200,155.984,61207,49
bench-ab-20260915-205919-default-s008,2,200,161.996,61285,80
bench-ab-20260915-205919-default-s009,0,200,27.283,61284,40
bench-ab-20260915-205919-default-s009,1,200,153.861,61353,49
bench-ab-20260915-205919-default-s009,2,200,155.637,61431,53
bench-ab-20260915-205919-default-s010,0,200,27.876,61477,35
bench-ab-20260915-205919-default-s010,1,200,148.963,61541,24
bench-ab-20260915-205919-default-s010,2,200,148.308,61594,31
bench-ab-20260915-205919-default-s011,0,200,30.983,61197,41
bench-ab-20260915-205919-default-s011,1,200,153.761,61267,49
bench-ab-20260915-205919-default-s011,2,200,155.732,61345,54
bench-ab-20260915-205919-default-s012,0,200,36.4,61205,55
bench-ab-20260915-205919-default-s012,1,200,152.563,61289,43
bench-ab-20260915-205919-default-s012,2,200,151.547,61361,40
bench-ab-20260915-205919-default-s013,0,200,34.139,61232,39
bench-ab-20260915-205919-default-s013,1,200,149.416,61300,30
bench-ab-20260915-205919-default-s013,2,200,151.661,61359,43
bench-ab-20260915-205919-default-s014,0,200,34.01,61218,31
bench-ab-20260915-205919-default-s014,1,200,155.951,61278,63
bench-ab-20260915-205919-default-s014,2,200,162.123,61370,80
bench-ab-20260915-205919-default-s015,0,200,39.773,61376,48
bench-ab-20260915-205919-default-s015,1,200,153.277,61453,45
bench-ab-20260915-205919-default-s015,2,200,152.678,61527,47
bench-ab-20260915-205919-default-s016,0,200,37.556,61206,31
bench-ab-20260915-205919-default-s016,1,200,148.179,61266,25
bench-ab-20260915-205919-default-s016,2,200,150.455,61320,33
bench-ab-20260915-205919-default-s017,0,200,41.033,61376,38
bench-ab-20260915-205919-default-s017,1,200,151.986,61443,39
bench-ab-20260915-205919-default-s017,2,200,150.851,61511,34
bench-ab-20260915-205919-default-s018,0,200,41.215,61145,32
bench-ab-20260915-205919-default-s018,1,200,160.705,61206,67
bench-ab-20260915-205919-default-s018,2,200,149.179,61302,55
bench-ab-20260915-205919-default-s019,0,200,47.045,61296,49
bench-ab-20260915-205919-default-s019,1,200,157.11,61374,61
bench-ab-20260915-205919-default-s019,2,200,151.392,61464,51
bench-ab-20260915-205919-default-s020,0,200,45.166,61351,34
bench-ab-20260915-205919-default-s020,1,200,157.654,61414,65
bench-ab-20260915-205919-default-s020,2,200,147.864,61508,47
bench-ab-20260915-205919-default-s021,0,200,48.6,61176,41
bench-ab-20260915-205919-default-s021,1,200,159.441,61246,63
