ts,backend,kv_cache_usage_perc,interval_hit_rate,interval_queries,interval_hits,cum_prefix_cache_queries,cum_prefix_cache_hits,num_requests_running,num_requests_waiting,num_preemptions,active_program_tokens,reasoning_program_tokens,acting_program_tokens,capacity_overflow
1789532087.7,http://10.100.3.5:8000,0.0,,0,0,175473374,42762544,0,0,0,0,0,0,0
1789532089.7,http://10.100.3.5:8000,0.0,,0,0,175473374,42762544,0,0,0,0,0,0,0
1789532091.8,http://10.100.3.5:8000,0.0,,0,0,175473374,42762544,0,0,0,829457,829457,0,0
1789532093.8,http://10.100.3.5:8000,0.0,,0,0,175473374,42762544,0,0,0,1658644,1658644,0,0
1789532095.8,http://10.100.3.5:8000,0.0696,0.0,183660,0,175657034,42762544,3,28,0,2228752,2228752,0,0
1789532097.9,http://10.100.3.5:8000,0.0696,,0,0,175657034,42762544,3,28,0,2228752,2228752,0,0
1789532099.9,http://10.100.3.5:8000,0.1392,0.0,183717,0,175840751,42762544,6,37,0,2228752,2228752,0,0
1789532101.9,http://10.100.3.5:8000,0.1392,,0,0,175840751,42762544,6,37,0,2247713,2247713,0,14973
1789532103.9,http://10.100.3.5:8000,0.1392,,0,0,175840751,42762544,6,37,0,2247713,2247713,0,14973
1789532105.9,http://10.100.3.5:8000,0.1614,0.0,122243,0,175962994,42762544,6,37,0,2195880,2195880,0,0
1789532108.0,http://10.100.3.5:8000,0.1614,,0,0,175962994,42762544,6,37,0,2144036,2144036,0,0
1789532110.0,http://10.100.3.5:8000,0.1798,0.0,183908,0,176146902,42762544,7,34,0,2101607,2101607,0,0
1789532112.0,http://10.100.3.5:8000,0.1798,,0,0,176146902,42762544,7,34,0,2049742,2049742,0,0
1789532114.0,http://10.100.3.5:8000,0.1798,,0,0,176146902,42762544,7,34,0,1997826,1997826,0,0
1789532116.0,http://10.100.3.5:8000,0.1362,0.0,122402,0,176269304,42762544,5,33,0,2129969,2129969,0,0
1789532118.1,http://10.100.3.5:8000,0.1362,,0,0,176269304,42762544,5,33,0,2129969,2129969,0,0
1789532120.1,http://10.100.3.5:8000,0.1309,0.0,183826,0,176453130,42762544,5,33,0,2210169,2210169,0,0
1789532122.1,http://10.100.3.5:8000,0.1309,,0,0,176453130,42762544,5,33,0,2210169,2210169,0,0
1789532124.1,http://10.100.3.5:8000,0.1309,,0,0,176453130,42762544,5,33,0,2158297,2158297,0,0
1789532126.1,http://10.100.3.5:8000,0.1767,0.0,183727,0,176636857,42762544,7,33,0,2116003,2116003,0,0
1789532128.2,http://10.100.3.5:8000,0.1767,,0,0,176636857,42762544,7,33,0,2064225,2064225,0,0
1789532130.2,http://10.100.3.5:8000,0.1642,0.0,122647,0,176759504,42762544,6,32,0,2134916,2134916,0,0
1789532132.2,http://10.100.3.5:8000,0.1642,,0,0,176759504,42762544,6,32,0,2083084,2083084,0,0
1789532134.2,http://10.100.3.5:8000,0.1314,0.0,183539,0,176943043,42762544,5,31,0,2224862,2224862,0,0
1789532136.3,http://10.100.3.5:8000,0.1314,,0,0,176943043,42762544,5,31,0,2224862,2224862,0,0
1789532138.3,http://10.100.3.5:8000,0.1314,,0,0,176943043,42762544,5,31,0,2173103,2173103,0,0
1789532140.3,http://10.100.3.5:8000,0.1772,0.0,183269,0,177126312,42762544,7,32,0,2173001,2173001,0,0
1789532142.3,http://10.100.3.5:8000,0.1772,,0,0,177126312,42762544,7,32,0,2069319,2069319,0,0
1789532144.3,http://10.100.3.5:8000,0.1647,0.0,183749,0,177310061,42762544,7,30,0,2192018,2192018,0,0
1789532146.4,http://10.100.3.5:8000,0.1647,,0,0,177310061,42762544,7,30,0,2140167,2140167,0,0
1789532148.4,http://10.100.3.5:8000,0.1647,,0,0,177310061,42762544,7,30,0,2088315,2088315,0,0
1789532150.4,http://10.100.3.5:8000,0.1596,0.0,122544,0,177432605,42762544,6,30,0,2220375,2220375,0,0
1789532152.4,http://10.100.3.5:8000,0.1596,,0,0,177432605,42762544,6,30,0,2116679,2116679,0,0
1789532154.4,http://10.100.3.5:8000,0.1507,0.0,183623,0,177616228,42762544,6,30,0,2187440,2187440,0,0
1789532156.5,http://10.100.3.5:8000,0.1507,,0,0,177616228,42762544,6,30,0,2187440,2187440,0,0
1789532158.5,http://10.100.3.5:8000,0.1507,,0,0,177616228,42762544,6,30,0,1980158,1980158,0,0
1789532160.5,http://10.100.3.5:8000,0.1107,0.0,183376,0,177799604,42762544,5,29,0,2225325,2225325,0,0
1789532162.5,http://10.100.3.5:8000,0.1107,,0,0,177799604,42762544,5,29,0,2173546,2173546,0,0
1789532164.5,http://10.100.3.5:8000,0.1291,0.0,122299,0,177921903,42762544,5,31,0,2183027,2183027,0,0
1789532166.6,http://10.100.3.5:8000,0.1291,,0,0,177921903,42762544,5,31,0,2131135,2131135,0,0
1789532168.6,http://10.100.3.5:8000,0.1291,,0,0,177921903,42762544,5,31,0,2079334,2079334,0,0
1789532170.6,http://10.100.3.5:8000,0.144,0.0,183373,0,178105276,42762544,6,29,0,2201957,2201957,0,0
1789532172.6,http://10.100.3.5:8000,0.144,,0,0,178105276,42762544,6,29,0,2150130,2150130,0,0
1789532174.6,http://10.100.3.5:8000,0.1626,0.0,122469,0,178227745,42762544,6,29,0,2220797,2220797,0,0
1789532176.7,http://10.100.3.5:8000,0.1626,,0,0,178227745,42762544,6,29,0,2117137,2117137,0,0
1789532178.7,http://10.100.3.5:8000,0.1626,,0,0,178227745,42762544,6,29,0,2013521,2013521,0,0
1789532180.7,http://10.100.3.5:8000,0.1265,0.0,183753,0,178411498,42762544,5,28,0,2197171,2197171,0,0
1789532182.7,http://10.100.3.5:8000,0.1265,,0,0,178411498,42762544,5,28,0,2197171,2197171,0,0
1789532184.8,http://10.100.3.5:8000,0.196,0.0,183829,0,178595327,42762544,8,28,0,2197131,2135835,61296,0
1789532186.8,http://10.100.3.5:8000,0.196,,0,0,178595327,42762544,8,28,0,2197029,2135882,61147,0
1789532188.8,http://10.100.3.5:8000,0.196,,0,0,178595327,42762544,8,28,0,2197197,2197197,0,0
1789532190.8,http://10.100.3.5:8000,0.1871,0.0,122474,0,178717801,42762544,7,29,0,2197197,2197197,0,0
1789532192.8,http://10.100.3.5:8000,0.1871,,0,0,178717801,42762544,7,29,0,2135885,2135885,0,0
1789532194.9,http://10.100.3.5:8000,0.1782,0.0,184007,0,178901808,42762544,7,27,0,2197220,2197220,0,0
1789532196.9,http://10.100.3.5:8000,0.1782,,0,0,178901808,42762544,7,27,0,2197220,2197220,0,0
1789532198.9,http://10.100.3.5:8000,0.1782,,0,0,178901808,42762544,7,27,0,2197276,2197276,0,0
1789532200.9,http://10.100.3.5:8000,0.2203,0.0,183772,0,179085580,42762544,9,27,0,2197366,2197366,0,0
1789532202.9,http://10.100.3.5:8000,0.2203,,0,0,179085580,42762544,9,27,0,2197382,2197382,0,0
1789532205.0,http://10.100.3.5:8000,0.1876,0.0,122570,0,179208150,42762544,7,27,0,2197483,2197483,0,0
1789532207.0,http://10.100.3.5:8000,0.1876,,0,0,179208150,42762544,7,27,0,2197516,2197516,0,0
1789532209.0,http://10.100.3.5:8000,0.1876,,0,0,179208150,42762544,7,27,0,2197621,2197621,0,0
1789532211.0,http://10.100.3.5:8000,0.1786,0.0,183485,0,179391635,42762544,7,29,0,2207087,2207087,0,0
1789532213.0,http://10.100.3.5:8000,0.1786,,0,0,179391635,42762544,7,29,0,2207236,2207236,0,0
1789532215.1,http://10.100.3.5:8000,0.1895,0.0,122493,0,179514128,42762544,7,29,0,2207325,2207325,0,0
1789532217.1,http://10.100.3.5:8000,0.1895,,0,0,179514128,42762544,7,29,0,2207325,2207325,0,0
1789532219.1,http://10.100.3.5:8000,0.1895,,0,0,179514128,42762544,7,29,0,2207325,2207325,0,0
1789532221.1,http://10.100.3.5:8000,0.2664,0.2498,245077,61216,179759205,42823760,10,26,0,2207294,2145985,61309,0
1789532223.2,http://10.100.3.5:8000,0.2664,,0,0,179759205,42823760,10,26,0,2207259,2146225,61034,0
1789532225.2,http://10.100.3.5:8000,0.2711,0.3417,183856,62832,179943061,42886592,10,26,0,2207504,2207504,0,0
1789532227.2,http://10.100.3.5:8000,0.2711,,0,0,179943061,42886592,10,26,0,2207461,2146176,61285,0
1789532229.2,http://10.100.3.5:8000,0.2711,,0,0,179943061,42886592,10,26,0,2207493,2207493,0,0
1789532231.2,http://10.100.3.5:8000,0.3272,0.17,183633,31216,180126694,42917808,12,24,0,2207768,2207768,0,0
1789532233.3,http://10.100.3.5:8000,0.3272,,0,0,180126694,42917808,12,24,0,2207961,2146587,61374,0
1789532235.3,http://10.100.3.5:8000,0.2423,0.1671,183502,30672,180310196,42948480,9,26,0,2207956,2207956,0,0
1789532237.3,http://10.100.3.5:8000,0.2423,,0,0,180310196,42948480,9,26,0,2207956,2207956,0,0
1789532239.3,http://10.100.3.5:8000,0.2423,,0,0,180310196,42948480,9,26,0,2209610,61387,2148223,0
1789532241.3,http://10.100.3.5:8000,0.0,0.9731,2330463,2267808,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532243.4,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532245.4,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532247.4,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532249.4,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532251.5,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532253.5,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532255.5,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532257.5,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532259.5,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532261.6,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532263.6,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532265.6,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532267.6,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532269.6,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532271.7,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532273.7,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532275.7,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532277.7,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532279.7,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532281.8,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532283.8,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532285.8,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532287.8,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532289.9,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532291.9,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532293.9,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532295.9,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532297.9,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532300.0,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532302.0,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532304.0,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532306.0,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532308.1,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
1789532310.1,http://10.100.3.5:8000,0.0,,0,0,182640659,45216288,0,0,0,2209598,0,2209598,0
