ts,kv_cache_usage_perc,num_requests_running,num_requests_waiting,num_preemptions_total,cum_prefix_cache_queries,cum_prefix_cache_hits,interval_queries,interval_hits,interval_hit_rate
1789576613.2,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576615.3,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576617.3,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576619.3,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576621.3,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576623.3,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576625.4,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576627.4,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576629.4,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576631.4,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576633.4,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576635.5,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576637.5,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576639.5,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576641.5,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576643.5,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576645.6,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576647.6,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576649.6,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576651.6,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576653.6,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576655.7,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576657.7,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576659.7,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576661.7,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576663.7,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576665.8,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576667.8,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576669.8,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576671.8,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576673.8,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576675.9,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576677.9,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576679.9,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576681.9,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576683.9,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576686.0,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576688.0,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576690.0,0.0,0.0,0.0,0.0,2420,1200,0,0,
1789576692.0,0.0,0.0,0.0,0.0,2420,1200,0,0,
