ts,programs_count,reasoning_count,acting_count,paused_count
1789591363.9,0,0,0,0
1789591365.9,0,0,0,0
1789591367.9,0,0,0,0
1789591369.9,0,0,0,0
1789591371.9,0,0,0,0
1789591374.0,0,0,0,0
1789591376.0,0,0,0,0
1789591378.0,0,0,0,0
1789591380.0,0,0,0,0
1789591382.0,0,0,0,0
1789591384.0,0,0,0,0
1789591386.0,0,0,0,0
1789591388.1,0,0,0,0
1789591390.1,0,0,0,0
1789591392.1,0,0,0,0
1789591394.1,0,0,0,0
1789591396.1,0,0,0,0
1789591398.1,0,0,0,0
1789591400.1,0,0,0,0
1789591402.2,0,0,0,0
1789591404.2,0,0,0,0
1789591406.2,0,0,0,0
1789591408.2,0,0,0,0
1789591410.2,0,0,0,0
1789591412.2,0,0,0,0
1789591414.2,0,0,0,0
1789591416.2,0,0,0,0
1789591418.3,0,0,0,0
1789591420.3,0,0,0,0
1789591422.3,0,0,0,0
1789591424.3,0,0,0,0
1789591426.3,0,0,0,0
1789591428.3,0,0,0,0
1789591430.3,0,0,0,0
1789591432.4,42,42,0,0
1789591434.4,47,47,0,0
1789591436.4,47,47,0,0
1789591438.4,47,46,1,0
1789591440.4,47,47,0,0
1789591442.4,49,49,0,0
1789591444.5,49,49,0,0
1789591446.5,49,49,0,0
1789591448.5,49,49,0,0
1789591450.5,49,49,0,0
1789591452.5,49,49,0,0
1789591454.5,49,49,0,0
1789591456.6,49,49,0,0
1789591458.6,49,49,0,0
1789591460.6,49,49,0,0
1789591462.6,49,49,0,0
1789591464.6,49,49,0,0
1789591466.6,49,49,0,0
1789591468.7,49,49,0,0
1789591470.7,49,49,0,0
1789591472.7,49,49,0,0
1789591474.7,49,49,0,0
1789591476.7,49,48,1,0
1789591478.8,49,48,1,0
1789591480.8,49,48,1,0
1789591482.8,49,49,0,0
1789591484.8,49,47,2,0
1789591486.8,49,48,1,0
1789591488.8,49,49,0,0
1789591490.9,49,49,0,0
1789591492.9,49,48,1,0
1789591494.9,49,48,1,0
1789591496.9,49,46,3,0
1789591499.0,49,45,4,0
1789591501.0,49,44,5,0
1789591503.0,50,46,4,0
1789591505.0,50,49,1,0
1789591507.0,50,49,1,0
1789591509.0,50,49,1,0
1789591511.1,50,49,1,0
1789591513.1,50,49,1,0
1789591515.1,50,46,4,0
1789591517.1,50,46,4,0
1789591519.2,50,48,2,0
1789591521.2,50,47,3,0
1789591523.2,50,47,3,0
1789591525.2,50,47,3,0
1789591527.2,50,48,2,0
1789591529.2,50,48,2,0
1789591531.3,50,50,0,0
1789591533.3,50,49,1,0
1789591535.3,50,49,1,0
1789591537.3,51,49,2,0
1789591539.3,51,51,0,0
1789591541.3,51,50,1,0
1789591543.3,51,50,1,0
1789591545.4,51,50,1,0
1789591547.4,51,50,1,0
1789591549.4,51,50,1,0
1789591551.4,51,51,0,0
1789591553.4,51,51,0,0
1789591555.4,51,51,0,0
1789591557.5,51,51,0,0
1789591559.5,51,50,1,0
1789591561.5,51,49,2,0
1789591563.5,51,50,1,0
1789591565.5,51,50,1,0
1789591567.5,51,51,0,0
1789591569.6,51,51,0,0
1789591571.6,51,49,2,0
1789591573.6,51,50,1,0
1789591575.6,51,49,2,0
1789591577.6,51,51,0,0
1789591579.6,51,51,0,0
1789591581.7,51,50,1,0
1789591583.7,51,50,1,0
1789591585.7,51,51,0,0
1789591587.7,51,51,0,0
1789591589.7,51,50,1,0
1789591591.7,51,49,2,0
1789591593.8,51,50,1,0
1789591595.8,51,50,1,0
1789591597.8,51,50,1,0
1789591599.8,51,50,1,0
1789591601.8,51,49,2,0
1789591603.8,51,50,1,0
1789591605.8,51,50,1,0
1789591607.9,51,50,1,0
1789591609.9,51,48,3,0
1789591611.9,51,51,0,0
1789591613.9,51,51,0,0
1789591615.9,51,51,0,0
1789591618.0,51,51,0,0
1789591620.0,51,50,1,0
1789591622.0,51,50,1,0
1789591624.0,51,48,3,0
1789591626.0,51,50,1,0
1789591628.0,51,50,1,0
1789591630.1,51,48,3,0
1789591632.1,51,48,3,0
1789591634.1,51,50,1,0
1789591636.1,51,49,2,0
1789591638.1,51,49,2,0
1789591640.1,51,50,1,0
1789591642.2,51,49,2,0
1789591644.2,51,47,4,0
1789591646.2,51,50,1,0
1789591648.2,51,50,1,0
1789591650.3,51,50,1,0
1789591652.3,51,49,2,0
1789591654.3,51,50,1,0
1789591656.3,51,50,1,0
1789591658.3,51,49,2,0
1789591660.3,51,49,2,0
1789591662.3,51,50,1,0
1789591664.4,51,49,2,0
1789591666.4,51,51,0,0
1789591668.4,51,51,0,0
1789591670.4,51,50,1,0
1789591672.4,51,50,1,0
1789591674.4,51,50,1,0
1789591676.5,51,50,1,0
1789591678.5,51,51,0,0
1789591680.5,51,51,0,0
1789591682.5,51,51,0,0
1789591684.5,51,51,0,0
1789591686.5,51,51,0,0
1789591688.6,51,51,0,0
1789591690.6,51,49,2,0
1789591692.6,51,49,2,0
1789591694.6,51,50,1,0
1789591696.6,51,50,1,0
1789591698.6,51,50,1,0
1789591700.7,51,49,2,0
1789591702.7,51,49,2,0
1789591704.7,51,51,0,0
1789591706.7,51,50,1,0
1789591708.7,51,50,1,0
1789591710.7,51,49,2,0
1789591712.8,51,49,2,0
1789591714.8,51,51,0,0
1789591716.8,51,51,0,0
1789591718.8,51,51,0,0
1789591720.8,51,50,1,0
1789591722.8,51,50,1,0
1789591724.9,51,51,0,0
1789591726.9,51,51,0,0
1789591728.9,51,51,0,0
1789591730.9,51,50,1,0
1789591732.9,51,50,1,0
1789591734.9,51,50,1,0
1789591737.0,51,50,1,0
1789591739.0,51,50,1,0
1789591741.0,51,51,0,0
1789591743.0,51,51,0,0
1789591745.0,51,51,0,0
1789591747.0,51,50,1,0
1789591749.1,51,48,3,0
1789591751.1,51,49,2,0
1789591753.1,51,51,0,0
1789591755.1,51,50,1,0
1789591757.1,51,50,1,0
1789591759.1,51,51,0,0
1789591761.2,51,50,1,0
1789591763.2,51,49,2,0
1789591765.2,51,51,0,0
1789591767.2,51,50,1,0
1789591769.2,51,49,2,0
1789591771.2,51,49,2,0
1789591773.3,51,49,2,0
1789591775.3,51,50,1,0
1789591777.3,51,49,2,0
1789591779.3,51,50,1,0
1789591781.3,51,49,2,0
1789591783.3,51,49,2,0
1789591785.4,51,48,3,0
1789591787.4,51,49,2,0
1789591789.4,51,50,1,0
1789591791.4,51,50,1,0
1789591793.5,51,49,2,0
1789591795.5,51,49,2,0
1789591797.5,52,51,1,0
1789591799.5,52,51,1,0
1789591801.5,52,51,1,0
1789591803.6,52,51,1,0
1789591805.6,52,51,1,0
1789591807.6,52,51,1,0
1789591809.6,52,51,1,0
1789591811.7,52,51,1,0
1789591813.7,52,51,1,0
1789591815.7,52,50,2,0
1789591817.7,52,50,2,0
1789591819.7,52,49,3,0
1789591821.7,52,49,3,0
1789591823.8,52,47,5,0
1789591825.8,52,49,3,0
1789591827.8,52,48,4,0
1789591829.8,52,49,3,0
1789591831.8,52,50,2,0
1789591833.9,52,50,2,0
1789591835.9,52,49,3,0
1789591837.9,52,50,2,0
1789591839.9,52,50,2,0
1789591841.9,52,50,2,0
