ts,programs_count,reasoning_count,acting_count,paused_count
1789545017.0,0,0,0,0
1789545019.0,0,0,0,0
1789545021.0,0,0,0,0
1789545023.1,0,0,0,0
1789545025.1,0,0,0,0
1789545027.1,0,0,0,0
1789545029.1,0,0,0,0
1789545031.1,0,0,0,0
1789545033.2,0,0,0,0
1789545035.2,0,0,0,0
1789545037.2,3,3,0,0
1789545039.2,3,3,0,0
1789545041.2,3,3,0,0
1789545043.3,3,2,1,0
1789545045.3,3,3,0,0
1789545047.3,3,2,1,0
1789545049.3,3,2,1,0
1789545051.3,3,2,1,0
1789545053.3,3,2,1,0
1789545055.4,3,3,0,0
1789545057.4,3,2,1,0
1789545059.4,3,3,0,0
1789545061.4,3,3,0,0
1789545063.4,3,3,0,0
1789545065.5,3,3,0,0
1789545067.5,3,2,1,0
1789545069.5,3,3,0,0
1789545071.5,3,3,0,0
1789545073.5,3,3,0,0
1789545075.6,3,3,0,0
1789545077.6,3,2,1,0
1789545079.6,3,3,0,0
1789545081.6,3,2,1,0
1789545083.6,3,2,1,0
1789545085.7,3,2,1,0
1789545087.7,3,2,1,0
1789545089.7,3,3,0,0
1789545091.7,3,2,1,0
1789545093.7,3,2,1,0
1789545095.8,3,3,0,0
1789545097.8,3,2,1,0
1789545099.8,3,1,2,0
1789545101.8,3,1,2,0
1789545103.8,3,1,2,0
1789545105.8,3,2,1,0
1789545107.9,3,2,1,0
1789545109.9,3,2,1,0
1789545111.9,3,2,1,0
1789545113.9,3,3,0,0
1789545115.9,3,3,0,0
1789545118.0,3,2,1,0
1789545120.0,3,3,0,0
1789545122.0,3,2,1,0
1789545124.0,3,2,1,0
1789545126.0,3,2,1,0
1789545128.1,3,3,0,0
1789545130.1,3,2,1,0
1789545132.1,3,2,1,0
1789545134.1,3,2,1,0
1789545136.1,3,3,0,0
1789545138.2,3,1,2,0
1789545140.2,3,0,3,0
1789545142.2,3,0,3,0
1789545144.2,3,2,1,0
1789545146.2,3,3,0,0
1789545148.3,3,1,2,0
1789545150.3,3,1,2,0
1789545152.3,3,1,2,0
1789545154.3,3,2,1,0
1789545156.3,3,3,0,0
1789545158.3,3,2,1,0
1789545160.4,3,2,1,0
1789545162.4,3,2,1,0
1789545164.4,3,1,2,0
1789545166.4,3,1,2,0
1789545168.4,3,2,1,0
1789545170.5,3,2,1,0
1789545172.5,3,2,1,0
1789545174.5,3,2,1,0
1789545176.5,3,3,0,0
1789545178.5,3,3,0,0
1789545180.6,3,2,1,0
1789545182.6,3,1,2,0
1789545184.6,3,1,2,0
1789545186.6,3,1,2,0
1789545188.6,3,2,1,0
1789545190.7,3,2,1,0
1789545192.7,3,1,2,0
1789545194.7,3,1,2,0
1789545196.7,3,1,2,0
1789545198.7,3,1,2,0
1789545200.8,3,1,2,0
1789545202.8,3,1,2,0
1789545204.8,3,1,2,0
1789545206.8,3,1,2,0
1789545208.8,3,1,2,0
1789545210.9,3,1,2,0
1789545212.9,3,1,2,0
1789545214.9,3,1,2,0
1789545216.9,3,1,2,0
1789545218.9,3,0,3,0
1789545220.9,3,1,2,0
1789545223.0,3,1,2,0
1789545225.0,3,1,2,0
1789545227.0,3,1,2,0
1789545229.0,3,1,2,0
1789545231.0,3,1,2,0
1789545233.1,3,1,2,0
1789545235.1,3,1,2,0
1789545237.1,3,1,2,0
1789545239.1,3,1,2,0
1789545241.1,3,0,3,0
1789545243.2,3,0,3,0
1789545245.2,3,1,2,0
1789545247.2,3,2,1,0
1789545249.2,3,2,1,0
