ts,program_id,status,state,backend
1789546093.6,wekatrace5_0767e712d9e187634174712ce484b8bb7526,reasoning,active,http://10.100.2.6:8000
1789546093.6,wekatrace19_1ac9d045056424d98ec4b5725460ca2b6120,reasoning,active,http://10.100.2.6:8000
1789546093.6,wekatrace13_1091bb824ba2083b254e5315eede43dce225,reasoning,active,http://10.100.2.6:8000
1789546093.6,wekatrace22_1c51f458e8b542059f13268dfd08554de56a,reasoning,active,http://10.100.2.6:8000
1789546093.6,wekatrace17_1770548ae8e30555e62d6d6296c0166d6074,reasoning,active,http://10.100.2.6:8000
1789546093.6,wekatrace11_0da3a3bea6f3559a2eff4114839b328dad53,reasoning,active,http://10.100.2.6:8000
1789546093.6,wekatrace23_1e086b8be96979688eb61ba63e18745a8f82,reasoning,active,http://10.100.2.6:8000
1789546093.6,wekatrace7_09a5d415a7157ed48a5a6fa2711f2d8565c1,reasoning,active,http://10.100.2.6:8000
1789546093.6,wekatrace14_116cb8d945f9d0810e788e51e3744adaab74,reasoning,active,http://10.100.2.6:8000
1789546093.6,wekatrace4_066e36628e08da30ed5d232a5034160529cb,reasoning,active,http://10.100.2.6:8000
1789546093.6,wekatrace2_03be8f1eb1e9e620f46bd07068d6ab1aaae3,reasoning,active,http://10.100.2.6:8000
1789546093.6,wekatrace1_01fece675b92efe07620225cd69c3884f774,reasoning,active,http://10.100.2.6:8000
1789546093.6,wekatrace15_13762df76dba635a268bf3acbb30bfffed63,reasoning,active,http://10.100.2.6:8000
1789546093.6,wekatrace8_0a5aba26f119570db6960496095f3969ebdc,reasoning,active,http://10.100.2.6:8000
1789546095.6,wekatrace5_0767e712d9e187634174712ce484b8bb7526,reasoning,active,http://10.100.2.6:8000
1789546095.6,wekatrace19_1ac9d045056424d98ec4b5725460ca2b6120,reasoning,active,http://10.100.2.6:8000
1789546095.6,wekatrace13_1091bb824ba2083b254e5315eede43dce225,reasoning,active,http://10.100.2.6:8000
1789546095.6,wekatrace22_1c51f458e8b542059f13268dfd08554de56a,reasoning,active,http://10.100.2.6:8000
1789546095.6,wekatrace17_1770548ae8e30555e62d6d6296c0166d6074,reasoning,active,http://10.100.2.6:8000
1789546095.6,wekatrace11_0da3a3bea6f3559a2eff4114839b328dad53,reasoning,active,http://10.100.2.6:8000
1789546095.6,wekatrace23_1e086b8be96979688eb61ba63e18745a8f82,reasoning,active,http://10.100.2.6:8000
1789546095.6,wekatrace7_09a5d415a7157ed48a5a6fa2711f2d8565c1,reasoning,active,http://10.100.2.6:8000
1789546095.6,wekatrace14_116cb8d945f9d0810e788e51e3744adaab74,reasoning,active,http://10.100.2.6:8000
1789546095.6,wekatrace4_066e36628e08da30ed5d232a5034160529cb,reasoning,active,http://10.100.2.6:8000
1789546095.6,wekatrace2_03be8f1eb1e9e620f46bd07068d6ab1aaae3,reasoning,active,http://10.100.2.6:8000
1789546095.6,wekatrace1_01fece675b92efe07620225cd69c3884f774,reasoning,active,http://10.100.2.6:8000
1789546095.6,wekatrace15_13762df76dba635a268bf3acbb30bfffed63,reasoning,active,http://10.100.2.6:8000
