ts,programs_count,reasoning_count,acting_count,paused_count
1789546063.2,0,0,0,0
1789546065.3,0,0,0,0
1789546067.3,0,0,0,0
1789546069.3,0,0,0,0
1789546071.4,0,0,0,0
1789546073.4,0,0,0,0
1789546075.4,0,0,0,0
1789546077.4,0,0,0,0
1789546079.4,0,0,0,0
1789546081.4,0,0,0,0
1789546083.5,0,0,0,0
1789546085.5,0,0,0,0
1789546087.5,0,0,0,0
1789546089.5,0,0,0,0
1789546091.5,0,0,0,0
1789546093.6,14,14,0,0
1789546095.6,14,14,0,0
1789546097.6,14,14,0,0
1789546099.6,14,14,0,0
1789546101.6,14,13,1,0
1789546103.7,14,13,1,0
1789546105.7,14,13,1,0
1789546107.7,14,13,1,0
1789546109.7,14,14,0,0
1789546111.7,14,10,4,0
1789546113.8,14,10,4,0
1789546115.8,14,13,1,0
1789546117.8,14,13,1,0
1789546119.8,14,12,2,0
1789546121.8,14,13,1,0
1789546123.9,14,14,0,0
1789546125.9,14,11,3,0
1789546127.9,14,12,2,0
1789546129.9,14,14,0,0
1789546131.9,14,13,1,0
1789546134.0,14,13,1,0
1789546136.0,14,13,1,0
1789546138.0,14,12,2,0
1789546140.0,14,11,3,0
1789546142.0,14,14,0,0
1789546144.1,14,14,0,0
1789546146.1,14,12,2,0
1789546148.1,14,13,1,0
1789546150.1,14,12,2,0
1789546152.1,14,11,3,0
1789546154.2,14,11,3,0
1789546156.2,14,12,2,0
1789546158.2,14,12,2,0
1789546160.2,14,12,2,0
1789546162.3,14,13,1,0
1789546164.3,14,12,2,0
1789546166.3,14,13,1,0
1789546168.3,14,13,1,0
1789546170.3,14,14,0,0
1789546172.4,14,13,1,0
1789546174.4,14,14,0,0
1789546176.4,14,12,2,0
1789546178.4,14,12,2,0
1789546180.5,14,14,0,0
1789546182.5,14,14,0,0
1789546184.5,14,14,0,0
1789546186.5,14,14,0,0
1789546188.5,14,13,1,0
1789546190.6,14,12,2,0
1789546192.6,14,10,4,0
1789546194.6,14,12,2,0
1789546196.6,14,12,2,0
1789546198.6,14,11,3,0
1789546200.7,14,9,5,0
1789546202.7,14,10,4,0
1789546204.7,14,12,2,0
1789546206.7,14,12,2,0
1789546208.7,14,14,0,0
1789546210.8,14,14,0,0
1789546212.8,14,14,0,0
1789546214.8,14,14,0,0
1789546216.8,14,14,0,0
1789546218.8,14,13,1,0
1789546220.9,14,13,1,0
1789546222.9,14,13,1,0
1789546224.9,14,14,0,0
1789546226.9,14,13,1,0
1789546229.0,15,15,0,0
1789546231.0,15,15,0,0
1789546233.0,15,15,0,0
1789546235.0,15,14,1,0
1789546237.0,15,13,2,0
1789546239.1,15,10,5,0
1789546241.1,15,11,4,0
1789546243.1,15,12,3,0
1789546245.1,15,13,2,0
1789546247.2,15,13,2,0
1789546249.2,15,12,3,0
1789546251.2,15,11,4,0
1789546253.2,15,11,4,0
1789546255.3,15,14,1,0
1789546257.3,15,15,0,0
1789546259.3,15,14,1,0
1789546261.3,15,12,3,0
1789546263.3,15,10,5,0
1789546265.4,15,12,3,0
1789546267.4,15,13,2,0
1789546269.4,15,14,1,0
1789546271.5,15,13,2,0
1789546273.5,15,12,3,0
1789546275.5,15,12,3,0
1789546277.5,15,9,6,0
1789546279.6,15,10,5,0
1789546281.6,15,13,2,0
1789546283.6,15,12,3,0
1789546285.6,15,13,2,0
1789546287.7,15,10,5,0
1789546289.7,15,12,3,0
1789546291.8,15,13,2,0
1789546293.8,15,13,2,0
1789546295.8,15,15,0,0
1789546297.8,15,15,0,0
1789546300.0,15,13,2,0
1789546302.0,15,13,2,0
1789546304.0,15,13,2,0
1789546306.0,15,12,3,0
1789546308.1,15,13,2,0
1789546310.1,15,15,0,0
1789546312.1,15,14,1,0
1789546314.1,15,14,1,0
1789546316.2,15,12,3,0
1789546318.2,15,15,0,0
1789546320.2,15,15,0,0
1789546322.2,15,15,0,0
1789546324.2,15,13,2,0
1789546326.3,15,14,1,0
1789546328.3,15,14,1,0
1789546330.3,15,14,1,0
1789546332.3,15,15,0,0
1789546334.4,15,15,0,0
1789546336.4,15,15,0,0
1789546338.4,15,13,2,0
1789546340.5,15,15,0,0
1789546342.5,15,15,0,0
1789546344.6,15,14,1,0
1789546346.6,15,13,2,0
1789546348.6,15,12,3,0
1789546350.6,15,13,2,0
1789546352.7,15,13,2,0
1789546354.7,15,12,3,0
1789546356.7,15,13,2,0
1789546358.8,15,13,2,0
1789546360.8,15,13,2,0
1789546362.8,15,13,2,0
1789546364.9,15,12,3,0
1789546366.9,15,13,2,0
1789546368.9,15,12,3,0
1789546370.9,15,12,3,0
1789546372.9,16,14,2,0
1789546375.0,16,14,2,0
1789546377.0,16,14,2,0
1789546379.0,16,14,2,0
1789546381.1,16,14,2,0
1789546383.1,16,14,2,0
1789546385.2,16,14,2,0
1789546387.2,16,13,3,0
1789546389.2,16,12,4,0
1789546391.3,16,10,6,0
1789546393.3,16,9,7,0
1789546395.3,16,12,4,0
1789546397.3,16,13,3,0
1789546399.4,16,12,4,0
1789546401.4,16,13,3,0
1789546403.4,16,12,4,0
1789546405.4,17,13,4,0
1789546407.5,17,11,6,0
1789546409.5,18,11,7,0
1789546411.5,18,13,5,0
1789546413.5,18,12,6,0
1789546415.6,18,14,4,0
1789546417.6,18,13,5,0
1789546419.6,18,11,7,0
1789546421.6,18,12,6,0
1789546423.7,18,12,6,0
1789546425.7,18,12,6,0
1789546427.7,18,12,6,0
1789546429.7,18,11,7,0
1789546431.8,18,12,6,0
1789546433.8,18,12,6,0
1789546435.8,18,13,5,0
1789546437.8,18,13,5,0
1789546439.9,18,13,5,0
1789546441.9,18,14,4,0
1789546443.9,19,14,5,0
1789546445.9,19,14,5,0
1789546448.0,19,14,5,0
1789546450.0,19,13,6,0
1789546452.0,19,14,5,0
1789546454.0,19,13,6,0
1789546456.1,19,15,4,0
1789546458.1,20,13,7,0
1789546460.1,20,15,5,0
1789546462.1,20,15,5,0
1789546464.2,20,15,5,0
1789546466.2,20,14,6,0
1789546468.2,20,13,7,0
1789546470.2,20,14,6,0
1789546472.3,20,14,6,0
1789546474.3,20,14,6,0
1789546476.3,20,14,6,0
1789546478.3,20,14,6,0
1789546480.3,20,14,6,0
1789546482.4,20,14,6,0
1789546484.4,20,14,6,0
1789546486.4,20,12,8,0
1789546488.4,20,12,8,0
1789546490.4,20,12,8,0
1789546492.5,20,12,8,0
1789546494.5,20,12,8,0
1789546496.5,20,13,7,0
1789546498.5,20,13,7,0
1789546500.5,20,13,7,0
1789546502.6,20,13,7,0
1789546504.6,20,14,6,0
1789546506.6,20,14,6,0
1789546508.6,20,14,6,0
1789546510.7,20,13,7,0
1789546512.7,20,13,7,0
1789546514.7,20,13,7,0
1789546516.7,20,12,8,0
1789546518.7,20,12,8,0
1789546520.8,20,12,8,0
1789546522.8,20,12,8,0
1789546524.8,20,13,7,0
1789546526.8,20,13,7,0
