ts,programs_count,reasoning_count,acting_count,paused_count
1789546065.8,0,0,0,0
1789546067.9,0,0,0,0
1789546069.9,0,0,0,0
1789546071.9,0,0,0,0
1789546073.9,0,0,0,0
1789546075.9,0,0,0,0
1789546077.9,0,0,0,0
1789546080.0,0,0,0,0
1789546082.0,0,0,0,0
1789546084.0,0,0,0,0
1789546086.0,0,0,0,0
1789546088.0,0,0,0,0
1789546090.1,0,0,0,0
1789546092.1,0,0,0,0
1789546094.1,0,0,0,0
1789546096.1,0,0,0,0
1789546098.1,0,0,0,0
1789546100.2,0,0,0,0
1789546102.2,0,0,0,0
1789546104.2,15,15,0,0
1789546106.2,17,17,0,0
1789546108.2,17,17,0,0
1789546110.2,17,16,1,0
1789546112.3,17,16,1,0
1789546114.3,17,16,1,0
1789546116.3,17,16,1,0
1789546118.3,17,17,0,0
1789546120.3,17,17,0,0
1789546122.4,17,17,0,0
1789546124.4,17,16,1,0
1789546126.4,17,15,2,0
1789546128.4,17,13,4,0
1789546130.4,17,13,4,0
1789546132.5,17,17,0,0
1789546134.5,17,17,0,0
1789546136.5,17,15,2,0
1789546138.5,17,16,1,0
1789546140.6,17,15,2,0
1789546142.6,17,16,1,0
1789546144.6,17,17,0,0
1789546146.6,17,16,1,0
1789546148.6,17,14,3,0
1789546150.7,17,17,0,0
1789546152.7,17,17,0,0
1789546154.7,17,16,1,0
1789546156.7,17,13,4,0
1789546158.8,17,16,1,0
1789546160.8,17,15,2,0
1789546162.8,17,16,1,0
1789546164.8,17,17,0,0
1789546166.8,17,15,2,0
1789546168.9,17,16,1,0
1789546170.9,17,15,2,0
1789546172.9,17,15,2,0
1789546174.9,17,16,1,0
1789546177.0,17,15,2,0
1789546179.0,17,14,3,0
1789546181.0,17,14,3,0
1789546183.0,17,15,2,0
1789546185.0,17,16,1,0
1789546187.1,17,15,2,0
1789546189.1,17,16,1,0
1789546191.1,17,15,2,0
1789546193.1,17,17,0,0
1789546195.2,17,17,0,0
1789546197.2,17,17,0,0
1789546199.2,17,15,2,0
1789546201.2,17,17,0,0
1789546203.2,17,17,0,0
1789546205.3,17,17,0,0
1789546207.3,17,16,1,0
1789546209.3,17,17,0,0
1789546211.3,17,17,0,0
1789546213.4,17,17,0,0
1789546215.4,17,17,0,0
1789546217.4,17,17,0,0
1789546219.4,17,17,0,0
1789546221.4,17,17,0,0
1789546223.5,17,16,1,0
1789546225.5,17,17,0,0
1789546227.5,17,13,4,0
1789546229.5,17,16,1,0
1789546231.5,17,17,0,0
1789546233.6,17,15,2,0
1789546235.6,17,14,3,0
1789546237.6,17,14,3,0
