ts,programs_count,reasoning_count,acting_count,paused_count
1789549121.8,0,0,0,0
1789549123.9,0,0,0,0
1789549125.9,0,0,0,0
1789549127.9,0,0,0,0
1789549129.9,0,0,0,0
1789549131.9,0,0,0,0
1789549134.0,0,0,0,0
1789549136.0,0,0,0,0
1789549138.0,0,0,0,0
1789549140.0,0,0,0,0
1789549142.0,0,0,0,0
1789549144.1,0,0,0,0
1789549146.1,0,0,0,0
1789549148.1,8,8,0,0
1789549150.1,8,8,0,0
1789549152.1,8,8,0,0
1789549154.1,8,8,0,0
1789549156.2,8,8,0,0
1789549158.2,8,4,4,0
1789549160.2,8,6,2,0
1789549162.2,8,6,2,0
1789549164.2,8,6,2,0
1789549166.3,8,5,3,0
1789549168.3,8,8,0,0
1789549170.3,8,7,1,0
1789549172.3,8,6,2,0
1789549174.3,8,8,0,0
1789549176.4,8,7,1,0
1789549178.4,8,5,3,0
1789549180.4,8,5,3,0
1789549182.4,8,7,1,0
1789549184.4,8,7,1,0
1789549186.5,8,6,2,0
1789549188.5,8,7,1,0
1789549190.5,8,6,2,0
1789549192.5,8,7,1,0
1789549194.5,8,6,2,0
1789549196.6,8,5,3,0
1789549198.6,8,6,2,0
1789549200.6,8,7,1,0
1789549202.6,8,8,0,0
1789549204.6,8,8,0,0
1789549206.7,8,8,0,0
1789549208.7,8,7,1,0
1789549210.7,8,7,1,0
1789549212.7,8,6,2,0
1789549214.8,8,5,3,0
1789549216.8,8,7,1,0
1789549218.8,8,6,2,0
1789549220.8,8,7,1,0
1789549222.8,8,7,1,0
1789549224.9,8,7,1,0
1789549226.9,8,7,1,0
1789549228.9,8,7,1,0
1789549230.9,8,8,0,0
1789549232.9,8,7,1,0
1789549235.0,8,8,0,0
1789549237.0,8,7,1,0
1789549239.0,8,8,0,0
1789549241.0,8,8,0,0
1789549243.0,8,8,0,0
1789549245.1,8,7,1,0
1789549247.1,8,8,0,0
1789549249.1,8,7,1,0
1789549251.1,8,8,0,0
1789549253.1,8,5,3,0
1789549255.2,8,4,4,0
1789549257.2,8,4,4,0
1789549259.2,8,4,4,0
1789549261.2,8,5,3,0
1789549263.3,8,6,2,0
1789549265.3,8,7,1,0
1789549267.3,8,6,2,0
1789549269.3,8,4,4,0
1789549271.3,8,5,3,0
1789549273.4,8,6,2,0
1789549275.4,8,6,2,0
1789549277.4,8,6,2,0
1789549279.4,8,7,1,0
1789549281.4,8,8,0,0
1789549283.5,8,6,2,0
1789549285.5,8,7,1,0
1789549287.5,8,7,1,0
1789549289.5,8,8,0,0
1789549291.5,8,8,0,0
1789549293.6,8,8,0,0
1789549295.6,8,8,0,0
1789549297.6,8,8,0,0
1789549299.6,8,7,1,0
1789549301.7,8,8,0,0
1789549303.7,8,8,0,0
1789549305.7,8,8,0,0
1789549307.7,8,6,2,0
1789549309.8,8,7,1,0
1789549311.8,8,7,1,0
1789549313.8,8,6,2,0
1789549315.8,8,7,1,0
1789549317.8,8,8,0,0
1789549319.9,8,8,0,0
1789549321.9,8,8,0,0
1789549323.9,8,8,0,0
1789549325.9,8,8,0,0
1789549327.9,8,7,1,0
1789549330.0,8,7,1,0
1789549332.0,8,6,2,0
1789549334.0,8,6,2,0
1789549336.0,8,7,1,0
1789549338.0,8,7,1,0
1789549340.1,8,6,2,0
1789549342.1,8,7,1,0
1789549344.1,9,7,2,0
1789549346.1,9,5,4,0
1789549348.2,9,5,4,0
1789549350.2,9,5,4,0
1789549352.2,9,3,6,0
1789549354.2,9,6,3,0
1789549356.2,9,7,2,0
1789549358.3,9,7,2,0
1789549360.3,9,6,3,0
1789549362.3,9,6,3,0
1789549364.3,9,6,3,0
1789549366.3,9,6,3,0
1789549368.4,9,6,3,0
1789549370.4,9,6,3,0
1789549372.4,9,6,3,0
1789549374.4,9,5,4,0
1789549376.4,9,8,1,0
1789549378.5,9,8,1,0
1789549380.5,9,8,1,0
1789549382.5,9,7,2,0
1789549384.5,9,7,2,0
1789549386.6,9,7,2,0
1789549388.6,9,7,2,0
1789549390.6,9,7,2,0
1789549392.6,9,8,1,0
1789549394.6,9,8,1,0
1789549396.7,9,7,2,0
1789549398.7,9,7,2,0
1789549400.7,9,7,2,0
1789549402.7,9,8,1,0
