ts,kv_cache_usage_perc,num_requests_running,num_requests_waiting,num_preemptions_total,cum_prefix_cache_queries,cum_prefix_cache_hits,interval_queries,interval_hits,interval_hit_rate
1789549121.8,0.0,0.0,0.0,0.0,292921033,141072800,0,0,
1789549123.9,0.0,0.0,0.0,0.0,292921033,141072800,0,0,
1789549125.9,0.0,0.0,0.0,0.0,292921033,141072800,0,0,
1789549127.9,0.0,0.0,0.0,0.0,292921033,141072800,0,0,
1789549129.9,0.0,0.0,0.0,0.0,292921033,141072800,0,0,
1789549131.9,0.0,0.0,0.0,0.0,292921033,141072800,0,0,
1789549134.0,0.0,0.0,0.0,0.0,292921033,141072800,0,0,
1789549136.0,0.0,0.0,0.0,0.0,292921033,141072800,0,0,
1789549138.0,0.0,0.0,0.0,0.0,292921033,141072800,0,0,
1789549140.0,0.0,0.0,0.0,0.0,292921033,141072800,0,0,
1789549142.0,0.0,0.0,0.0,0.0,292921033,141072800,0,0,
1789549144.1,0.0,0.0,0.0,0.0,292921033,141072800,0,0,
1789549146.1,0.0,0.0,0.0,0.0,292921033,141072800,0,0,
1789549148.1,0.036634385683837145,3.0,5.0,0.0,293026106,141072800,105073,0,0.0
1789549150.1,0.07326161900811079,7.0,1.0,0.0,293117183,141072800,91077,0,0.0
1789549152.1,0.10358047119744807,6.0,2.0,0.0,293174237,141072800,57054,0,0.0
1789549154.1,0.13654569642525072,8.0,0.0,0.0,293262282,141072800,88045,0,0.0
1789549156.2,0.1504284263378488,8.0,0.0,0.0,293262282,141072800,0,0,
1789549158.2,0.0829101520591643,4.0,0.0,0.0,293290220,141098448,27938,25648,0.918
1789549160.2,0.11752757234611699,6.0,0.0,0.0,293424908,141230304,134688,131856,0.979
1789549162.2,0.09367445320211143,6.0,0.0,0.0,293472314,141277296,47406,46992,0.9913
1789549164.2,0.109166464016479,6.0,0.0,0.0,293506660,141277296,34346,0,0.0
1789549166.3,0.1000829673709357,5.0,0.0,0.0,293608998,141378768,102338,101472,0.9915
1789549168.3,0.14429170183243456,8.0,0.0,0.0,293706914,141459536,97916,80768,0.8249
1789549170.3,0.12955784113178936,7.0,0.0,0.0,293736294,141487808,29380,28272,0.9623
1789549172.3,0.12644656472170168,6.0,0.0,0.0,293779422,141487808,43128,0,0.0
1789549174.3,0.16567725692706026,8.0,0.0,0.0,293855776,141557152,76354,69344,0.9082
1789549176.4,0.16096385197476648,8.0,0.0,0.0,293887456,141557152,31680,0,0.0
1789549178.4,0.11835009369591032,6.0,0.0,0.0,293887456,141557152,0,0,
1789549180.4,0.10312987254495254,5.0,0.0,0.0,293955504,141616752,68048,59600,0.8759
1789549182.4,0.14479236700187392,8.0,0.0,0.0,294092081,141726304,136577,109552,0.8021
1789549184.4,0.14907663038036245,8.0,0.0,0.0,294136627,141769680,44546,43376,0.9737
1789549186.5,0.12977956427825543,7.0,0.0,0.0,294136627,141769680,0,0,
1789549188.5,0.15140829959803737,8.0,0.0,0.0,294216311,141846944,79684,77264,0.9696
1789549190.5,0.13197533866422528,7.0,0.0,0.0,294216311,141846944,0,0,
1789549192.5,0.1574735005078175,8.0,0.0,0.0,294332231,141918608,115920,71664,0.6182
1789549194.5,0.13217560473200107,7.0,0.0,0.0,294377503,141963728,45272,45120,0.9966
1789549196.6,0.11250661593259614,6.0,0.0,0.0,294377503,141963728,0,0,
1789549198.6,0.14399845509033427,7.0,0.0,0.0,294451355,142029232,73852,65504,0.887
1789549200.6,0.16568440928662365,8.0,0.0,0.0,294544593,142119360,93238,90128,0.9666
1789549202.6,0.19120402820890614,9.0,0.0,0.0,294715094,142193600,170501,74240,0.4354
1789549204.6,0.2095283734103881,9.0,0.0,0.0,294715094,142193600,0,0,
1789549206.7,0.2205000929806743,9.0,0.0,0.0,294715094,142193600,0,0,
1789549208.7,0.20654583947244198,8.0,0.0,0.0,294761933,142236960,46839,43360,0.9257
1789549210.7,0.2071823994735863,8.0,0.0,0.0,294808681,142283360,46748,46400,0.9926
1789549212.7,0.18653353741399292,7.0,0.0,0.0,294808681,142283360,0,0,
1789549214.8,0.16595619895003366,6.0,0.0,0.0,294808681,142283360,0,0,
1789549216.8,0.21090877880612813,8.0,0.0,0.0,294995573,142465280,186892,181920,0.9734
1789549218.8,0.18903686326118985,7.0,0.0,0.0,294998517,142465280,2944,0,0.0
1789549220.8,0.17704235627333453,6.0,0.0,0.0,295223678,142596752,225161,131472,0.5839
1789549222.8,0.18802838056274762,6.0,2.0,0.0,295223678,142596752,0,0,
1789549224.9,0.1738094897506688,5.0,2.0,0.0,295223678,142596752,0,0,
1789549226.9,0.18114065830317416,5.0,3.0,0.0,295223678,142596752,0,0,
1789549228.9,0.18480266639964527,5.0,3.0,0.0,295223678,142596752,0,0,
1789549230.9,0.25451671506429974,8.0,0.0,0.0,295373835,142736304,150157,139552,0.9294
1789549232.9,0.24869469437967584,8.0,0.0,0.0,295426558,142784464,52723,48160,0.9135
1789549235.0,0.2819603187091422,9.0,0.0,0.0,295499700,142856144,73142,71680,0.98
1789549237.0,0.2600884031642039,8.0,0.0,0.0,295499700,142856144,0,0,
1789549239.0,0.2831690674753601,9.0,0.0,0.0,295549975,142906400,50275,50256,0.9996
1789549241.0,0.28377701803825084,9.0,0.0,0.0,295549975,142906400,0,0,
1789549243.0,0.2843706638820147,9.0,0.0,0.0,295549975,142906400,0,0,
1789549245.1,0.2609466863118143,8.0,0.0,0.0,295549975,142906400,0,0,
1789549247.1,0.18793539988842323,8.0,1.0,0.0,295626711,142927920,76736,21520,0.2804
1789549249.1,0.19596034731858036,8.0,0.0,0.0,295680437,142980960,53726,53040,0.9872
1789549251.1,0.21935571545052712,9.0,0.0,0.0,295731234,143031728,50797,50768,0.9994
1789549253.1,0.13671735305477273,6.0,0.0,0.0,295837208,143132928,105974,101200,0.955
1789549255.2,0.08147968014648033,4.0,0.0,0.0,295837208,143132928,0,0,
1789549257.2,0.1147953709928905,5.0,0.0,0.0,296042143,143331232,204935,198304,0.9676
1789549259.2,0.07785343384782639,4.0,0.0,0.0,296180508,143469520,138365,138288,0.9994
1789549261.2,0.13301243080092118,6.0,0.0,0.0,296459539,143738496,279031,268976,0.964
1789549263.3,0.17478936301085723,7.0,0.0,0.0,296643826,143922752,184287,184256,0.9998
1789549265.3,0.1984708255253408,8.0,0.0,0.0,296915924,144189728,272098,266976,0.9812
1789549267.3,0.17770037335316924,7.0,0.0,0.0,297008374,144282160,92450,92432,0.9998
1789549269.3,0.11674796515370423,5.0,0.0,0.0,297211825,144484640,203451,202480,0.9952
1789549271.3,0.08513453588338793,3.0,0.0,0.0,297346225,144617584,134400,132944,0.9892
1789549273.4,0.14515713733960833,5.0,0.0,0.0,297479947,144710560,133722,92976,0.6953
1789549275.4,0.16828786816770858,6.0,0.0,0.0,297583844,144813488,103897,102928,0.9907
1789549277.4,0.1745533351452644,6.0,0.0,0.0,297728763,144948688,144919,135200,0.9329
1789549279.4,0.20131746463158195,7.0,0.0,0.0,297842554,145060960,113791,112272,0.9867
1789549281.4,0.20759723632826466,8.0,0.0,0.0,297895786,145109536,53232,48576,0.9125
1789549283.5,0.11860042628062994,5.0,0.0,0.0,297895786,145109536,0,0,
1789549285.5,0.18736321112334964,7.0,0.0,0.0,298048459,145259872,152673,150336,0.9847
1789549287.5,0.17194987626417957,7.0,0.0,0.0,298109847,145309040,61388,49168,0.8009
1789549289.5,0.21428469252006233,8.0,0.0,0.0,298203175,145401168,93328,92128,0.9871
1789549291.5,0.21555781252235118,8.0,0.0,0.0,298356306,145551968,153131,150800,0.9848
1789549293.6,0.22296765703005417,8.0,0.0,0.0,298384219,145551968,27913,0,0.0
1789549295.6,0.22361136939076198,8.0,0.0,0.0,298384219,145551968,0,0,
1789549297.6,0.2279242422075043,8.0,0.0,0.0,298541854,145700992,157635,149024,0.9454
1789549299.6,0.20288383137597088,7.0,0.0,0.0,298541854,145700992,0,0,
1789549301.7,0.22924027636717348,8.0,0.0,0.0,298650272,145807584,108418,106592,0.9832
1789549303.7,0.23577038064857592,8.0,0.0,0.0,298692794,145807584,42522,0,0.0
1789549305.7,0.23639978829015695,8.0,0.0,0.0,298692794,145807584,0,0,
1789549307.7,0.1663996452429657,6.0,0.0,0.0,298750025,145864176,57231,56592,0.9888
1789549309.8,0.19372881113479334,7.0,0.0,0.0,298853006,145963872,102981,99696,0.9681
1789549311.8,0.194436894731572,7.0,0.0,0.0,298913650,146023520,60644,59648,0.9836
1789549313.8,0.16781581243652277,6.0,0.0,0.0,298913650,146023520,0,0,
1789549315.8,0.1937717252921739,7.0,0.0,0.0,298970433,146080288,56783,56768,0.9997
1789549317.8,0.22176606062339965,8.0,0.0,0.0,299031627,146141152,61194,60864,0.9946
1789549319.9,0.22245983950105142,8.0,0.0,0.0,299132813,146241776,101186,100624,0.9944
1789549321.9,0.223117856580886,8.0,0.0,0.0,299132813,146241776,0,0,
1789549323.9,0.22316077073826657,8.0,0.0,0.0,299135716,146241792,2903,16,0.0055
1789549325.9,0.22373295950334016,8.0,0.0,0.0,299248284,146350896,112568,109104,0.9692
1789549327.9,0.17714964166678582,7.0,0.0,0.0,299306129,146408656,57845,57760,0.9985
1789549330.0,0.19588167136338275,7.0,0.0,0.0,299471536,146571216,165407,162560,0.9828
1789549332.0,0.16988284435035117,6.0,0.0,0.0,299530425,146629360,58889,58144,0.9873
