ts,programs_count,reasoning_count,acting_count,paused_count
1789610048.8,0,0,0,0
1789610050.8,0,0,0,0
1789610052.8,0,0,0,0
1789610054.9,0,0,0,0
1789610056.9,0,0,0,0
1789610058.9,0,0,0,0
1789610060.9,0,0,0,0
1789610062.9,0,0,0,0
1789610064.9,0,0,0,0
1789610067.0,0,0,0,0
1789610069.0,0,0,0,0
1789610071.0,0,0,0,0
1789610073.0,0,0,0,0
1789610075.0,0,0,0,0
1789610077.0,0,0,0,0
1789610079.1,0,0,0,0
1789610081.1,0,0,0,0
1789610083.1,0,0,0,0
1789610085.1,0,0,0,0
1789610087.1,0,0,0,0
1789610089.2,0,0,0,0
1789610091.2,0,0,0,0
1789610093.2,0,0,0,0
1789610095.2,0,0,0,0
1789610097.3,0,0,0,0
1789610099.3,0,0,0,0
1789610101.3,0,0,0,0
1789610103.3,0,0,0,0
1789610105.3,0,0,0,0
1789610107.4,0,0,0,0
1789610109.4,0,0,0,0
1789610111.4,0,0,0,0
1789610113.4,0,0,0,0
1789610115.4,0,0,0,0
1789610117.4,0,0,0,0
1789610119.5,36,36,0,0
1789610121.5,46,46,0,0
1789610123.5,46,46,0,0
1789610125.5,47,47,0,0
1789610127.5,48,48,0,0
1789610129.6,48,48,0,0
1789610131.6,48,48,0,0
1789610133.6,48,47,1,0
1789610135.6,48,48,0,0
1789610137.6,48,48,0,0
1789610139.7,48,48,0,0
1789610141.7,48,48,0,0
1789610143.7,48,48,0,0
1789610145.7,48,48,0,0
1789610147.7,48,48,0,0
1789610149.8,48,48,0,0
1789610151.8,48,48,0,0
1789610153.8,48,48,0,0
1789610155.8,48,48,0,0
1789610157.8,48,48,0,0
1789610159.9,48,48,0,0
1789610161.9,48,48,0,0
1789610163.9,48,48,0,0
1789610165.9,48,48,0,0
1789610167.9,48,48,0,0
1789610170.0,48,48,0,0
1789610172.0,48,47,1,0
1789610174.0,48,47,1,0
1789610176.0,48,47,1,0
1789610178.1,48,48,0,0
1789610180.1,48,47,1,0
1789610182.1,48,44,4,0
1789610184.1,48,43,5,0
1789610186.2,49,40,9,0
1789610188.2,49,44,5,0
1789610190.2,49,44,5,0
1789610192.2,49,46,3,0
1789610194.3,49,45,4,0
1789610196.3,49,48,1,0
1789610198.3,49,47,2,0
1789610200.3,49,47,2,0
1789610202.4,49,44,5,0
1789610204.4,49,46,3,0
1789610206.4,49,46,3,0
1789610208.4,49,46,3,0
1789610210.4,49,46,3,0
1789610212.5,50,45,5,0
1789610214.5,50,48,2,0
1789610216.5,50,49,1,0
1789610218.5,50,49,1,0
1789610220.5,50,50,0,0
1789610222.6,50,50,0,0
1789610224.6,50,49,1,0
1789610226.6,50,50,0,0
1789610228.6,50,50,0,0
1789610230.6,50,50,0,0
1789610232.7,50,50,0,0
1789610234.7,50,50,0,0
1789610236.7,50,50,0,0
1789610238.7,50,49,1,0
1789610240.7,50,50,0,0
1789610242.8,50,50,0,0
1789610244.8,50,48,2,0
1789610246.8,51,48,3,0
1789610248.8,51,49,2,0
1789610250.9,51,50,1,0
1789610252.9,51,50,1,0
1789610254.9,51,51,0,0
1789610256.9,51,50,1,0
1789610258.9,51,48,3,0
1789610261.0,51,48,3,0
1789610263.0,51,50,1,0
1789610265.0,51,50,1,0
1789610267.0,51,51,0,0
1789610269.0,51,50,1,0
1789610271.0,51,51,0,0
1789610273.1,51,51,0,0
1789610275.1,51,50,1,0
1789610277.1,51,49,2,0
1789610279.1,51,49,2,0
1789610281.1,51,49,2,0
1789610283.2,51,49,2,0
1789610285.2,51,49,2,0
1789610287.2,52,50,2,0
1789610289.2,52,52,0,0
1789610291.3,52,52,0,0
1789610293.3,52,50,2,0
1789610295.3,52,52,0,0
1789610297.3,52,51,1,0
1789610299.3,52,52,0,0
1789610301.4,52,51,1,0
1789610303.4,52,51,1,0
1789610305.4,52,51,1,0
1789610307.4,52,52,0,0
1789610309.4,52,51,1,0
1789610311.5,52,50,2,0
1789610313.5,52,50,2,0
1789610315.5,52,51,1,0
1789610317.5,52,50,2,0
1789610319.6,52,51,1,0
1789610321.6,52,52,0,0
1789610323.6,52,52,0,0
1789610325.6,52,50,2,0
1789610327.6,52,52,0,0
1789610329.7,52,51,1,0
1789610331.7,52,51,1,0
1789610333.7,52,51,1,0
