ts,programs_count,reasoning_count,acting_count,paused_count
1789613093.5,0,0,0,0
1789613095.5,0,0,0,0
1789613097.5,0,0,0,0
1789613099.5,0,0,0,0
1789613101.5,0,0,0,0
1789613103.6,0,0,0,0
1789613105.6,0,0,0,0
1789613107.6,0,0,0,0
1789613109.6,0,0,0,0
1789613111.6,0,0,0,0
1789613113.6,0,0,0,0
1789613115.6,0,0,0,0
1789613117.6,0,0,0,0
1789613119.7,0,0,0,0
1789613121.7,0,0,0,0
1789613123.7,0,0,0,0
1789613125.7,0,0,0,0
1789613127.7,0,0,0,0
1789613129.7,0,0,0,0
1789613131.8,0,0,0,0
1789613133.8,0,0,0,0
1789613135.8,0,0,0,0
1789613137.8,0,0,0,0
1789613139.8,0,0,0,0
1789613141.8,0,0,0,0
1789613143.8,0,0,0,0
1789613145.8,0,0,0,0
1789613147.9,0,0,0,0
1789613149.9,0,0,0,0
1789613151.9,0,0,0,0
1789613153.9,0,0,0,0
1789613155.9,0,0,0,0
1789613157.9,0,0,0,0
1789613159.9,0,0,0,0
1789613162.0,0,0,0,0
1789613164.0,0,0,0,0
1789613166.0,45,45,0,0
1789613168.0,48,48,0,0
1789613170.0,48,48,0,0
1789613172.0,48,48,0,0
1789613174.0,48,48,0,0
1789613176.1,48,48,0,0
1789613178.1,48,48,0,0
1789613180.1,48,48,0,0
1789613182.1,48,48,0,0
1789613184.1,48,48,0,0
1789613186.1,48,48,0,0
1789613188.1,48,48,0,0
1789613190.2,48,48,0,0
1789613192.2,48,48,0,0
1789613194.2,48,48,0,0
1789613196.2,48,48,0,0
1789613198.2,48,48,0,0
1789613200.2,48,48,0,0
1789613202.3,48,48,0,0
1789613204.3,48,48,0,0
1789613206.3,48,48,0,0
1789613208.3,48,48,0,0
1789613210.3,48,48,0,0
1789613212.3,48,48,0,0
1789613214.4,48,48,0,0
1789613216.4,48,48,0,0
1789613218.4,48,48,0,0
1789613220.4,48,47,1,0
1789613222.4,48,47,1,0
1789613224.4,48,47,1,0
1789613226.5,48,48,0,0
1789613228.5,48,48,0,0
1789613230.5,48,48,0,0
1789613232.5,48,48,0,0
1789613234.5,48,43,5,0
1789613236.5,48,45,3,0
1789613238.6,48,42,6,0
1789613240.6,48,43,5,0
1789613242.6,48,43,5,0
1789613244.6,48,46,2,0
1789613246.6,48,47,1,0
1789613248.6,48,46,2,0
1789613250.7,48,48,0,0
1789613252.7,48,45,3,0
1789613254.7,48,46,2,0
1789613256.7,48,45,3,0
1789613258.7,48,44,4,0
1789613260.8,48,46,2,0
1789613262.8,48,44,4,0
1789613264.8,48,45,3,0
1789613266.8,48,46,2,0
1789613268.8,48,46,2,0
1789613270.8,48,46,2,0
1789613272.8,48,47,1,0
1789613274.9,48,47,1,0
1789613276.9,48,46,2,0
1789613278.9,48,47,1,0
1789613280.9,48,47,1,0
1789613282.9,48,46,2,0
1789613284.9,48,45,3,0
1789613287.0,48,45,3,0
1789613289.0,48,46,2,0
1789613291.0,48,48,0,2
1789613293.0,48,47,1,2
1789613295.0,48,47,1,2
1789613297.0,48,46,2,2
1789613299.0,48,46,2,2
1789613301.1,48,46,2,2
1789613303.1,48,47,1,2
1789613305.1,48,46,2,2
1789613307.1,48,47,1,2
1789613309.1,48,48,0,2
1789613311.1,48,46,2,4
1789613313.2,48,44,4,6
1789613315.2,48,46,2,4
1789613317.2,48,47,1,4
1789613319.2,48,47,1,4
1789613321.2,48,47,1,3
1789613323.2,48,48,0,4
1789613325.3,48,47,1,2
1789613327.3,48,48,0,3
1789613329.3,48,48,0,3
1789613331.3,48,47,1,3
1789613333.3,48,48,0,5
1789613335.3,49,48,1,3
1789613337.4,49,49,0,3
1789613339.4,49,48,1,4
1789613341.4,49,49,0,4
1789613343.5,49,48,1,4
1789613345.5,49,48,1,3
1789613347.5,49,49,0,5
