ts,programs_count,reasoning_count,acting_count,paused_count
1789640100.6,0,0,0,0
1789640102.7,0,0,0,0
1789640104.7,0,0,0,0
1789640106.7,0,0,0,0
1789640108.7,0,0,0,0
1789640110.7,0,0,0,0
1789640112.7,0,0,0,0
1789640114.7,0,0,0,0
1789640116.8,0,0,0,0
1789640118.8,0,0,0,0
1789640120.8,0,0,0,0
1789640122.8,0,0,0,0
1789640124.8,0,0,0,0
1789640126.8,0,0,0,0
1789640128.8,0,0,0,0
1789640130.9,0,0,0,0
1789640132.9,0,0,0,0
1789640134.9,0,0,0,0
1789640136.9,0,0,0,0
1789640138.9,0,0,0,0
1789640140.9,0,0,0,0
1789640142.9,0,0,0,0
1789640145.0,0,0,0,0
1789640147.0,0,0,0,0
1789640149.0,0,0,0,0
1789640151.0,0,0,0,0
1789640153.0,0,0,0,0
1789640155.0,0,0,0,0
1789640157.0,0,0,0,0
1789640159.1,0,0,0,0
1789640161.1,0,0,0,0
1789640163.1,0,0,0,0
1789640165.1,0,0,0,0
1789640167.1,0,0,0,0
1789640169.1,0,0,0,0
1789640171.2,40,40,0,0
1789640173.2,42,42,0,0
1789640175.2,42,42,0,0
1789640177.2,43,43,0,0
1789640179.2,43,43,0,0
1789640181.3,43,43,0,0
1789640183.3,43,43,0,0
1789640185.3,43,43,0,0
1789640187.3,43,43,0,0
1789640189.3,43,43,0,0
1789640191.3,43,43,0,0
1789640193.4,43,43,0,0
1789640195.4,43,43,0,0
1789640197.4,43,43,0,0
1789640199.4,43,43,0,0
1789640201.4,43,43,0,0
1789640203.4,43,43,0,0
1789640205.5,43,43,0,0
1789640207.5,43,43,0,0
1789640209.5,43,43,0,0
1789640211.5,43,43,0,0
1789640213.5,43,43,0,0
1789640215.5,43,43,0,0
1789640217.6,43,43,0,0
1789640219.6,43,43,0,0
1789640221.6,43,42,1,0
1789640223.6,43,43,0,0
1789640225.6,43,42,1,0
1789640227.6,43,42,1,0
1789640229.7,43,42,1,0
1789640231.7,43,43,0,0
1789640233.7,43,43,0,0
1789640235.7,43,43,0,0
1789640237.7,43,41,2,0
1789640239.8,43,39,4,0
1789640241.8,44,38,6,0
1789640243.8,44,42,2,0
1789640245.8,44,41,3,0
1789640247.9,44,42,2,0
1789640249.9,44,42,2,0
1789640251.9,44,42,2,0
1789640253.9,44,41,3,0
1789640256.0,44,41,3,0
1789640258.0,44,41,3,0
1789640260.0,44,39,5,0
1789640262.0,44,40,4,0
1789640264.0,45,42,3,0
1789640266.0,45,43,2,0
1789640268.1,45,44,1,0
1789640270.1,45,45,0,0
1789640272.1,45,43,2,0
1789640274.1,45,44,1,0
1789640276.1,45,44,1,0
1789640278.2,45,44,1,0
1789640280.2,45,42,3,0
1789640282.2,45,43,2,0
1789640284.2,45,43,2,0
1789640286.2,45,38,7,0
1789640288.3,45,41,4,0
1789640290.3,45,40,5,0
1789640292.3,45,40,5,0
1789640294.3,45,39,6,0
1789640296.4,45,42,3,0
1789640298.4,45,43,2,0
1789640300.4,45,43,2,0
1789640302.4,45,39,6,0
1789640304.5,45,43,2,0
1789640306.5,45,43,2,0
1789640308.5,45,45,0,0
1789640310.5,45,43,2,0
1789640312.5,45,44,1,0
