ts,kv_cache_usage_perc,num_requests_running,num_requests_waiting,num_preemptions_total,cum_prefix_cache_queries,cum_prefix_cache_hits,interval_queries,interval_hits,interval_hit_rate
1789640099.7,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640101.7,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640103.7,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640105.7,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640107.8,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640109.8,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640111.8,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640113.8,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640115.8,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640117.8,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640119.9,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640121.9,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640123.9,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640125.9,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640127.9,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640129.9,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640132.0,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640134.0,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640136.0,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640138.0,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640140.0,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640142.1,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640144.1,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640146.1,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640148.1,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640150.2,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640152.2,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640154.2,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640156.2,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640158.2,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640160.2,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640162.3,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640164.3,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640166.3,0.0,0.0,0.0,9.0,210232422,92485152,0,0,
1789640168.3,0.02838056274765044,17.0,23.0,9.0,210353415,92485152,120993,0,0.0
1789640170.3,0.056110260775029674,13.0,31.0,9.0,210431379,92485152,77964,0,0.0
1789640172.4,0.08418327206145304,9.0,39.0,9.0,210431379,92485152,0,0,
1789640174.4,0.11633312829902587,22.0,26.0,9.0,210508939,92485152,77560,0,0.0
1789640176.4,0.1477176820633127,29.0,18.0,9.0,210597405,92485152,88466,0,0.0
1789640178.4,0.182056160327292,19.0,28.0,9.0,210667540,92485152,70135,0,0.0
1789640180.5,0.2132833621811836,13.0,32.0,9.0,210781303,92485152,113763,0,0.0
1789640182.5,0.24606262606033735,13.0,35.0,9.0,210814288,92485152,32985,0,0.0
1789640184.5,0.282418069721201,15.0,33.0,9.0,210903313,92485152,89025,0,0.0
1789640186.5,0.3190524554050381,17.0,31.0,9.0,210975178,92485152,71865,0,0.0
1789640188.5,0.34718983792753233,17.0,31.0,9.0,211032168,92485152,56990,0,0.0
1789640190.6,0.3764930550588639,18.0,30.0,9.0,211115899,92485152,83731,0,0.0
1789640192.6,0.40211995937459766,19.0,29.0,9.0,211163221,92485152,47322,0,0.0
1789640194.6,0.4387543450584348,21.0,27.0,9.0,211237764,92485168,74543,16,0.0002
1789640196.6,0.46805040983020296,23.0,25.0,9.0,211326908,92485168,89144,0,0.0
1789640198.6,0.508361108329638,25.0,23.0,9.0,211395492,92485168,68584,0,0.0
1789640200.6,0.537843134450055,27.0,21.0,9.0,211556800,92485632,161308,464,0.0029
1789640202.7,0.5525126239146294,27.0,21.0,9.0,211556800,92485632,0,0,
1789640204.7,0.563505800563606,27.0,21.0,9.0,211556800,92485632,0,0,
1789640206.7,0.5742200351896091,26.0,21.0,9.0,211556800,92485632,0,0,
1789640208.7,0.5815440513825512,26.0,22.0,9.0,211556800,92485632,0,0,
1789640210.7,0.6181712847068248,29.0,19.0,9.0,211654481,92485632,97681,0,0.0
1789640212.8,0.6511365099346275,30.0,18.0,9.0,211712295,92485632,57814,0,0.0
1789640214.8,0.6841088875219935,32.0,16.0,9.0,211812383,92485632,100088,0,0.0
1789640216.8,0.6717066960390232,33.0,14.0,9.0,211847940,92486016,35557,384,0.0108
1789640218.8,0.7046790736263893,35.0,12.0,9.0,211919291,92486016,71351,0,0.0
1789640220.8,0.7410917361637605,37.0,10.0,9.0,212025232,92486016,105941,0,0.0
1789640222.9,0.7740641137511265,39.0,9.0,9.0,212110397,92486016,85165,0,0.0
1789640224.9,0.8070078819002389,40.0,8.0,9.0,212148242,92486032,37845,16,0.0004
1789640226.9,0.8400017165662952,42.0,6.0,9.0,212232062,92486032,83820,0,0.0
1789640228.9,0.8318194172257427,43.0,5.0,9.0,212312955,92486048,80893,16,0.0002
1789640231.0,0.8647846424535455,45.0,3.0,9.0,212390112,92486048,77157,0,0.0
1789640233.0,0.8977355629622212,46.0,2.0,9.0,212428206,92486048,38094,0,0.0
1789640235.0,0.9426881428183158,46.0,0.0,9.0,212589192,92647008,160986,160960,0.9998
1789640237.0,0.9156736807472785,44.0,0.0,9.0,212701428,92731184,112236,84176,0.75
1789640239.0,0.9459353140601084,46.0,0.0,9.0,212788318,92803664,86890,72480,0.8342
1789640241.1,0.8762284177550174,42.0,0.0,9.0,212859418,92874416,71100,70752,0.9951
1789640243.1,0.8629822478435636,41.0,0.0,9.0,212926666,92939040,67248,64624,0.961
1789640245.1,0.8336504212739783,40.0,3.0,9.0,213058602,93009920,131936,70880,0.5372
1789640247.1,0.9569714048664655,47.0,0.0,9.0,213393247,93274800,334645,264880,0.7915
1789640249.1,0.9404852160727825,45.0,4.0,9.0,213446104,93293616,52857,18816,0.356
1789640251.2,0.9959589168466677,47.0,2.0,9.0,213559006,93368544,112902,74928,0.6637
1789640253.2,0.9847511694107887,46.0,3.0,9.0,213597018,93372592,38012,4048,0.1065
1789640255.2,0.9762541662494457,46.0,2.0,9.0,213676099,93372592,79081,0,0.0
1789640257.2,0.9586736664425594,46.0,1.0,9.0,213751832,93372592,75733,0,0.0
1789640259.2,0.9634085284735434,47.0,0.0,9.0,213846004,93411392,94172,38800,0.412
1789640261.3,0.9808102192913443,48.0,0.0,9.0,213888258,93411408,42254,16,0.0004
1789640263.3,0.9618278570100276,47.0,0.0,9.0,213924121,93445776,35863,34368,0.9583
1789640265.3,0.952451113622384,47.0,0.0,9.0,214061734,93529376,137613,83600,0.6075
1789640267.3,0.9957300413406382,48.0,0.0,9.0,214202832,93642496,141098,113120,0.8017
1789640269.4,0.9617563334143934,46.0,0.0,9.0,214319324,93754592,116492,112096,0.9623
1789640271.4,0.9652967513982863,46.0,0.0,9.0,214363074,93798336,43750,43744,0.9999
1789640273.4,0.8899394910380934,43.0,0.0,9.0,214477313,93869840,114239,71504,0.6259
