ts,program_id,status,state,backend,step_count,total_tokens,context_len
1789640175.9,wekatrace64_3607a64644d8b639c63ffcccc098344759e6,reasoning,active,http://10.100.2.6:8000,1,449,2246
1789640175.9,wekatrace174_924cdbd835a5567b0cca1484ce60e90e9f4f,reasoning,active,http://10.100.2.6:8000,1,390,1952
1789640175.9,wekatrace147_80559b9e10b09ee2d9303acaecceb4d99895,reasoning,active,http://10.100.2.6:8000,1,1121,5609
1789640175.9,wekatrace116_6601daa3865dae62024a519b66636afcc03e,reasoning,active,http://10.100.2.6:8000,1,399,1996
1789640175.9,wekatrace191_a0edf077d076924c775d4da6377c2c4dc73a,reasoning,active,http://10.100.2.6:8000,1,516,2581
1789640175.9,wekatrace132_76ef82400a03738d4f138b163f1890a881c9,reasoning,active,http://10.100.2.6:8000,1,337,1687
1789640175.9,wekatrace24_14933d8a4190c45ac8fbd21183bba9469140,reasoning,active,http://10.100.2.6:8000,1,378,1893
1789640175.9,wekatrace231_b86fab2bba76fbd063c04296cdd2eeee453e,reasoning,active,http://10.100.2.6:8000,1,38745,193727
1789640175.9,wekatrace205_a8579208ea25d6f401207257139b163ec48d,reasoning,active,http://10.100.2.6:8000,1,326,1630
1789640175.9,wekatrace83_47f2ae8a81c8db82b4cd4883b8dd4c531c93,reasoning,active,http://10.100.2.6:8000,1,386,1931
1789640175.9,wekatrace278_d4bd5e4015963744e0e1ea592da1594a9d13,reasoning,active,http://10.100.2.6:8000,1,345,1729
1789640175.9,wekatrace118_663eae6f100daddf13cdf54c8e5f9622151d,reasoning,active,http://10.100.2.6:8000,1,332,1661
1789640175.9,wekatrace213_ac368b0d9027e56c38e5f55b9895dfc01abd,reasoning,active,http://10.100.2.6:8000,1,2031,10159
1789640175.9,wekatrace37_217743dd65170f329ffbd58d974e6ef6ef83,reasoning,active,http://10.100.2.6:8000,1,403,2015
1789640175.9,wekatrace55_2df1b153c477169c8ab4ecd9e917ccaa3dba,reasoning,active,http://10.100.2.6:8000,1,416,2084
1789640175.9,wekatrace181_999eea8a292a67475f955dd8f074dd4e413e,reasoning,active,http://10.100.2.6:8000,1,50997,254987
1789640175.9,wekatrace86_49ffa26d794d34ba3c66358e1d781b9f3c9c,reasoning,active,http://10.100.2.6:8000,1,358,1792
1789640175.9,wekatrace194_a1fc1985dc2bfdfc6b1a28b15e7eba9f8773,reasoning,active,http://10.100.2.6:8000,1,241,1206
1789640175.9,wekatrace163_8e1a61685e99ae7d274a5b2b23ee761076d7,reasoning,active,http://10.100.2.6:8000,1,462,2310
1789640175.9,wekatrace203_a69c007390941a32982d30eaa04e2d9da18c,reasoning,active,http://10.100.2.6:8000,1,386,1934
1789640175.9,wekatrace146_8044cd33fd7815ac1a4f0aaeae9e2eaa7509,reasoning,active,http://10.100.2.6:8000,1,40479,202395
1789640175.9,wekatrace240_bdf8b214663bf985becdb49d48c7d002b62b,reasoning,active,http://10.100.2.6:8000,1,348,1744
1789640175.9,wekatrace57_300134008d4cc98f288179ea9dd9314f140c,reasoning,active,http://10.100.2.6:8000,1,329,1647
1789640175.9,wekatrace183_9b3bbac0341e3f179e66e73a1f84f26b62b6,reasoning,active,http://10.100.2.6:8000,1,387,1935
1789640175.9,wekatrace247_c0e1ecfc9e7108c799ebc6558042d892b1a5,reasoning,active,http://10.100.2.6:8000,1,342,1710
1789640175.9,wekatrace331_f81ed47b5437c65860a614f86695c35ba363,reasoning,active,http://10.100.2.6:8000,1,1939,9698
1789640175.9,wekatrace245_c03e35003893d05b83ddec10c77f479d5f04,reasoning,active,http://10.100.2.6:8000,1,38958,194790
1789640175.9,wekatrace87_4ab6db64fcc354375b87b219764a9cbc5aa3,reasoning,active,http://10.100.2.6:8000,1,472,2360
1789640175.9,wekatrace257_ca33d363f81e07f21c193285db6d0ad9e4a6,reasoning,active,http://10.100.2.6:8000,1,21766,108830
1789640175.9,wekatrace334_fe1aaa31badf4f218622e630f7c002dcbc18,reasoning,active,http://10.100.2.6:8000,1,446,2232
1789640175.9,wekatrace21_116cb8d945f9d0810e788e51e3744adaab74,reasoning,active,http://10.100.2.6:8000,1,363,1815
1789640175.9,wekatrace198_a42188fc362bde2410050ff0e6a8b267ed8a,reasoning,active,http://10.100.2.6:8000,1,341,1707
1789640175.9,wekatrace124_7053adfcfbb77d730e5790ff46de93c461eb,reasoning,active,http://10.100.2.6:8000,1,383,1917
1789640175.9,wekatrace17_0d9c99c3f96c2bcac0f9dec0987d5f411bcd,reasoning,active,http://10.100.2.6:8000,1,394,1974
1789640175.9,wekatrace248_c14d470c05bfa470de9004b38c3d34eb9267,reasoning,active,http://10.100.2.6:8000,1,349,1748
1789640175.9,wekatrace112_5f0d3b0b3bf6d4954364ce0991f77e473a42,reasoning,active,http://10.100.2.6:8000,1,26619,133096
1789640175.9,wekatrace319_f17d741a05b67f9d50934ca8468d18aa7922,reasoning,active,http://10.100.2.6:8000,1,339,1696
1789640175.9,wekatrace227_b3975a6a874ca7e6789ac3364731e500146f,reasoning,active,http://10.100.2.6:8000,1,383,1917
1789640177.9,wekatrace64_3607a64644d8b639c63ffcccc098344759e6,reasoning,active,http://10.100.2.6:8000,2,31304,135473
1789640177.9,wekatrace174_924cdbd835a5567b0cca1484ce60e90e9f4f,reasoning,active,http://10.100.2.6:8000,2,34835,150362
1789640177.9,wekatrace147_80559b9e10b09ee2d9303acaecceb4d99895,reasoning,active,http://10.100.2.6:8000,1,1121,5609
1789640177.9,wekatrace116_6601daa3865dae62024a519b66636afcc03e,reasoning,active,http://10.100.2.6:8000,1,399,1996
1789640177.9,wekatrace191_a0edf077d076924c775d4da6377c2c4dc73a,reasoning,active,http://10.100.2.6:8000,1,516,2581
1789640177.9,wekatrace132_76ef82400a03738d4f138b163f1890a881c9,reasoning,active,http://10.100.2.6:8000,1,337,1687
1789640177.9,wekatrace24_14933d8a4190c45ac8fbd21183bba9469140,reasoning,active,http://10.100.2.6:8000,1,378,1893
1789640177.9,wekatrace231_b86fab2bba76fbd063c04296cdd2eeee453e,reasoning,active,http://10.100.2.6:8000,1,38745,193727
1789640177.9,wekatrace205_a8579208ea25d6f401207257139b163ec48d,reasoning,active,http://10.100.2.6:8000,1,326,1630
1789640177.9,wekatrace83_47f2ae8a81c8db82b4cd4883b8dd4c531c93,reasoning,active,http://10.100.2.6:8000,1,386,1931
1789640177.9,wekatrace278_d4bd5e4015963744e0e1ea592da1594a9d13,reasoning,active,http://10.100.2.6:8000,1,345,1729
1789640177.9,wekatrace118_663eae6f100daddf13cdf54c8e5f9622151d,reasoning,active,http://10.100.2.6:8000,1,332,1661
1789640177.9,wekatrace213_ac368b0d9027e56c38e5f55b9895dfc01abd,reasoning,active,http://10.100.2.6:8000,1,2031,10159
1789640177.9,wekatrace37_217743dd65170f329ffbd58d974e6ef6ef83,reasoning,active,http://10.100.2.6:8000,1,403,2015
1789640177.9,wekatrace55_2df1b153c477169c8ab4ecd9e917ccaa3dba,reasoning,active,http://10.100.2.6:8000,1,416,2084
1789640177.9,wekatrace181_999eea8a292a67475f955dd8f074dd4e413e,reasoning,active,http://10.100.2.6:8000,1,50997,254987
1789640177.9,wekatrace86_49ffa26d794d34ba3c66358e1d781b9f3c9c,reasoning,active,http://10.100.2.6:8000,1,358,1792
1789640177.9,wekatrace194_a1fc1985dc2bfdfc6b1a28b15e7eba9f8773,reasoning,active,http://10.100.2.6:8000,1,241,1206
1789640177.9,wekatrace163_8e1a61685e99ae7d274a5b2b23ee761076d7,reasoning,active,http://10.100.2.6:8000,1,462,2310
1789640177.9,wekatrace203_a69c007390941a32982d30eaa04e2d9da18c,reasoning,active,http://10.100.2.6:8000,1,386,1934
1789640177.9,wekatrace146_8044cd33fd7815ac1a4f0aaeae9e2eaa7509,reasoning,active,http://10.100.2.6:8000,1,40479,202395
1789640177.9,wekatrace240_bdf8b214663bf985becdb49d48c7d002b62b,reasoning,active,http://10.100.2.6:8000,1,348,1744
1789640177.9,wekatrace57_300134008d4cc98f288179ea9dd9314f140c,reasoning,active,http://10.100.2.6:8000,1,329,1647
1789640177.9,wekatrace183_9b3bbac0341e3f179e66e73a1f84f26b62b6,reasoning,active,http://10.100.2.6:8000,1,387,1935
1789640177.9,wekatrace247_c0e1ecfc9e7108c799ebc6558042d892b1a5,reasoning,active,http://10.100.2.6:8000,1,342,1710
1789640177.9,wekatrace331_f81ed47b5437c65860a614f86695c35ba363,reasoning,active,http://10.100.2.6:8000,1,1939,9698
1789640177.9,wekatrace245_c03e35003893d05b83ddec10c77f479d5f04,reasoning,active,http://10.100.2.6:8000,1,38958,194790
