1789643166,program-aware-vllm-decode-9c9b54cb6-f9qsh,108m,23275Mi
1789643198,program-aware-vllm-decode-9c9b54cb6-f9qsh,113m,23276Mi
1789643198,thunderagent-rep1-6554bc85fc-l7gtd,34m,40Mi
1789643230,program-aware-vllm-decode-9c9b54cb6-f9qsh,112m,23276Mi
1789643230,thunderagent-rep1-6554bc85fc-l7gtd,9m,40Mi
1789643230,weka-bench-tr-decay-r1-h8nxl,8002m,6175Mi
1789643262,program-aware-vllm-decode-9c9b54cb6-f9qsh,2376m,23181Mi
1789643262,thunderagent-rep1-6554bc85fc-l7gtd,36m,66Mi
1789643262,weka-bench-tr-decay-r1-h8nxl,4873m,6719Mi
1789643294,program-aware-vllm-decode-9c9b54cb6-f9qsh,3134m,23187Mi
1789643294,thunderagent-rep1-6554bc85fc-l7gtd,28m,70Mi
1789643294,weka-bench-tr-decay-r1-h8nxl,1208m,6735Mi
1789643326,program-aware-vllm-decode-9c9b54cb6-f9qsh,2575m,23207Mi
1789643326,thunderagent-rep1-6554bc85fc-l7gtd,108m,72Mi
1789643326,weka-bench-tr-decay-r1-h8nxl,1239m,6792Mi
1789643358,program-aware-vllm-decode-9c9b54cb6-f9qsh,2164m,23210Mi
1789643358,thunderagent-rep1-6554bc85fc-l7gtd,177m,76Mi
1789643358,weka-bench-tr-decay-r1-h8nxl,1291m,6859Mi
1789643390,program-aware-vllm-decode-9c9b54cb6-f9qsh,2555m,23231Mi
1789643390,thunderagent-rep1-6554bc85fc-l7gtd,124m,83Mi
1789643390,weka-bench-tr-decay-r1-h8nxl,1268m,6883Mi
1789643422,program-aware-vllm-decode-9c9b54cb6-f9qsh,2807m,23232Mi
1789643422,thunderagent-rep1-6554bc85fc-l7gtd,83m,85Mi
1789643422,weka-bench-tr-decay-r1-h8nxl,1246m,6906Mi
1789643454,program-aware-vllm-decode-9c9b54cb6-f9qsh,2760m,23230Mi
1789643454,thunderagent-rep1-6554bc85fc-l7gtd,81m,90Mi
1789643454,weka-bench-tr-decay-r1-h8nxl,1250m,6924Mi
1789643485,program-aware-vllm-decode-9c9b54cb6-f9qsh,2858m,23234Mi
1789643485,thunderagent-rep1-6554bc85fc-l7gtd,75m,88Mi
1789643485,weka-bench-tr-decay-r1-h8nxl,1238m,6938Mi
1789643517,program-aware-vllm-decode-9c9b54cb6-f9qsh,2870m,23234Mi
1789643517,thunderagent-rep1-6554bc85fc-l7gtd,77m,93Mi
1789643517,weka-bench-tr-decay-r1-h8nxl,1229m,6955Mi
1789643549,program-aware-vllm-decode-9c9b54cb6-f9qsh,2801m,23234Mi
1789643549,thunderagent-rep1-6554bc85fc-l7gtd,62m,94Mi
1789643549,weka-bench-tr-decay-r1-h8nxl,1206m,6962Mi
1789643581,program-aware-vllm-decode-9c9b54cb6-f9qsh,2665m,23235Mi
1789643581,thunderagent-rep1-6554bc85fc-l7gtd,86m,96Mi
1789643581,weka-bench-tr-decay-r1-h8nxl,1252m,6983Mi
1789643613,program-aware-vllm-decode-9c9b54cb6-f9qsh,2788m,23234Mi
1789643613,thunderagent-rep1-6554bc85fc-l7gtd,73m,102Mi
1789643613,weka-bench-tr-decay-r1-h8nxl,1240m,6989Mi
1789643645,program-aware-vllm-decode-9c9b54cb6-f9qsh,2487m,23238Mi
1789643645,thunderagent-rep1-6554bc85fc-l7gtd,101m,104Mi
1789643645,weka-bench-tr-decay-r1-h8nxl,1266m,7011Mi
1789643676,program-aware-vllm-decode-9c9b54cb6-f9qsh,2726m,23237Mi
1789643676,thunderagent-rep1-6554bc85fc-l7gtd,75m,106Mi
1789643676,weka-bench-tr-decay-r1-h8nxl,1254m,7023Mi
1789643708,program-aware-vllm-decode-9c9b54cb6-f9qsh,2773m,23237Mi
1789643708,thunderagent-rep1-6554bc85fc-l7gtd,74m,112Mi
1789643708,weka-bench-tr-decay-r1-h8nxl,1253m,7038Mi
1789643740,program-aware-vllm-decode-9c9b54cb6-f9qsh,2696m,23239Mi
1789643740,thunderagent-rep1-6554bc85fc-l7gtd,84m,111Mi
1789643740,weka-bench-tr-decay-r1-h8nxl,1265m,7067Mi
1789643772,program-aware-vllm-decode-9c9b54cb6-f9qsh,3023m,23239Mi
1789643772,thunderagent-rep1-6554bc85fc-l7gtd,69m,114Mi
1789643772,weka-bench-tr-decay-r1-h8nxl,1255m,7079Mi
1789643803,program-aware-vllm-decode-9c9b54cb6-f9qsh,2670m,23239Mi
1789643803,thunderagent-rep1-6554bc85fc-l7gtd,78m,117Mi
1789643803,weka-bench-tr-decay-r1-h8nxl,1262m,7090Mi
1789643835,program-aware-vllm-decode-9c9b54cb6-f9qsh,2611m,23239Mi
1789643835,thunderagent-rep1-6554bc85fc-l7gtd,80m,116Mi
1789643835,weka-bench-tr-decay-r1-h8nxl,1264m,7104Mi
1789643867,program-aware-vllm-decode-9c9b54cb6-f9qsh,2925m,23240Mi
1789643867,thunderagent-rep1-6554bc85fc-l7gtd,57m,117Mi
1789643867,weka-bench-tr-decay-r1-h8nxl,1259m,7120Mi
1789643899,program-aware-vllm-decode-9c9b54cb6-f9qsh,2344m,23240Mi
1789643899,thunderagent-rep1-6554bc85fc-l7gtd,113m,124Mi
1789643899,weka-bench-tr-decay-r1-h8nxl,1273m,7133Mi
1789643931,program-aware-vllm-decode-9c9b54cb6-f9qsh,2235m,23238Mi
