ts,programs_count,reasoning_count,acting_count,paused_count
1789643148.7,0,0,0,0
1789643150.8,0,0,0,0
1789643152.8,0,0,0,0
1789643154.8,0,0,0,0
1789643156.8,0,0,0,0
1789643158.8,0,0,0,0
1789643160.8,0,0,0,0
1789643162.9,0,0,0,0
1789643164.9,0,0,0,0
1789643166.9,0,0,0,0
1789643168.9,0,0,0,0
1789643170.9,0,0,0,0
1789643172.9,0,0,0,0
1789643174.9,0,0,0,0
1789643176.9,0,0,0,0
1789643179.0,0,0,0,0
1789643181.0,0,0,0,0
1789643183.0,0,0,0,0
1789643185.0,0,0,0,0
1789643187.0,0,0,0,0
1789643189.0,0,0,0,0
1789643191.1,0,0,0,0
1789643193.1,0,0,0,0
1789643195.1,0,0,0,0
1789643197.1,0,0,0,0
1789643199.1,0,0,0,0
1789643201.1,0,0,0,0
1789643203.1,0,0,0,0
1789643205.2,0,0,0,0
1789643207.2,0,0,0,0
1789643209.2,0,0,0,0
1789643211.2,0,0,0,0
1789643213.2,0,0,0,0
1789643215.2,0,0,0,0
1789643217.2,0,0,0,0
1789643219.3,0,0,0,0
1789643221.3,0,0,0,0
1789643223.3,0,0,0,0
1789643225.3,0,0,0,0
1789643227.3,0,0,0,0
1789643229.3,0,0,0,0
1789643231.4,0,0,0,0
1789643233.4,0,0,0,0
1789643235.4,0,0,0,0
1789643237.4,0,0,0,0
1789643239.4,0,0,0,0
1789643241.4,0,0,0,0
1789643243.4,0,0,0,0
1789643245.5,0,0,0,0
1789643247.5,0,0,0,0
1789643249.5,42,42,0,0
1789643251.5,47,47,0,0
1789643253.5,47,47,0,0
1789643255.5,47,47,0,0
1789643257.6,47,46,1,0
1789643259.6,47,46,1,0
1789643261.6,47,46,1,0
1789643263.6,47,47,0,0
1789643265.6,47,47,0,0
1789643267.7,47,47,0,0
1789643269.7,47,47,0,0
1789643271.7,47,47,0,0
1789643273.7,47,47,0,0
1789643275.7,47,47,0,0
1789643277.7,47,47,0,0
1789643279.8,47,47,0,0
1789643281.8,47,47,0,0
1789643283.8,47,47,0,0
1789643285.8,47,47,0,0
1789643287.8,47,47,0,0
1789643289.8,47,47,0,0
1789643291.9,47,47,0,0
1789643293.9,47,47,0,0
1789643295.9,47,47,0,0
1789643297.9,47,47,0,0
1789643299.9,47,47,0,0
1789643301.9,47,47,0,0
1789643304.0,47,47,0,0
1789643306.0,47,47,0,0
1789643308.0,47,47,0,0
1789643310.0,47,47,0,0
1789643312.0,47,47,0,0
1789643314.0,47,47,0,0
1789643316.1,47,47,0,0
1789643318.1,47,47,0,0
1789643320.1,47,47,0,0
1789643322.1,47,46,1,0
1789643324.1,47,46,1,0
1789643326.1,47,47,0,0
1789643328.2,47,47,0,0
1789643330.2,47,46,1,0
1789643332.2,47,47,0,0
1789643334.2,47,44,3,0
1789643336.2,47,45,2,0
1789643338.2,47,46,1,0
1789643340.3,47,45,2,0
1789643342.3,47,45,2,0
1789643344.3,47,45,2,0
1789643346.3,47,45,2,0
1789643348.3,47,45,2,0
1789643350.4,47,43,4,0
1789643352.4,47,46,1,1
1789643354.4,47,46,1,1
1789643356.4,47,46,1,1
1789643358.4,47,46,1,1
1789643360.4,47,47,0,1
1789643362.5,47,46,1,1
1789643364.5,47,46,1,1
1789643366.5,47,47,0,1
1789643368.5,47,46,1,2
1789643370.5,47,46,1,3
1789643372.5,47,46,1,4
1789643374.6,47,46,1,5
1789643376.6,47,45,2,7
1789643378.6,47,45,2,3
1789643380.6,47,47,0,4
1789643382.6,47,47,0,3
1789643384.6,47,46,1,4
1789643386.7,47,45,2,5
1789643388.7,47,45,2,3
1789643390.7,47,46,1,3
1789643392.7,47,45,2,4
1789643394.7,47,46,1,5
1789643396.8,47,41,6,12
1789643398.8,47,42,5,4
1789643400.8,47,43,4,5
1789643402.8,47,46,1,2
1789643404.8,47,47,0,2
1789643406.8,47,47,0,2
1789643408.9,47,47,0,2
1789643410.9,47,47,0,2
1789643412.9,47,47,0,2
1789643414.9,47,47,0,5
1789643416.9,47,47,0,5
1789643419.0,47,47,0,6
1789643421.0,47,47,0,7
1789643423.0,47,45,2,4
1789643425.0,47,45,2,5
1789643427.0,47,45,2,5
1789643429.1,47,44,3,4
1789643431.1,47,47,0,5
1789643433.1,47,46,1,4
1789643435.1,47,46,1,4
1789643437.1,47,47,0,4
1789643439.2,47,46,1,5
1789643441.2,47,47,0,5
1789643443.2,47,46,1,5
1789643445.2,47,46,1,5
1789643447.2,47,45,2,6
1789643449.3,47,46,1,5
1789643451.3,47,47,0,5
1789643453.3,47,47,0,5
1789643455.3,47,47,0,6
1789643457.3,47,44,3,6
1789643459.4,47,44,3,8
1789643461.4,47,44,3,8
1789643463.4,47,45,2,6
1789643465.4,47,46,1,7
1789643467.5,47,46,1,5
1789643469.5,47,46,1,6
1789643471.5,47,45,2,7
1789643473.5,47,46,1,7
1789643475.5,47,47,0,7
1789643477.5,47,44,3,4
1789643479.6,47,46,1,4
1789643481.6,47,47,0,5
1789643483.6,47,46,1,5
1789643485.6,47,46,1,5
1789643487.6,47,45,2,4
1789643489.7,47,47,0,4
1789643491.7,47,47,0,5
1789643493.7,47,46,1,5
1789643495.7,47,45,2,5
1789643497.7,48,45,3,7
1789643499.7,48,46,2,7
1789643501.8,48,47,1,8
1789643503.8,48,46,2,5
1789643505.8,48,47,1,5
1789643507.8,48,46,2,7
1789643509.8,48,48,0,7
1789643511.8,48,46,2,7
1789643513.9,48,43,5,8
1789643515.9,48,45,3,9
1789643517.9,48,46,2,7
1789643519.9,48,48,0,8
1789643521.9,48,48,0,8
1789643524.0,48,48,0,6
1789643526.0,48,48,0,6
1789643528.0,48,48,0,6
1789643530.0,48,48,0,6
1789643532.0,48,47,1,6
1789643534.1,48,47,1,7
1789643536.1,48,48,0,7
1789643538.1,48,47,1,7
1789643540.1,48,47,1,7
1789643542.1,48,48,0,7
1789643544.1,48,48,0,6
1789643546.2,48,48,0,6
1789643548.2,48,46,2,8
1789643550.2,48,47,1,8
1789643552.2,48,47,1,8
1789643554.2,48,47,1,7
1789643556.2,48,46,2,8
1789643558.3,48,48,0,6
1789643560.3,48,48,0,8
1789643562.3,48,48,0,8
1789643564.3,48,47,1,6
1789643566.3,48,47,1,6
1789643568.4,48,47,1,5
1789643570.4,48,48,0,6
1789643572.4,48,48,0,8
1789643574.4,48,48,0,5
1789643576.4,48,48,0,6
1789643578.4,48,46,2,6
1789643580.5,48,47,1,6
1789643582.5,48,46,2,7
1789643584.5,48,46,2,8
1789643586.5,48,47,1,8
1789643588.5,48,47,1,6
1789643590.5,48,48,0,7
1789643592.6,48,48,0,8
1789643594.6,48,48,0,6
1789643596.6,48,48,0,7
1789643598.6,48,48,0,6
1789643600.6,48,47,1,7
1789643602.7,48,47,1,6
1789643604.7,48,47,1,6
1789643606.7,48,47,1,9
1789643608.7,48,47,1,6
1789643610.7,48,47,1,7
1789643612.8,48,46,2,6
1789643614.8,48,45,3,6
1789643616.8,48,45,3,6
1789643618.8,48,46,2,7
1789643620.8,48,46,2,7
1789643622.9,48,45,3,7
1789643624.9,48,46,2,7
1789643626.9,48,46,2,7
1789643628.9,48,47,1,6
1789643630.9,48,47,1,6
1789643632.9,48,47,1,6
