ts,kv_cache_usage_perc,num_requests_running,num_requests_waiting,num_preemptions_total,cum_prefix_cache_queries,cum_prefix_cache_hits,interval_queries,interval_hits,interval_hit_rate
1789643148.7,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643150.8,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643152.8,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643154.8,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643156.8,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643158.8,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643160.8,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643162.9,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643164.9,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643166.9,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643168.9,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643170.9,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643172.9,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643174.9,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643176.9,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643179.0,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643181.0,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643183.0,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643185.0,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643187.0,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643189.0,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643191.1,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643193.1,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643195.1,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643197.1,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643199.1,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643201.1,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643203.1,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643205.2,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643207.2,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643209.2,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643211.2,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643213.2,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643215.2,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643217.2,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643219.3,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643221.3,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643223.3,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643225.3,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643227.3,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643229.3,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643231.4,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643233.4,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643235.4,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643237.4,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643239.4,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643241.4,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643243.4,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643245.5,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643247.5,0.0,0.0,0.0,20.0,271803001,94749616,0,0,
1789643249.5,0.0316992575850773,23.0,18.0,20.0,271914449,94749616,111448,0,0.0
1789643251.5,0.06702476146880854,36.0,11.0,20.0,271955615,94749616,41166,0,0.0
1789643253.5,0.10348749052312356,30.0,12.0,20.0,272063211,94749616,107596,0,0.0
1789643255.5,0.132805012373582,14.0,28.0,20.0,272176974,94749616,113763,0,0.0
1789643257.6,0.16099961377258354,10.0,36.0,20.0,272216744,94749616,39770,0,0.0
1789643259.6,0.2011028938446794,11.0,35.0,20.0,272281503,94749616,64759,0,0.0
1789643261.6,0.23771582244982625,13.0,33.0,20.0,272378584,94749616,97081,0,0.0
1789643263.6,0.2743645128527902,15.0,32.0,20.0,272564905,94749616,186321,0,0.0
1789643265.6,0.2963151043529261,15.0,32.0,20.0,272564905,94749616,0,0,
1789643267.7,0.30730828100190255,15.0,32.0,20.0,272564905,94749616,0,0,
1789643269.7,0.318301457650879,15.0,32.0,20.0,272564905,94749616,0,0,
1789643271.7,0.3292874819402921,15.0,32.0,20.0,272564905,94749616,0,0,
1789643273.7,0.3512595305191183,17.0,30.0,20.0,272637276,94749616,72371,0,0.0
1789643275.7,0.38421760338735744,18.0,29.0,20.0,272693046,94749632,55770,16,0.0003
1789643277.7,0.4135136681591257,20.0,27.0,20.0,272783587,94749632,90541,0,0.0
1789643279.8,0.44649319810605514,22.0,25.0,20.0,272848989,94749632,65402,0,0.0
1789643281.8,0.4794584233338578,23.0,24.0,20.0,272910771,94749632,61782,0,0.0
1789643283.8,0.5124093438425337,25.0,22.0,20.0,272984674,94749632,73903,0,0.0
1789643285.8,0.5453960261490265,27.0,20.0,20.0,273086730,94749664,102056,32,0.0003
