ts,programs_running,programs_idle,programs_marked,programs_paused,holds_reasoning,holds_paused,holds_new,releases_reasoning,releases_paused,releases_new,pauses_total,resumes_total,rebinds_total,starvation_promotions_total,pod_utilization,fc_queue_size,fc_queue_wait_sum,fc_queue_wait_count
1789690813.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690815.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690817.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690819.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690821.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690823.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690825.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690827.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690829.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690831.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690833.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690835.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690837.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690839.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690841.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690843.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690845.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690847.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690849.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690851.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690853.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690855.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690857.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690859.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690861.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690863.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690865.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690867.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690869.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690871.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690873.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690875.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690877.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690879.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789690881.7,51.0,0.0,0.0,0.0,,,,,,51.0,0.0,0.0,0.0,0.0,0.20714873225333477,,0.018479376,102.0
1789690884.0,50.0,1.0,0.0,0.0,,,,3.0,,51.0,0.0,0.0,0.0,0.0,0.26134356113435614,,0.019632896,108.0
1789690886.3,52.0,0.0,0.0,0.0,,,,11.0,,52.0,0.0,0.0,0.0,0.0,0.38544728748703644,,0.022079952,126.0
1789690888.6,52.0,0.0,0.0,0.0,,,,13.0,,52.0,0.0,0.0,0.0,0.0,0.4155638701140793,,0.022708212,130.0
1789690891.0,52.0,0.0,0.0,0.0,,,,14.0,,52.0,0.0,0.0,0.0,0.0,0.4304773271823481,,0.022902572,132.0
1789690893.4,52.0,0.0,0.0,0.0,,,,23.0,,52.0,0.0,0.0,0.0,0.0,0.6030401780924793,,0.025051932,150.0
1789690895.8,52.0,0.0,0.0,0.0,,,,30.0,,52.0,0.0,0.0,0.0,0.0,0.7726437613989915,,0.027231290000000002,164.0
1789690898.3,52.0,0.0,0.0,0.0,,,,42.0,,52.0,0.0,0.0,0.0,0.0,0.9941324249901656,,0.030516306,188.0
1789690900.9,52.0,0.0,0.0,0.0,,,,42.0,,52.0,0.0,0.0,0.0,0.0,0.9942128884597504,,0.030516306,188.0
1789690903.5,52.0,0.0,0.0,0.0,,,,42.0,,52.0,0.0,0.0,0.0,0.0,0.9943022923148446,,0.030516306,188.0
1789690906.1,52.0,0.0,0.0,0.0,,,,43.0,,52.0,0.0,0.0,0.0,0.0,1.028364267067196,,0.030847546,190.0
1789690908.7,0.0,0.0,52.0,0.0,,,,43.0,,52.0,0.0,0.0,0.0,0.0,1.0284983728498374,,0.030847546,190.0
1789690911.3,0.0,0.0,52.0,0.0,,,,43.0,,52.0,0.0,0.0,0.0,0.0,1.0286145978614598,,0.030847546,190.0
1789690913.9,0.0,0.0,52.0,0.0,,,,43.0,,52.0,0.0,0.0,0.0,0.0,1.0287308228730823,,0.030847546,190.0
1789690916.5,0.0,0.0,52.0,0.0,,,,43.0,,52.0,0.0,0.0,0.0,0.0,1.0288828094267424,,0.030847546,190.0
1789690919.1,0.0,0.0,52.0,0.0,,,,43.0,,52.0,0.0,0.0,0.0,0.0,1.0290347959804027,,0.030847546,190.0
1789690921.7,0.0,0.0,52.0,0.0,,,,43.0,,52.0,0.0,0.0,0.0,0.0,1.0291152594499875,,0.030847546,190.0
1789690924.2,0.0,0.0,51.0,1.0,,,,43.0,,52.0,1.0,0.0,0.0,0.0,0.9948740299681722,,0.030847546,190.0
1789690926.8,0.0,0.0,51.0,1.0,,,,43.0,,52.0,1.0,0.0,0.0,0.0,0.9949187318957193,,0.030847546,190.0
1789690929.4,0.0,0.0,51.0,1.0,,,,43.0,,52.0,1.0,0.0,0.0,0.0,0.995017076136323,2.0,0.030847546,190.0
1789690932.0,0.0,0.0,51.0,1.0,,,,43.0,,52.0,1.0,0.0,0.0,0.0,0.9951511819189643,2.0,0.030847546,190.0
1789690934.6,0.0,0.0,50.0,2.0,,,,43.0,,52.0,2.0,0.0,0.0,0.0,0.9725865429317312,2.0,0.030847546,190.0
1789690937.3,1.0,0.0,50.0,1.0,,,,43.0,1.0,52.0,2.0,1.0,0.0,0.0,0.9968722061295283,2.0,0.031131406,192.0
1789690939.9,1.0,0.0,49.0,2.0,,,,43.0,1.0,52.0,3.0,1.0,0.0,0.0,0.9967488288094982,4.0,0.031131406,192.0
