ts,kv_cache_usage_perc,num_requests_running,num_requests_waiting,num_preemptions_total,cum_prefix_cache_queries,cum_prefix_cache_hits,interval_queries,interval_hits,interval_hit_rate
1789690813.0,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690815.0,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690817.1,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690819.1,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690821.1,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690823.1,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690825.2,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690827.2,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690829.2,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690831.2,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690833.2,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690835.3,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690837.3,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690839.3,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690841.3,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690843.3,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690845.4,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690847.4,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690849.4,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690851.4,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690853.4,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690855.5,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690857.5,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690859.5,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690861.5,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690863.5,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690865.6,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690867.6,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690869.6,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690871.6,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690873.7,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690875.7,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690877.7,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690879.7,0.0,0.0,0.0,36.0,405053631,161952640,0,0,
1789690881.7,0.03915916860972435,15.0,35.0,36.0,405188700,161952640,135069,0,0.0
