1789717349,program-aware-vllm-decode-9c9b54cb6-f9qsh,124m,23201Mi
1789717349,thunder-lane-a-epp-7cbb9d68f6-p9nd5,374m,39Mi
1789717381,program-aware-vllm-decode-9c9b54cb6-f9qsh,188m,23201Mi
1789717381,thunder-lane-a-epp-7cbb9d68f6-p9nd5,236m,41Mi
1789717381,weka-bench-epp-thunder-r1-mjrcl,1206m,746Mi
1789717413,program-aware-vllm-decode-9c9b54cb6-f9qsh,192m,23201Mi
1789717413,thunder-lane-a-epp-7cbb9d68f6-p9nd5,238m,40Mi
1789717413,weka-bench-epp-thunder-r1-mjrcl,5767m,4844Mi
1789717445,program-aware-vllm-decode-9c9b54cb6-f9qsh,193m,23201Mi
1789717445,thunder-lane-a-epp-7cbb9d68f6-p9nd5,255m,41Mi
1789717445,weka-bench-epp-thunder-r1-mjrcl,7903m,3950Mi
1789717477,program-aware-vllm-decode-9c9b54cb6-f9qsh,2868m,23206Mi
1789717477,thunder-lane-a-epp-7cbb9d68f6-p9nd5,408m,244Mi
1789717477,weka-bench-epp-thunder-r1-mjrcl,4908m,7403Mi
1789717508,program-aware-vllm-decode-9c9b54cb6-f9qsh,3223m,23227Mi
1789717508,thunder-lane-a-epp-7cbb9d68f6-p9nd5,420m,301Mi
1789717508,weka-bench-epp-thunder-r1-mjrcl,1862m,7417Mi
1789717540,program-aware-vllm-decode-9c9b54cb6-f9qsh,2935m,23237Mi
1789717540,thunder-lane-a-epp-7cbb9d68f6-p9nd5,504m,314Mi
1789717540,weka-bench-epp-thunder-r1-mjrcl,1900m,7456Mi
1789717572,program-aware-vllm-decode-9c9b54cb6-f9qsh,2997m,23235Mi
1789717572,thunder-lane-a-epp-7cbb9d68f6-p9nd5,491m,326Mi
1789717572,weka-bench-epp-thunder-r1-mjrcl,1906m,7463Mi
1789717604,program-aware-vllm-decode-9c9b54cb6-f9qsh,2831m,23231Mi
1789717604,thunder-lane-a-epp-7cbb9d68f6-p9nd5,518m,328Mi
1789717604,weka-bench-epp-thunder-r1-mjrcl,1928m,7491Mi
1789717636,program-aware-vllm-decode-9c9b54cb6-f9qsh,2750m,23232Mi
1789717636,thunder-lane-a-epp-7cbb9d68f6-p9nd5,492m,331Mi
1789717636,weka-bench-epp-thunder-r1-mjrcl,1983m,7507Mi
1789717667,program-aware-vllm-decode-9c9b54cb6-f9qsh,2733m,23231Mi
1789717667,thunder-lane-a-epp-7cbb9d68f6-p9nd5,556m,338Mi
1789717667,weka-bench-epp-thunder-r1-mjrcl,1933m,7543Mi
1789717699,program-aware-vllm-decode-9c9b54cb6-f9qsh,2630m,23231Mi
1789717699,thunder-lane-a-epp-7cbb9d68f6-p9nd5,546m,342Mi
1789717699,weka-bench-epp-thunder-r1-mjrcl,2006m,7559Mi
1789717731,program-aware-vllm-decode-9c9b54cb6-f9qsh,2792m,23230Mi
1789717731,thunder-lane-a-epp-7cbb9d68f6-p9nd5,534m,343Mi
1789717731,weka-bench-epp-thunder-r1-mjrcl,1919m,7581Mi
1789717763,program-aware-vllm-decode-9c9b54cb6-f9qsh,2750m,23227Mi
1789717763,thunder-lane-a-epp-7cbb9d68f6-p9nd5,545m,346Mi
