ts,programs_running,programs_idle,programs_marked,programs_paused,holds_reasoning,holds_paused,holds_new,releases_reasoning,releases_paused,releases_new,pauses_total,resumes_total,rebinds_total,starvation_promotions_total,pod_utilization,fc_queue_size,fc_queue_wait_sum,fc_queue_wait_count
1789717348.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717350.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717352.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717354.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717356.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717358.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717360.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717362.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717364.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717366.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717368.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717370.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717372.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717374.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717376.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717378.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717380.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717382.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717384.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717386.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717388.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717390.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717392.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717394.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717396.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717398.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717400.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717402.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717404.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717406.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717408.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717410.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717412.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717414.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789717416.9,60.0,0.0,0.0,0.0,,,,,,61.0,0.0,0.0,0.0,0.0,0.18022252619532955,,0.018727994,122.0
1789717419.2,101.0,0.0,0.0,0.0,,,,7.0,,101.0,0.0,0.0,0.0,0.0,0.42998247684440155,,0.030175206,216.0
1789717421.8,127.0,0.0,0.0,0.0,,,,15.0,,127.0,0.0,0.0,0.0,0.0,0.6554312841969746,,0.039871544,284.0
1789717424.6,128.0,0.0,0.0,0.0,,,,27.0,,128.0,0.0,0.0,0.0,0.0,0.8585411972964274,,0.042796271999999996,310.0
1789717427.5,127.0,1.0,0.0,0.0,,,,37.0,,128.0,0.0,0.0,0.0,0.0,1.0451842613453493,,0.045027894,330.0
1789717430.4,0.0,0.0,112.0,16.0,,,,42.0,,128.0,16.0,0.0,0.0,0.0,1.1622867718056002,32.0,0.046053224,340.0
1789717433.6,0.0,0.0,103.0,25.0,,,,42.0,,128.0,25.0,0.0,0.0,0.0,1.1575063476737117,48.0,0.046053224,340.0
1789717436.8,0.0,0.0,98.0,30.0,,,,42.0,,128.0,30.0,0.0,0.0,0.0,1.1562274255265887,60.0,0.046053224,340.0
1789717440.0,0.0,0.0,94.0,34.0,,,,42.0,,128.0,34.0,0.0,0.0,0.0,1.155438436505382,68.0,0.046053224,340.0
1789717443.3,0.0,0.0,88.0,40.0,,,,42.0,,128.0,40.0,0.0,0.0,0.0,1.154168901763044,78.0,0.046053224,340.0
1789717446.6,0.0,0.0,84.0,44.0,,,,42.0,,128.0,44.0,0.0,0.0,0.0,1.1533128598505167,86.0,0.046053224,340.0
1789717450.0,0.0,0.0,80.0,48.0,,,,42.0,,128.0,48.0,0.0,0.0,0.0,1.152504649000465,96.0,0.046053224,340.0
1789717453.3,0.0,0.0,72.0,56.0,,,,42.0,,128.0,56.0,0.0,0.0,0.0,1.1506986911275614,114.0,0.046053224,340.0
1789717456.8,0.0,0.0,71.0,57.0,,,,42.0,,128.0,57.0,0.0,0.0,0.0,1.1506910917998785,116.0,0.046053224,340.0
1789717460.3,0.0,0.0,63.0,65.0,,,,42.0,,128.0,65.0,0.0,0.0,0.0,1.1486200514966205,132.0,0.046053224,340.0
1789717463.8,0.0,0.0,61.0,67.0,,,,42.0,,128.0,67.0,0.0,0.0,0.0,1.1258926974931158,136.0,0.046053224,340.0
1789717467.4,0.0,0.0,60.0,68.0,,,,42.0,,128.0,68.0,0.0,0.0,0.0,1.1259807602903837,140.0,0.046053224,340.0
1789717470.9,0.0,0.0,59.0,69.0,,,,42.0,,128.0,69.0,0.0,0.0,0.0,1.1005909594821728,140.0,0.046053224,340.0
1789717474.5,0.0,0.0,58.0,70.0,,,,42.0,,128.0,70.0,0.0,0.0,0.0,1.06744313914816,142.0,0.046053224,340.0
1789717478.1,0.0,0.0,58.0,70.0,,,,42.0,,128.0,70.0,0.0,0.0,0.0,1.0677024103279333,144.0,0.046053224,340.0
1789717481.6,0.0,0.0,57.0,71.0,,,,42.0,,128.0,71.0,0.0,0.0,0.0,1.0544237027500625,146.0,0.046053224,340.0
1789717485.2,0.0,0.0,56.0,72.0,,,,42.0,,128.0,72.0,0.0,0.0,0.0,1.0191874083610486,148.0,0.046053224,340.0
1789717488.8,2.0,0.0,55.0,71.0,,2.0,,42.0,2.0,128.0,73.0,2.0,0.0,0.0,0.9975860959124557,146.0,213.685673346,344.0
1789717492.3,7.0,0.0,52.0,69.0,,7.0,,42.0,7.0,128.0,76.0,7.0,0.0,0.0,0.9997532453599399,142.0,788.55339698,354.0
1789717495.9,0.0,0.0,58.0,70.0,1.0,9.0,,43.0,9.0,128.0,79.0,9.0,0.0,0.0,0.9881571183349426,140.0,1084.709334356,360.0
1789717499.5,4.0,0.0,55.0,69.0,1.0,13.0,,43.0,13.0,128.0,82.0,13.0,0.0,0.0,0.9905178271287058,136.0,1496.1631571799999,368.0
1789717503.2,5.0,0.0,52.0,71.0,1.0,14.0,,43.0,14.0,128.0,85.0,14.0,0.0,0.0,0.988283624789901,142.0,1613.379490594,370.0
1789717506.8,7.0,0.0,50.0,71.0,1.0,16.0,,43.0,16.0,128.0,87.0,16.0,0.0,0.0,0.9867329149232915,140.0,1848.786699426,374.0
1789717510.4,8.0,1.0,48.0,71.0,1.0,18.0,,43.0,18.0,128.0,89.0,18.0,0.0,0.0,0.9887065050244966,144.0,2113.02653365,378.0
1789717514.0,14.0,0.0,44.0,70.0,1.0,22.0,,44.0,23.0,128.0,93.0,23.0,0.0,0.0,0.9959571576726388,142.0,2529.631658146,390.0
1789717517.7,18.0,0.0,39.0,71.0,1.0,25.0,,44.0,27.0,128.0,98.0,27.0,0.0,0.0,0.9932339162464685,140.0,2863.625902326,398.0
1789717521.4,23.0,0.0,35.0,70.0,1.0,29.0,,44.0,32.0,128.0,102.0,32.0,0.0,0.0,0.9936876408110717,140.0,3218.510089778,408.0
1789717525.0,25.0,0.0,33.0,70.0,1.0,31.0,,44.0,34.0,128.0,104.0,34.0,0.0,0.0,0.9931208203697743,140.0,3289.8344491880002,412.0
1789717528.7,27.0,0.0,30.0,71.0,1.0,33.0,,45.0,36.0,128.0,107.0,36.0,0.0,0.0,0.9848634803132711,140.0,3386.7953455360002,418.0
1789717532.3,28.0,1.0,29.0,70.0,1.0,33.0,,45.0,38.0,128.0,108.0,38.0,0.0,0.0,0.9984644887887566,142.0,3388.794313676,422.0
