ts,kv_cache_usage_perc,num_requests_running,num_requests_waiting,num_preemptions_total,cum_prefix_cache_queries,cum_prefix_cache_hits,interval_queries,interval_hits,interval_hit_rate
1789717348.0,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717350.1,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717352.1,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717354.1,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717356.1,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717358.2,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717360.2,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717362.2,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717364.2,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717366.2,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717368.3,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717370.3,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717372.3,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717374.3,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717376.4,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717378.4,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717380.4,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717382.4,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717384.5,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717386.5,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717388.5,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717390.5,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717392.6,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717394.6,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717396.6,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717398.6,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717400.7,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717402.7,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717404.7,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717406.7,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
1789717408.8,0.0,0.0,0.0,55.0,725472899,260527328,0,0,
