ts,kv_cache_usage_perc,num_requests_running,num_requests_waiting,num_preemptions_total,cum_prefix_cache_queries,cum_prefix_cache_hits,interval_queries,interval_hits,interval_hit_rate
1789692015.7,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692017.8,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692019.9,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692022.0,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692024.1,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692026.2,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692028.2,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692030.3,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692032.4,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692034.5,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692036.6,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692038.7,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692040.8,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692042.9,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692045.0,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692047.1,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692049.2,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692051.3,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692053.4,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692055.5,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692057.6,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692059.7,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692061.8,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692063.9,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692066.0,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692068.1,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692070.2,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692072.3,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692074.4,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692076.5,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692078.6,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692080.7,0.0,0.0,0.0,15.0,388903612,176577024,0,0,
1789692082.7,0.016607778906261195,20.0,0.0,15.0,388940565,176611328,36953,34304,0.9283
1789692084.9,0.0716594904659047,8.0,27.0,15.0,389074077,176660336,133512,49008,0.3671
1789692087.1,0.1111476676155464,7.0,32.0,15.0,389167434,176660336,93357,0,0.0
1789692089.4,0.15160856566581316,16.0,22.0,15.0,389313202,176661040,145768,704,0.0048
1789692091.8,0.17723546998154693,16.0,23.0,15.0,389313202,176661040,0,0,
1789692094.1,0.2127183257756734,15.0,23.0,15.0,389419026,176661040,105824,0,0.0
1789692096.4,0.29240991603129873,22.0,17.0,15.0,389581431,176741984,162405,80944,0.4984
1789692098.8,0.3262906432832191,19.0,20.0,15.0,389678512,176741984,97081,0,0.0
1789692101.3,0.3661507431301586,19.0,20.0,15.0,389783648,176742000,105136,16,0.0002
1789692103.7,0.4025705580270932,20.0,19.0,15.0,389882570,176742000,98922,0,0.0
1789692106.1,0.43919779135136683,21.0,18.0,15.0,389919333,176742016,36763,16,0.0004
1789692108.6,0.48315619322814596,23.0,16.0,15.0,390004129,176742016,84796,0,0.0
1789692111.0,0.5271145951049251,26.0,13.0,15.0,390145831,176742016,141702,0,0.0
1789692113.5,0.560065515613601,27.0,12.0,15.0,390178744,176742016,32913,0,0.0
1789692115.9,0.6003690617534725,29.0,10.0,15.0,390398981,176742032,220237,16,0.0001
1789692118.3,0.6260174231478965,29.0,10.0,15.0,390398981,176742032,0,0,
1789692120.7,0.6406439984550903,29.0,10.0,15.0,390398981,176742032,0,0,
1789692123.2,0.6516371751040668,29.0,10.0,15.0,390398981,176742032,0,0,
1789692125.6,0.6626160470339164,30.0,9.0,15.0,390432355,176742032,33374,0,0.0
1789692128.0,0.6654269243423405,30.0,8.0,15.0,390520104,176742032,87749,0,0.0
1789692130.4,0.6837298124651323,31.0,8.0,15.0,390580343,176742032,60239,0,0.0
1789692132.9,0.720357045789406,33.0,6.0,15.0,390631204,176742032,50861,0,0.0
1789692135.3,0.760653439569714,35.0,4.0,15.0,390706378,176742032,75174,0,0.0
1789692137.7,0.804590384367803,38.0,1.0,15.0,390837084,176742032,130706,0,0.0
1789692140.1,0.8087172958358962,37.0,0.0,15.0,390920954,176825888,83870,83856,0.9998
1789692142.6,0.7483442287610682,34.0,0.0,15.0,390953341,176858064,32387,32176,0.9935
1789692145.1,0.7647517415995537,35.0,0.0,15.0,391154484,177025968,201143,167904,0.8347
1789692147.5,0.7867810090548872,36.0,0.0,15.0,391312415,177138496,157931,112528,0.7125
1789692150.0,0.8050195259416082,37.0,0.0,15.0,391416584,177240960,104169,102464,0.9836
1789692152.5,0.7706095240819947,36.0,0.0,15.0,391551300,177372304,134716,131344,0.975
1789692155.0,0.7915230234454347,37.0,0.0,15.0,391744337,177525024,193037,152720,0.7911
1789692157.5,0.8212553821505715,38.0,0.0,15.0,391956967,177706192,212630,181168,0.852
1789692160.0,0.7393894745876665,35.0,0.0,15.0,392068998,177811936,112031,105744,0.9439
1789692162.5,0.7789706324116326,36.0,0.0,15.0,392298783,178005472,229785,193536,0.8422
1789692165.0,0.823136452715751,39.0,0.0,15.0,392455664,178128480,156881,123008,0.7841
1789692167.5,0.7983034603115567,38.0,0.0,15.0,392683933,178349456,228269,220976,0.9681
1789692170.0,0.820053785743917,39.0,0.0,15.0,392876957,178502032,193024,152576,0.7905
1789692172.5,0.8226071781080578,39.0,1.0,15.0,393009008,178535664,132051,33632,0.2547
1789692175.0,0.8405309911739883,39.0,0.0,15.0,393112866,178620048,103858,84384,0.8125
1789692177.5,0.8089390189823623,37.0,0.0,15.0,393193417,178690720,80551,70672,0.8774
1789692179.9,0.7213226143304676,33.0,0.0,15.0,393265796,178760720,72379,70000,0.9671
1789692182.4,0.7818315762370006,37.0,0.0,15.0,393517969,178974528,252173,213808,0.8479
1789692184.9,0.8080235169582446,36.0,3.0,15.0,393683374,179090192,165405,115664,0.6993
1789692187.4,0.7930679331111333,36.0,0.0,15.0,393887600,179282192,204226,192000,0.9401
1789692189.8,0.8113994306721788,37.0,0.0,15.0,394029354,179418016,141754,135824,0.9582
1789692192.3,0.7858440499520791,36.0,0.0,15.0,394180786,179562384,151432,144368,0.9534
1789692194.8,0.8781881642753945,39.0,0.0,15.0,394386853,179707888,206067,145504,0.7061
1789692197.3,0.8715078604431602,38.0,0.0,15.0,394642437,179937024,255584,229136,0.8965
1789692199.8,0.8141960032614759,35.0,2.0,15.0,394689001,179937024,46564,0,0.0
1789692202.2,0.8903185660949547,38.0,0.0,15.0,394911761,180154464,222760,217440,0.9761
