1789708807,program-aware-vllm-decode-9c9b54cb6-f9qsh,108m,23185Mi
1789708839,program-aware-vllm-decode-9c9b54cb6-f9qsh,185m,23185Mi
1789708839,thunder-lane-a-epp-54974b8c87-2w26p,175m,40Mi
1789708870,program-aware-vllm-decode-9c9b54cb6-f9qsh,220m,23185Mi
1789708870,thunder-lane-a-epp-54974b8c87-2w26p,127m,41Mi
1789708870,weka-bench-epp-sticky-r1-tgn5l,8011m,5859Mi
1789708902,program-aware-vllm-decode-9c9b54cb6-f9qsh,2297m,23162Mi
1789708902,thunder-lane-a-epp-54974b8c87-2w26p,184m,137Mi
1789708902,weka-bench-epp-sticky-r1-tgn5l,5060m,6614Mi
1789708934,program-aware-vllm-decode-9c9b54cb6-f9qsh,3230m,23178Mi
1789708934,thunder-lane-a-epp-54974b8c87-2w26p,167m,136Mi
1789708934,weka-bench-epp-sticky-r1-tgn5l,1358m,6631Mi
1789708965,program-aware-vllm-decode-9c9b54cb6-f9qsh,2096m,23188Mi
1789708965,thunder-lane-a-epp-54974b8c87-2w26p,339m,148Mi
1789708965,weka-bench-epp-sticky-r1-tgn5l,1429m,6709Mi
1789708997,program-aware-vllm-decode-9c9b54cb6-f9qsh,2327m,23192Mi
1789708997,thunder-lane-a-epp-54974b8c87-2w26p,442m,160Mi
1789708997,weka-bench-epp-sticky-r1-tgn5l,1485m,6768Mi
1789709029,program-aware-vllm-decode-9c9b54cb6-f9qsh,2107m,23198Mi
1789709029,thunder-lane-a-epp-54974b8c87-2w26p,407m,164Mi
1789709029,weka-bench-epp-sticky-r1-tgn5l,1509m,6950Mi
1789709060,program-aware-vllm-decode-9c9b54cb6-f9qsh,2312m,23209Mi
1789709060,thunder-lane-a-epp-54974b8c87-2w26p,363m,168Mi
1789709060,weka-bench-epp-sticky-r1-tgn5l,1467m,6978Mi
1789709092,program-aware-vllm-decode-9c9b54cb6-f9qsh,2745m,23216Mi
