ts,programs_running,programs_idle,programs_marked,programs_paused,holds_reasoning,holds_paused,holds_new,releases_reasoning,releases_paused,releases_new,pauses_total,resumes_total,rebinds_total,starvation_promotions_total,pod_utilization,fc_queue_size,fc_queue_wait_sum,fc_queue_wait_count
1789708805.5,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708807.5,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708809.5,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708811.6,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708813.6,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708815.6,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708817.6,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708819.7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708821.7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708823.7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708825.7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708827.8,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708829.8,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708831.8,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708833.8,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708835.9,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708837.9,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708839.9,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708841.9,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708844.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708846.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708848.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708850.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708852.1,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708854.1,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708856.1,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708858.1,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708860.2,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708862.2,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708864.2,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708866.2,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708868.3,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708870.3,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708872.3,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708874.3,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708876.4,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708878.5,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708880.7,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708882.9,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708885.1,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708887.5,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708889.9,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1789708892.2,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
