1789711895,program-aware-vllm-decode-9c9b54cb6-f9qsh,124m,23217Mi
1789711926,program-aware-vllm-decode-9c9b54cb6-f9qsh,185m,23216Mi
1789711926,thunder-lane-a-epp-8477876f44-c5rpj,297m,40Mi
1789711958,program-aware-vllm-decode-9c9b54cb6-f9qsh,197m,23217Mi
1789711958,thunder-lane-a-epp-8477876f44-c5rpj,239m,40Mi
1789711958,weka-bench-epp-thunder-r1-jztpd,2211m,3457Mi
1789711990,program-aware-vllm-decode-9c9b54cb6-f9qsh,2792m,23201Mi
1789711990,thunder-lane-a-epp-8477876f44-c5rpj,314m,145Mi
1789711990,weka-bench-epp-thunder-r1-jztpd,3266m,6620Mi
1789712022,program-aware-vllm-decode-9c9b54cb6-f9qsh,3228m,23209Mi
1789712022,thunder-lane-a-epp-8477876f44-c5rpj,293m,146Mi
1789712022,weka-bench-epp-thunder-r1-jztpd,1420m,6642Mi
1789712054,program-aware-vllm-decode-9c9b54cb6-f9qsh,3240m,23238Mi
1789712054,thunder-lane-a-epp-8477876f44-c5rpj,298m,150Mi
1789712054,weka-bench-epp-thunder-r1-jztpd,1456m,6672Mi
1789712085,program-aware-vllm-decode-9c9b54cb6-f9qsh,2875m,23241Mi
1789712085,thunder-lane-a-epp-8477876f44-c5rpj,361m,161Mi
1789712085,weka-bench-epp-thunder-r1-jztpd,1462m,6712Mi
1789712117,program-aware-vllm-decode-9c9b54cb6-f9qsh,2888m,23242Mi
1789712117,thunder-lane-a-epp-8477876f44-c5rpj,367m,171Mi
1789712117,weka-bench-epp-thunder-r1-jztpd,1478m,6740Mi
1789712149,program-aware-vllm-decode-9c9b54cb6-f9qsh,2802m,23238Mi
1789712149,thunder-lane-a-epp-8477876f44-c5rpj,402m,178Mi
1789712149,weka-bench-epp-thunder-r1-jztpd,1493m,6777Mi
1789712181,program-aware-vllm-decode-9c9b54cb6-f9qsh,2635m,23238Mi
1789712181,thunder-lane-a-epp-8477876f44-c5rpj,397m,182Mi
1789712181,weka-bench-epp-thunder-r1-jztpd,1487m,6793Mi
1789712212,program-aware-vllm-decode-9c9b54cb6-f9qsh,2824m,23237Mi
1789712212,thunder-lane-a-epp-8477876f44-c5rpj,414m,186Mi
1789712212,weka-bench-epp-thunder-r1-jztpd,1508m,6826Mi
1789712244,program-aware-vllm-decode-9c9b54cb6-f9qsh,2524m,23236Mi
1789712244,thunder-lane-a-epp-8477876f44-c5rpj,460m,199Mi
1789712244,weka-bench-epp-thunder-r1-jztpd,1537m,6848Mi
1789712276,program-aware-vllm-decode-9c9b54cb6-f9qsh,2654m,23235Mi
1789712276,thunder-lane-a-epp-8477876f44-c5rpj,424m,195Mi
1789712276,weka-bench-epp-thunder-r1-jztpd,1499m,6873Mi
1789712307,program-aware-vllm-decode-9c9b54cb6-f9qsh,2830m,23236Mi
1789712307,thunder-lane-a-epp-8477876f44-c5rpj,374m,203Mi
1789712307,weka-bench-epp-thunder-r1-jztpd,1499m,6885Mi
1789712339,program-aware-vllm-decode-9c9b54cb6-f9qsh,2360m,23238Mi
1789712339,thunder-lane-a-epp-8477876f44-c5rpj,430m,205Mi
1789712339,weka-bench-epp-thunder-r1-jztpd,1550m,6906Mi
1789712371,program-aware-vllm-decode-9c9b54cb6-f9qsh,2839m,23240Mi
1789712371,thunder-lane-a-epp-8477876f44-c5rpj,369m,206Mi
1789712371,weka-bench-epp-thunder-r1-jztpd,1517m,6928Mi
1789712403,program-aware-vllm-decode-9c9b54cb6-f9qsh,2728m,23240Mi
1789712403,thunder-lane-a-epp-8477876f44-c5rpj,374m,206Mi
1789712403,weka-bench-epp-thunder-r1-jztpd,1553m,7080Mi
1789712434,program-aware-vllm-decode-9c9b54cb6-f9qsh,2980m,23240Mi
1789712434,thunder-lane-a-epp-8477876f44-c5rpj,378m,210Mi
1789712434,weka-bench-epp-thunder-r1-jztpd,1521m,7099Mi
1789712466,program-aware-vllm-decode-9c9b54cb6-f9qsh,2531m,23242Mi
1789712466,thunder-lane-a-epp-8477876f44-c5rpj,396m,212Mi
1789712466,weka-bench-epp-thunder-r1-jztpd,1527m,7108Mi
1789712498,program-aware-vllm-decode-9c9b54cb6-f9qsh,2660m,23242Mi
1789712498,thunder-lane-a-epp-8477876f44-c5rpj,362m,215Mi
1789712498,weka-bench-epp-thunder-r1-jztpd,1517m,7120Mi
1789712529,program-aware-vllm-decode-9c9b54cb6-f9qsh,2657m,23241Mi
1789712529,thunder-lane-a-epp-8477876f44-c5rpj,416m,217Mi
1789712529,weka-bench-epp-thunder-r1-jztpd,1535m,7142Mi
1789712561,program-aware-vllm-decode-9c9b54cb6-f9qsh,2492m,23239Mi
1789712561,thunder-lane-a-epp-8477876f44-c5rpj,413m,218Mi
1789712561,weka-bench-epp-thunder-r1-jztpd,1545m,7177Mi
1789712593,program-aware-vllm-decode-9c9b54cb6-f9qsh,2789m,23239Mi
1789712593,thunder-lane-a-epp-8477876f44-c5rpj,374m,222Mi
1789712593,weka-bench-epp-thunder-r1-jztpd,1520m,7189Mi
1789712625,program-aware-vllm-decode-9c9b54cb6-f9qsh,2731m,23239Mi
1789712625,thunder-lane-a-epp-8477876f44-c5rpj,350m,224Mi
1789712625,weka-bench-epp-thunder-r1-jztpd,1531m,7198Mi
1789712656,program-aware-vllm-decode-9c9b54cb6-f9qsh,2285m,23239Mi
1789712656,thunder-lane-a-epp-8477876f44-c5rpj,418m,229Mi
1789712656,weka-bench-epp-thunder-r1-jztpd,1572m,7225Mi
1789712688,program-aware-vllm-decode-9c9b54cb6-f9qsh,2610m,23238Mi
1789712688,thunder-lane-a-epp-8477876f44-c5rpj,406m,228Mi
1789712688,weka-bench-epp-thunder-r1-jztpd,1539m,7234Mi
1789712720,program-aware-vllm-decode-9c9b54cb6-f9qsh,2418m,23239Mi
1789712720,thunder-lane-a-epp-8477876f44-c5rpj,394m,229Mi
1789712720,weka-bench-epp-thunder-r1-jztpd,1560m,7254Mi
1789712752,program-aware-vllm-decode-9c9b54cb6-f9qsh,2819m,23238Mi
1789712752,thunder-lane-a-epp-8477876f44-c5rpj,412m,230Mi
1789712752,weka-bench-epp-thunder-r1-jztpd,1569m,7275Mi
1789712784,program-aware-vllm-decode-9c9b54cb6-f9qsh,2524m,23238Mi
1789712784,thunder-lane-a-epp-8477876f44-c5rpj,395m,231Mi
1789712784,weka-bench-epp-thunder-r1-jztpd,1626m,7294Mi
1789712816,program-aware-vllm-decode-9c9b54cb6-f9qsh,2273m,23238Mi
1789712816,thunder-lane-a-epp-8477876f44-c5rpj,475m,236Mi
1789712816,weka-bench-epp-thunder-r1-jztpd,1569m,7325Mi
1789712847,program-aware-vllm-decode-9c9b54cb6-f9qsh,2601m,23243Mi
1789712847,thunder-lane-a-epp-8477876f44-c5rpj,417m,236Mi
1789712847,weka-bench-epp-thunder-r1-jztpd,1584m,7339Mi
1789712879,program-aware-vllm-decode-9c9b54cb6-f9qsh,2565m,23244Mi
1789712879,thunder-lane-a-epp-8477876f44-c5rpj,429m,235Mi
1789712879,weka-bench-epp-thunder-r1-jztpd,1606m,7361Mi
1789712911,program-aware-vllm-decode-9c9b54cb6-f9qsh,2850m,23245Mi
1789712911,thunder-lane-a-epp-8477876f44-c5rpj,377m,229Mi
1789712911,weka-bench-epp-thunder-r1-jztpd,1542m,7376Mi
1789712943,program-aware-vllm-decode-9c9b54cb6-f9qsh,2757m,23245Mi
1789712943,thunder-lane-a-epp-8477876f44-c5rpj,379m,233Mi
1789712943,weka-bench-epp-thunder-r1-jztpd,1557m,7386Mi
1789712974,program-aware-vllm-decode-9c9b54cb6-f9qsh,2936m,23244Mi
1789712974,thunder-lane-a-epp-8477876f44-c5rpj,373m,233Mi
1789712974,weka-bench-epp-thunder-r1-jztpd,1528m,7406Mi
1789713006,program-aware-vllm-decode-9c9b54cb6-f9qsh,2565m,23243Mi
1789713006,thunder-lane-a-epp-8477876f44-c5rpj,419m,230Mi
1789713006,weka-bench-epp-thunder-r1-jztpd,1587m,7418Mi
1789713038,program-aware-vllm-decode-9c9b54cb6-f9qsh,2666m,23244Mi
1789713038,thunder-lane-a-epp-8477876f44-c5rpj,458m,231Mi
1789713038,weka-bench-epp-thunder-r1-jztpd,1637m,7439Mi
1789713070,program-aware-vllm-decode-9c9b54cb6-f9qsh,2707m,23243Mi
1789713070,thunder-lane-a-epp-8477876f44-c5rpj,412m,231Mi
1789713070,weka-bench-epp-thunder-r1-jztpd,1595m,7476Mi
1789713102,program-aware-vllm-decode-9c9b54cb6-f9qsh,2634m,23242Mi
1789713102,thunder-lane-a-epp-8477876f44-c5rpj,405m,238Mi
1789713102,weka-bench-epp-thunder-r1-jztpd,1597m,7490Mi
1789713133,program-aware-vllm-decode-9c9b54cb6-f9qsh,2658m,23243Mi
1789713133,thunder-lane-a-epp-8477876f44-c5rpj,439m,239Mi
1789713133,weka-bench-epp-thunder-r1-jztpd,1547m,7502Mi
1789713165,program-aware-vllm-decode-9c9b54cb6-f9qsh,2582m,23244Mi
1789713165,thunder-lane-a-epp-8477876f44-c5rpj,437m,230Mi
1789713165,weka-bench-epp-thunder-r1-jztpd,1630m,7518Mi
1789713197,program-aware-vllm-decode-9c9b54cb6-f9qsh,2529m,23243Mi
1789713197,thunder-lane-a-epp-8477876f44-c5rpj,423m,232Mi
1789713197,weka-bench-epp-thunder-r1-jztpd,1616m,7538Mi
1789713228,program-aware-vllm-decode-9c9b54cb6-f9qsh,2332m,23242Mi
1789713228,thunder-lane-a-epp-8477876f44-c5rpj,445m,230Mi
