ts,kv_cache_usage_perc,num_requests_running,num_requests_waiting,num_preemptions_total,cum_prefix_cache_queries,cum_prefix_cache_hits,interval_queries,interval_hits,interval_hit_rate
1789708803.5,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708805.6,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708807.6,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708809.6,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708811.6,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708813.7,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708815.7,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708817.7,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708819.7,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708821.7,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708823.8,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708825.8,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708827.8,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708829.8,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708831.8,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708833.9,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708835.9,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708837.9,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708839.9,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708842.0,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708844.0,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708846.0,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708848.0,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708850.0,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708852.1,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708854.1,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708856.1,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708858.1,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708860.1,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708862.2,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708864.2,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708866.2,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708868.2,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708870.2,0.0,0.0,0.0,28.0,522766839,203313456,0,0,
1789708872.3,0.03972420501523455,26.0,16.0,28.0,522890091,203313456,123252,0,0.0
1789708874.5,0.08173716509076345,29.0,12.0,28.0,522971198,203313456,81107,0,0.0
1789708876.8,0.11687670762584579,19.0,26.0,28.0,523068677,203313456,97479,0,0.0
1789708879.2,0.1554136209535526,14.0,29.0,28.0,523162304,203313456,93627,0,0.0
1789708881.8,0.19512352124966026,13.0,34.0,28.0,523255269,203313456,92965,0,0.0
1789708884.3,0.23500507817529004,13.0,34.0,28.0,523320539,203313456,65270,0,0.0
1789708886.8,0.28628034388544776,16.0,31.0,28.0,523476068,203313456,155529,0,0.0
1789708889.4,0.3119287052798718,18.0,29.0,28.0,523508297,203313456,32229,0,0.0
1789708891.9,0.35954911525312205,20.0,27.0,28.0,523592835,203313456,84538,0,0.0
1789708894.4,0.39959517644871045,21.0,26.0,28.0,523700396,203313472,107561,16,0.0001
1789708897.0,0.4400560744989772,24.0,23.0,28.0,523778281,203313856,77885,384,0.0049
1789708899.5,0.4801951163688901,26.0,21.0,28.0,523885865,203313856,107584,0,0.0
1789708902.1,0.5278083739825769,28.0,19.0,28.0,523978764,203313856,92899,0,0.0
1789708904.6,0.5644141502281603,30.0,17.0,28.0,524138862,203313856,160098,0,0.0
1789708907.2,0.5937245197190553,30.0,17.0,28.0,524138862,203313856,0,0,
1789708909.7,0.6193371193156623,31.0,16.0,28.0,524175625,203313856,36763,0,0.0
1789708912.3,0.6633169782711317,33.0,14.0,28.0,524271481,203313872,95856,16,0.0002
1789708914.8,0.7072682277883473,36.0,11.0,28.0,524382418,203313888,110937,16,0.0001
1789708917.4,0.728753915916861,36.0,11.0,28.0,524534408,203313888,151990,0,0.0
1789708919.9,0.747078261118343,36.0,11.0,28.0,524534408,203313888,0,0,
1789708922.5,0.7580571330481927,36.0,11.0,28.0,524534408,203313888,0,0,
1789708925.1,0.7763385640922941,37.0,10.0,28.0,524586271,203313888,51863,0,0.0
1789708927.6,0.7614473514812536,38.0,8.0,28.0,524668692,203313888,82421,0,0.0
1789708930.2,0.7873388931008339,39.0,6.0,28.0,524737171,203313888,68479,0,0.0
1789708932.8,0.8302458981217904,41.0,5.0,28.0,524852185,203313904,115014,16,0.0001
1789708935.4,0.844357503540418,42.0,5.0,28.0,524926122,203323888,73937,9984,0.135
1789708937.9,0.8840459467578354,45.0,0.0,28.0,525110006,203439920,183884,116032,0.631
1789708940.5,0.8724305148268414,44.0,0.0,28.0,525148099,203450336,38093,10416,0.2734
1789708943.1,0.7432946629092938,39.0,0.0,28.0,525299815,203582432,151716,132096,0.8707
1789708945.7,0.8279428383423691,41.0,0.0,28.0,525676888,203947216,377073,364784,0.9674
1789708948.3,0.8323558441929992,41.0,0.0,28.0,525959993,204226240,283105,279024,0.9856
1789708950.9,0.862903571888366,42.0,3.0,28.0,526118052,204346320,158059,120080,0.7597
1789708953.5,0.8809060609094941,44.0,0.0,28.0,526412760,204626752,294708,280432,0.9516
1789708956.1,0.8309396769994422,42.0,0.0,28.0,526572677,204772864,159917,146112,0.9137
1789708958.8,0.7277597379375456,40.0,0.0,28.0,526841919,205001488,269242,228624,0.8491
1789708961.4,0.8326848527329166,43.0,0.0,28.0,527267234,205413872,425315,412384,0.9696
1789708964.0,0.8301028509305219,42.0,2.0,28.0,527448357,205525696,181123,111824,0.6174
1789708966.6,0.8700988456091665,43.0,0.0,28.0,527577155,205647856,128798,122160,0.9485
1789708969.2,0.8675454532450255,43.0,0.0,28.0,527820585,205873152,243430,225296,0.9255
1789708971.9,0.9397485230377501,46.0,0.0,28.0,528152555,206108432,331970,235280,0.7087
1789708974.6,0.9052383881442487,45.0,0.0,28.0,528260448,206214672,107893,106240,0.9847
1789708977.3,0.9309511207747436,46.0,0.0,28.0,528436309,206333552,175861,118880,0.676
1789708980.0,0.8853762856366315,45.0,0.0,28.0,528712408,206597856,276099,264304,0.9573
1789708982.6,0.9176262749080921,46.0,0.0,28.0,529029004,206852384,316596,254528,0.804
1789708985.2,0.8839958802408915,45.0,0.0,28.0,529218490,207029584,189486,177200,0.9352
1789708987.9,0.920365628620882,46.0,0.0,28.0,529381674,207164304,163184,134720,0.8256
1789708990.6,0.9320239747092566,44.0,0.0,28.0,529588356,207341088,206682,176784,0.8553
1789708993.2,0.9316878138097758,44.0,0.0,28.0,529682680,207433280,94324,92192,0.9774
1789708995.8,0.8933726236285351,43.0,0.0,28.0,529844415,207552080,161735,118800,0.7345
1789708998.5,0.913127440742701,45.0,0.0,28.0,529977963,207592880,133548,40800,0.3055
1789709001.1,0.9478306893444147,46.0,0.0,28.0,530027616,207592880,49653,0,0.0
1789709003.8,0.9489393050767448,45.0,1.0,28.0,530119311,207592880,91695,0,0.0
1789709006.4,0.9746019711902957,46.0,0.0,28.0,530154828,207592880,35517,0,0.0
1789709009.1,0.9511779936200953,45.0,0.0,28.0,530185168,207620320,30340,27440,0.9044
1789709011.7,0.9499191783369334,45.0,0.0,28.0,530376746,207707872,191578,87552,0.457
1789709014.3,0.9595462543092966,45.0,1.0,28.0,530423797,207707888,47051,16,0.0003
1789709016.9,0.9985051568512452,46.0,0.0,28.0,530507067,207707888,83270,0,0.0
1789709019.6,0.9448195459682149,44.0,1.0,28.0,530569995,207707888,62928,0,0.0
1789709022.2,0.9741799819760539,45.0,0.0,28.0,530628750,207707888,58755,0,0.0
1789709024.9,0.9685868367974595,45.0,0.0,28.0,530749019,207746656,120269,38768,0.3223
1789709027.6,0.9374597679774558,44.0,1.0,28.0,530826643,207746656,77624,0,0.0
1789709030.2,0.9701675082609753,45.0,0.0,28.0,530886754,207746672,60111,16,0.0003
1789709032.9,0.9771052970374927,45.0,0.0,28.0,531052486,207896288,165732,149616,0.9028
1789709035.5,0.9358934012330667,43.0,0.0,28.0,531223066,208024288,170580,128000,0.7504
1789709038.2,0.9632225671248945,44.0,0.0,28.0,531283453,208024288,60387,0,0.0
1789709040.8,0.9427382093352596,43.0,1.0,28.0,531423738,208096880,140285,72592,0.5175
1789709043.5,0.973192956356302,44.0,0.0,28.0,531504996,208132624,81258,35744,0.4399
1789709046.1,0.9357074398844178,43.0,0.0,28.0,531658292,208223184,153296,90560,0.5908
1789709048.7,0.9428311900095842,43.0,2.0,28.0,531749540,208223200,91248,16,0.0002
1789709051.4,0.9654755603873718,45.0,0.0,28.0,531872434,208317568,122894,94368,0.7679
1789709054.0,0.9681719999427811,45.0,0.0,28.0,531958450,208357360,86016,39792,0.4626
1789709056.7,0.9653039037578497,45.0,0.0,28.0,532059471,208399440,101021,42080,0.4165
1789709059.3,0.9182914443474902,42.0,0.0,28.0,532153025,208479168,93554,79728,0.8522
1789709061.9,0.9611054686941222,44.0,0.0,28.0,532307547,208606160,154522,126992,0.8218
1789709064.6,0.9409000529274608,43.0,1.0,28.0,532370348,208606160,62801,0,0.0
1789709067.2,0.9675712017394539,44.0,0.0,28.0,532503074,208690368,132726,84208,0.6344
1789709069.9,0.9450770309124981,44.0,0.0,28.0,532607397,208690368,104323,0,0.0
1789709072.5,0.9471226057476362,43.0,1.0,28.0,532647234,208690368,39837,0,0.0
1789709075.1,0.9464931981060551,43.0,0.0,28.0,532670928,208690368,23694,0,0.0
1789709077.8,0.8354885776817772,41.0,4.0,28.0,532853789,208805296,182861,114928,0.6285
1789709080.5,0.8684394981904531,42.0,4.0,28.0,532916579,208805296,62790,0,0.0
1789709083.1,0.9446693464173831,45.0,0.0,28.0,533285310,209117840,368731,312544,0.8476
1789709085.8,0.9650035046561861,46.0,0.0,28.0,533373759,209161360,88449,43520,0.492
1789709088.4,0.898958616447566,42.0,0.0,28.0,533416786,209204240,43027,42880,0.9966
1789709091.1,0.8804268528187449,41.0,4.0,28.0,533510791,209204240,94005,0,0.0
1789709093.7,0.9441257670905632,44.0,2.0,28.0,533727367,209369792,216576,165552,0.7644
1789709096.3,0.9361651908964768,44.0,0.0,28.0,533801314,209397168,73947,27376,0.3702
1789709099.0,0.8870427854149083,42.0,3.0,28.0,534008365,209541072,207051,143904,0.695
1789709101.6,0.9332899423519819,44.0,2.0,28.0,534121046,209562560,112681,21488,0.1907
1789709104.2,0.9299783998741185,45.0,0.0,28.0,534209261,209642912,88215,80352,0.9109
1789709106.9,0.9235555809861673,44.0,0.0,28.0,534445262,209863616,236001,220704,0.9352
1789709109.6,0.9104381535468551,42.0,2.0,28.0,534600923,209918992,155661,55376,0.3557
1789709112.2,0.928762498748337,42.0,3.0,28.0,534600923,209918992,0,0,
1789709114.9,0.940699786859685,43.0,0.0,28.0,534729262,210016000,128339,97008,0.7559
1789709117.5,0.9319667558327492,44.0,0.0,28.0,534918615,210113392,189353,97392,0.5143
1789709120.2,0.9875262849213956,45.0,0.0,28.0,535071026,210226512,152411,113120,0.7422
1789709122.8,0.9997496674152803,45.0,0.0,28.0,535138204,210285536,67178,59024,0.8786
1789709125.5,0.9338764358361824,42.0,1.0,29.0,535181595,210285536,43391,0,0.0
1789709128.1,0.9468722731629164,43.0,1.0,29.0,535272447,210285536,90852,0,0.0
1789709130.7,0.9623213698199036,44.0,0.0,29.0,535381611,210285536,109164,0,0.0
1789709133.4,0.9344200151630022,43.0,0.0,29.0,535420937,210285552,39326,16,0.0004
1789709136.0,0.9747307136624372,45.0,0.0,29.0,535516826,210285552,95889,0,0.0
1789709138.6,0.9855021671649478,45.0,0.0,29.0,535551807,210311408,34981,25856,0.7391
1789709141.3,0.9539888709285194,45.0,0.0,29.0,535660910,210394080,109103,82672,0.7577
1789709144.0,0.9514211738452516,45.0,0.0,29.0,535722166,210394080,61256,0,0.0
1789709146.6,0.9489679145149985,44.0,0.0,29.0,535722166,210394080,0,0,
