ts,programs_running,programs_idle,programs_marked,programs_paused,holds_reasoning,holds_paused,holds_new,releases_reasoning,releases_paused,releases_new,pauses_total,resumes_total,rebinds_total,starvation_promotions_total,pod_utilization,fc_queue_size,fc_queue_wait_sum,fc_queue_wait_count
1789711900.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711902.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711904.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711906.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711908.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711910.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711912.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711914.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711916.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711918.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711920.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711922.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711924.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711926.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711928.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711930.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711932.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711934.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711936.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711938.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711940.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711942.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711944.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711946.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711948.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711950.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711952.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711954.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711956.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711958.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711960.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711962.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711964.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711966.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711969.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789711971.0,43.0,0.0,0.0,0.0,,,,,,43.0,0.0,0.0,0.0,0.0,0.1634002968207989,,0.012127864,86.0
1789711973.2,45.0,0.0,0.0,0.0,,,,4.0,,45.0,0.0,0.0,0.0,0.0,0.2535976111289919,,0.013688382,98.0
1789711975.5,46.0,0.0,0.0,0.0,,,,10.0,,46.0,0.0,0.0,0.0,0.0,0.354192593784644,,0.01566106,112.0
1789711977.8,46.0,0.0,0.0,0.0,,,,12.0,,46.0,0.0,0.0,0.0,0.0,0.3895643350141258,,0.01607584,116.0
1789711980.1,46.0,0.0,0.0,0.0,,,,14.0,,46.0,0.0,0.0,0.0,0.0,0.4181588170081894,,0.0164633,120.0
1789711982.5,46.0,0.0,0.0,0.0,,,,31.0,,46.0,0.0,0.0,0.0,0.0,0.7209812967135143,,0.02014642,154.0
1789711985.0,46.0,0.0,0.0,0.0,,,,35.0,,46.0,0.0,0.0,0.0,0.0,0.767707774559239,,0.02113446,162.0
1789711987.5,46.0,0.0,0.0,0.0,,,,37.0,,46.0,0.0,0.0,0.0,0.0,0.8074674569967457,,0.021582862,166.0
1789711990.1,46.0,0.0,0.0,0.0,,,,37.0,,46.0,0.0,0.0,0.0,0.0,0.80755686085184,,0.021582862,166.0
1789711992.7,46.0,0.0,0.0,0.0,,,,38.0,,46.0,0.0,0.0,0.0,0.0,0.8226884633265387,,0.021841362,168.0
1789711995.2,46.0,0.0,0.0,0.0,,,,38.0,,46.0,0.0,0.0,0.0,0.0,0.8227868075671423,,0.021841362,168.0
1789711997.8,46.0,0.0,0.0,0.0,,,,38.0,,46.0,0.0,0.0,0.0,0.0,0.8229119729642742,,0.021841362,168.0
1789712000.3,46.0,0.0,0.0,0.0,,,,38.0,,46.0,0.0,0.0,0.0,0.0,0.8230192575903873,,0.021841362,168.0
1789712002.9,46.0,0.0,0.0,0.0,,,,38.0,,46.0,0.0,0.0,0.0,0.0,0.8231801845295569,,0.021841362,168.0
1789712005.4,46.0,0.0,0.0,0.0,,,,38.0,,46.0,0.0,0.0,0.0,0.0,0.8233053499266888,,0.021841362,168.0
1789712008.0,46.0,0.0,0.0,0.0,,,,38.0,,46.0,0.0,0.0,0.0,0.0,0.8234305153238207,,0.021841362,168.0
1789712010.6,46.0,0.0,0.0,0.0,,,,38.0,,46.0,0.0,0.0,0.0,0.0,0.8235735614919716,,0.021841362,168.0
1789712013.1,46.0,0.0,0.0,0.0,,,,38.0,,46.0,0.0,0.0,0.0,0.0,0.8237702499731788,,0.021841362,168.0
1789712015.7,45.0,1.0,0.0,0.0,,,,38.0,,46.0,0.0,0.0,0.0,0.0,0.8242208454028538,,0.021841362,168.0
1789712018.2,45.0,1.0,0.0,0.0,,,,39.0,,46.0,0.0,0.0,0.0,0.0,0.8247161427600758,,0.022129182,170.0
