ts,programs_running,programs_idle,programs_marked,programs_paused,holds_reasoning,holds_paused,holds_new,releases_reasoning,releases_paused,releases_new,pauses_total,resumes_total,rebinds_total,starvation_promotions_total,pod_utilization,fc_queue_size,fc_queue_wait_sum,fc_queue_wait_count
1790037875.2,,,,,,,,,,,,,,,,,,
1790037877.2,,,,,,,,,,,,,,,,,,
1790037879.3,,,,,,,,,,,,,,,,,,
1790037881.3,,,,,,,,,,,,,,,,,,
1790037883.3,,,,,,,,,,,,,,,,,,
1790037885.3,,,,,,,,,,,,,,,,,,
1790037887.4,,,,,,,,,,,,,,,,,,
1790037889.4,,,,,,,,,,,,,,,,,,
1790037891.4,,,,,,,,,,,,,,,,,,
1790037893.4,,,,,,,,,,,,,,,,,,
1790037895.5,,,,,,,,,,,,,,,,,,
1790037897.5,,,,,,,,,,,,,,,,,,
1790037899.5,,,,,,,,,,,,,,,,,,
1790037901.5,,,,,,,,,,,,,,,,,,
1790037903.5,,,,,,,,,,,,,,,,,,
1790037905.6,,,,,,,,,,,,,,,,,,
1790037907.6,,,,,,,,,,,,,,,,,,
1790037909.6,,,,,,,,,,,,,,,,,,
1790037911.7,,,,,,,,,,,,,,,,,,
1790037913.7,,,,,,,,,,,,,,,,,,
1790037915.7,,,,,,,,,,,,,,,,,,
1790037917.7,,,,,,,,,,,,,,,,,,
1790037919.8,,,,,,,,,,,,,,,,,,
1790037921.8,,,,,,,,,,,,,,,,,,
1790037923.8,,,,,,,,,,,,,,,,,,
1790037925.9,,,,,,,,,,,,,,,,,,
1790037927.9,,,,,,,,,,,,,,,,,,
1790037929.9,,,,,,,,,,,,,,,,,,
1790037931.9,,,,,,,,,,,,,,,,,,
1790037934.0,,,,,,,,,,,,,,,,,,
1790037936.0,,,,,,,,,,,,,,,,,,
1790037938.0,,,,,,,,,,,,,,,,,,
1790037940.0,,,,,,,,,,,,,,,,,,
1790037942.1,,,,,,,,,,,,,,,,,,
1790037944.1,,,,,,,,,,,,,,,,,,
1790037946.1,,,,,,,,,,,,,,,,18.0,0.00212808,22.0
1790037948.2,,,,,,,,,,,,,,,,26.0,0.00212808,22.0
1790037950.5,,,,,,,,,,,,,,,,28.0,0.00212808,22.0
1790037952.7,,,,,,,,,,,,,,,,2.0,126.710401835,53.0
1790037954.9,,,,,,,,,,,,,,,,7.0,126.710401835,53.0
1790037957.2,,,,,,,,,,,,,,,,8.0,126.710401835,53.0
1790037959.5,,,,,,,,,,,,,,,,11.0,126.710401835,53.0
1790037961.8,,,,,,,,,,,,,,,,11.0,126.710401835,53.0
1790037964.2,,,,,,,,,,,,,,,,,221.771314316,70.0
1790037966.5,,,,,,,,,,,,,,,,5.0,221.771314316,70.0
1790037969.0,,,,,,,,,,,,,,,,10.0,221.771314316,70.0
1790037971.4,,,,,,,,,,,,,,,,10.0,221.771314316,70.0
1790037973.9,,,,,,,,,,,,,,,,10.0,221.771314316,70.0
1790037976.3,,,,,,,,,,,,,,,,10.0,221.771314316,70.0
1790037978.8,,,,,,,,,,,,,,,,11.0,221.771314316,70.0
1790037981.2,,,,,,,,,,,,,,,,,349.911274594,81.0
1790037983.7,,,,,,,,,,,,,,,,1.0,349.911274594,81.0
1790037986.2,,,,,,,,,,,,,,,,1.0,349.911274594,81.0
1790037988.6,,,,,,,,,,,,,,,,1.0,349.911274594,81.0
1790037991.1,,,,,,,,,,,,,,,,1.0,349.911274594,81.0
1790037993.6,,,,,,,,,,,,,,,,1.0,349.911274594,81.0
1790037996.0,,,,,,,,,,,,,,,,1.0,349.911274594,81.0
1790037998.5,,,,,,,,,,,,,,,,1.0,349.911274594,81.0
1790038001.0,,,,,,,,,,,,,,,,,367.168039188,83.0
1790038003.5,,,,,,,,,,,,,,,,1.0,367.168039188,83.0
1790038006.0,,,,,,,,,,,,,,,,2.0,367.168039188,83.0
1790038008.4,,,,,,,,,,,,,,,,,377.066935066,86.0
1790038010.9,,,,,,,,,,,,,,,,1.0,377.067184586,88.0
1790038013.4,,,,,,,,,,,,,,,,3.0,377.067184586,88.0
1790038015.9,,,,,,,,,,,,,,,,2.0,382.981803978,94.0
1790038018.4,,,,,,,,,,,,,,,,,386.820007204,96.0
1790038020.9,,,,,,,,,,,,,,,,,386.968068632,101.0
1790038023.5,,,,,,,,,,,,,,,,1.0,386.968642532,107.0
1790038026.0,,,,,,,,,,,,,,,,2.0,389.031575569,112.0
1790038028.5,,,,,,,,,,,,,,,,1.0,393.424660775,116.0
1790038031.0,,,,,,,,,,,,,,,,,397.895725353,122.0
1790038033.5,,,,,,,,,,,,,,,,2.0,398.402075735,125.0
1790038036.1,,,,,,,,,,,,,,,,,409.368819023,131.0
1790038038.6,,,,,,,,,,,,,,,,,409.369028763,133.0
1790038041.1,,,,,,,,,,,,,,,,,414.476509225,140.0
1790038043.6,,,,,,,,,,,,,,,,3.0,414.476509225,140.0
1790038046.2,,,,,,,,,,,,,,,,,426.874818942,148.0
1790038048.7,,,,,,,,,,,,,,,,4.0,426.874818942,148.0
1790038051.3,,,,,,,,,,,,,,,,4.0,426.874818942,148.0
1790038053.8,,,,,,,,,,,,,,,,8.0,426.874818942,148.0
1790038056.4,,,,,,,,,,,,,,,,5.0,456.966481882,159.0
1790038058.9,,,,,,,,,,,,,,,,,472.994953742,165.0
1790038061.5,,,,,,,,,,,,,,,,1.0,472.994953742,165.0
1790038064.0,,,,,,,,,,,,,,,,2.0,472.994953742,165.0
1790038066.6,,,,,,,,,,,,,,,,4.0,472.994953742,165.0
1790038069.1,,,,,,,,,,,,,,,,,497.206571626,170.0
1790038071.7,,,,,,,,,,,,,,,,2.0,497.206571626,170.0
1790038074.3,,,,,,,,,,,,,,,,5.0,497.206571626,170.0
1790038076.8,,,,,,,,,,,,,,,,7.0,497.206571626,170.0
1790038079.4,,,,,,,,,,,,,,,,8.0,497.206571626,170.0
1790038082.0,,,,,,,,,,,,,,,,,551.558921363,181.0
1790038084.5,,,,,,,,,,,,,,,,,551.558921363,181.0
1790038087.1,,,,,,,,,,,,,,,,1.0,551.558921363,181.0
1790038089.6,,,,,,,,,,,,,,,,2.0,551.558921363,181.0
1790038092.2,,,,,,,,,,,,,,,,4.0,551.558921363,181.0
1790038094.8,,,,,,,,,,,,,,,,5.0,551.558921363,181.0
1790038097.4,,,,,,,,,,,,,,,,2.0,592.391511708,190.0
1790038100.0,,,,,,,,,,,,,,,,3.0,592.391511708,190.0
1790038102.6,,,,,,,,,,,,,,,,4.0,592.391511708,190.0
1790038105.2,,,,,,,,,,,,,,,,7.0,592.391511708,190.0
1790038107.8,,,,,,,,,,,,,,,,3.0,628.960265464,201.0
