ts,programs_running,programs_idle,programs_marked,programs_paused,holds_reasoning,holds_paused,holds_new,releases_reasoning,releases_paused,releases_new,pauses_total,resumes_total,rebinds_total,starvation_promotions_total,pod_utilization,fc_queue_size,fc_queue_wait_sum,fc_queue_wait_count
1789718623.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718625.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718627.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718629.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718631.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718633.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718635.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718637.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718639.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718641.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718643.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718646.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718648.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718650.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718652.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718654.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718656.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718658.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718660.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718662.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718664.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718666.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718668.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718670.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718672.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718674.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718676.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718678.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718680.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718682.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718684.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718686.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718688.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789718691.0,39.0,2.0,0.0,0.0,,,,1.0,,41.0,0.0,0.0,0.0,0.0,0.02308094625040232,,0.010651568,84.0
1789718693.3,91.0,0.0,0.0,0.0,,,,15.0,,91.0,0.0,0.0,0.0,0.0,0.09571934341808819,,0.026404984,212.0
1789718696.0,164.0,1.0,0.0,0.0,,,,41.0,,165.0,0.0,0.0,0.0,0.0,0.2763227300361192,,0.056245748,412.0
1789718699.3,261.0,1.0,0.0,0.0,,,,72.0,,263.0,0.0,0.0,0.0,0.0,0.47041179415656403,,0.1051345,670.0
1789718703.3,308.0,1.0,0.0,0.0,,,,99.0,,310.0,0.0,0.0,0.0,0.0,0.6566333190287165,,0.1380546,818.0
1789718707.9,336.0,2.0,0.0,0.0,,,,119.0,,339.0,0.0,0.0,0.0,0.0,0.8460358330651218,,0.167919422,916.0
1789718712.6,271.0,0.0,66.0,1.0,,,,133.0,4.0,339.0,5.0,4.0,4.0,0.0,0.8628106783964524,,0.175482888,952.0
1789718717.4,273.0,0.0,63.0,2.0,,,,145.0,6.0,339.0,8.0,6.0,6.0,0.0,0.9646662554089332,,0.182428499,979.0
1789718722.5,50.0,0.0,279.0,9.0,,,,161.0,9.0,339.0,18.0,9.0,9.0,0.0,1.180293155240854,12.0,0.19223632,1018.0
1789718727.7,54.0,0.0,228.0,56.0,,,,161.0,13.0,339.0,69.0,13.0,13.0,0.0,1.1685803561849586,110.0,0.193904684,1026.0
1789718733.4,0.0,0.0,266.0,72.0,,,,161.0,13.0,339.0,85.0,13.0,13.0,0.0,1.1662165182562672,142.0,0.193904684,1026.0
1789718739.4,3.0,0.0,254.0,81.0,,1.0,,161.0,16.0,339.0,97.0,16.0,16.0,0.0,1.1318398419339841,159.0,24.464384629999998,1032.0
1789718745.2,10.0,0.0,221.0,107.0,,6.0,,161.0,23.0,339.0,130.0,23.0,19.0,0.0,1.1152420162357402,208.0,146.9019034,1046.0
1789718751.5,11.0,0.0,214.0,113.0,,7.0,,162.0,24.0,339.0,137.0,24.0,20.0,0.0,1.1157069162822302,226.0,193.09269294999999,1050.0
1789718757.8,12.0,0.0,211.0,115.0,,8.0,,162.0,25.0,339.0,140.0,25.0,21.0,0.0,1.0915848621392554,230.0,224.410197074,1052.0
1789718763.9,12.0,0.0,205.0,121.0,,8.0,,162.0,25.0,339.0,146.0,25.0,21.0,0.0,1.039826288309552,242.0,224.410197074,1052.0
1789718770.3,17.0,0.0,196.0,125.0,,13.0,,162.0,30.0,339.0,155.0,30.0,24.0,0.0,0.9909930086185317,249.0,512.446895494,1062.0
1789718776.6,38.0,0.0,174.0,126.0,,33.0,,163.0,51.0,339.0,177.0,51.0,41.0,0.0,0.9927672281228767,236.0,1913.6725453899999,1106.0
1789718782.9,44.0,0.0,169.0,125.0,,50.0,,164.0,73.0,339.0,198.0,73.0,56.0,0.0,0.9888920180238172,238.0,3167.751008248,1152.0
1789718789.3,64.0,0.0,151.0,123.0,,62.0,,165.0,93.0,339.0,216.0,93.0,70.0,0.0,0.989033276114866,242.0,3673.894620722,1194.0
1789718795.7,62.0,1.0,155.0,120.0,,74.0,,167.0,113.0,339.0,233.0,113.0,84.0,0.0,0.9852443407359726,236.0,4792.95182478,1238.0
1789718802.2,75.0,0.0,143.0,120.0,,82.0,,170.0,128.0,339.0,248.0,128.0,93.0,0.0,0.9897748810928727,236.0,5226.689104278,1274.0
1789718808.8,92.0,0.0,127.0,119.0,,87.0,,178.0,145.0,339.0,264.0,145.0,104.0,0.0,0.994133766047992,238.0,5807.039343716,1324.0
1789718815.3,109.0,2.0,109.0,118.0,,96.0,,186.0,165.0,339.0,283.0,165.0,114.0,0.0,0.985602403175625,230.0,6680.383346474,1380.0
1789718821.8,88.0,0.0,130.0,120.0,,100.0,,192.0,180.0,339.0,300.0,180.0,119.0,0.0,0.9958060651575296,240.0,6706.964113428,1422.0
1789718828.4,104.0,0.0,114.0,120.0,,108.0,,197.0,199.0,339.0,319.0,199.0,131.0,0.0,0.9999588742266566,238.0,7245.4215582219995,1470.0
1789718835.0,119.0,2.0,97.0,120.0,,113.0,,201.0,216.0,339.0,336.0,216.0,143.0,0.0,1.0053164002431785,236.0,7730.074350236,1512.0
1789718841.6,60.0,0.0,156.0,122.0,1.0,122.0,,209.0,232.0,339.0,354.0,232.0,155.0,0.0,0.9978060293959875,238.0,9315.932516638,1560.0
1789718848.2,76.0,2.0,138.0,122.0,1.0,129.0,,216.0,249.0,339.0,373.0,249.0,166.0,0.0,0.9844307656546151,240.0,9368.969996046,1608.0
1789718854.8,57.0,1.0,159.0,121.0,1.0,137.0,,224.0,272.0,339.0,393.0,272.0,183.0,0.0,0.9970979508636413,236.0,10226.972586772,1670.0
1789718861.4,69.0,0.0,146.0,123.0,1.0,141.0,,232.0,284.0,339.0,408.0,284.0,190.0,0.0,0.9866895540535708,240.0,10439.852946318,1710.0
1789718868.1,82.0,2.0,128.0,126.0,2.0,149.0,,243.0,301.0,339.0,427.0,301.0,201.0,0.0,0.9915508886743196,240.0,11181.374929684,1766.0
1789718874.7,63.0,2.0,148.0,125.0,2.0,151.0,,249.0,318.0,339.0,443.0,318.0,210.0,0.0,0.9975074205199729,244.0,11202.824243204,1812.0
1789718881.3,76.0,1.0,134.0,127.0,2.0,156.0,,259.0,337.0,339.0,464.0,337.0,223.0,0.0,0.9971614276007581,246.0,11915.337585804,1870.0
1789718887.9,61.0,0.0,148.0,129.0,2.0,165.0,,264.0,358.0,339.0,487.0,358.0,236.0,0.0,0.9998703644101133,240.0,11977.648289846,1922.0
1789718894.6,74.0,3.0,133.0,128.0,2.0,168.0,,267.0,375.0,339.0,503.0,375.0,248.0,0.0,1.0029092014447663,250.0,12209.461813488,1962.0
1789718901.2,89.0,1.0,118.0,130.0,2.0,171.0,,277.0,391.0,339.0,521.0,391.0,261.0,0.0,0.9952222579837643,252.0,12773.27389878,2014.0
1789718908.1,73.0,3.0,133.0,129.0,2.0,178.0,,283.0,416.0,339.0,545.0,416.0,279.0,0.0,0.9970492257626149,248.0,12834.275923768,2076.0
1789718914.7,66.0,2.0,139.0,131.0,2.0,182.0,,293.0,431.0,339.0,562.0,431.0,289.0,0.0,1.0054160855416086,256.0,13555.741342016,2126.0
1789718921.3,61.0,0.0,144.0,133.0,2.0,189.0,,297.0,451.0,339.0,584.0,451.0,304.0,0.0,0.9898584736973858,258.0,13690.53691945,2174.0
1789718927.9,53.0,1.0,151.0,133.0,2.0,195.0,,304.0,466.0,339.0,599.0,466.0,317.0,0.0,1.0144418517326468,258.0,14378.05524782,2218.0
