ts,kv_cache_usage_perc,num_requests_running,num_requests_waiting,num_preemptions_total,cum_prefix_cache_queries,cum_prefix_cache_hits,interval_queries,interval_hits,interval_hit_rate
1789718623.5,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718625.5,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718627.6,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718629.6,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718631.7,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718633.7,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718635.8,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718637.8,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718639.9,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718641.9,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718643.9,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718646.0,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718648.0,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718650.1,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718652.1,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718654.2,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718656.2,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718658.3,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718660.3,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718662.3,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718664.4,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718666.4,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718668.5,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718670.5,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718672.6,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718674.6,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718676.7,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718678.7,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718680.8,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718682.8,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718684.8,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718686.9,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718688.9,0.0,0.0,0.0,57.0,752396420,269269744,0,0,
1789718691.0,0.01889653396655555,4.0,0.0,57.0,752448022,269269744,51602,0,0.0
1789718693.3,0.05700430572045723,12.0,1.0,57.0,752583365,269269744,135343,0,0.0
1789718696.0,0.10361623299526512,10.0,24.0,57.0,752686166,269269744,102801,0,0.0
1789718699.3,0.15797416567725697,16.0,61.0,57.0,752765409,269269744,79243,0,0.0
1789718703.3,0.21528602285894116,21.0,89.0,57.0,752885857,269270128,120448,384,0.0032
1789718707.9,0.2717038350951979,13.0,96.0,57.0,753056796,269270128,170939,0,0.0
1789718712.6,0.3475832177035204,22.0,89.0,57.0,753202123,269270128,145327,0,0.0
1789718717.4,0.42952064886205954,34.0,77.0,57.0,753375770,269270128,173647,0,0.0
1789718722.5,0.5093409815898264,58.0,49.0,57.0,753587585,269270128,211815,0,0.0
