ts,kv_cache_usage_perc,num_requests_running,num_requests_waiting,num_preemptions_total,cum_prefix_cache_queries,cum_prefix_cache_hits,interval_queries,interval_hits,interval_hit_rate
1789718623.5,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718625.5,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718627.6,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718629.6,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718631.7,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718633.7,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718635.8,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718637.8,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718639.9,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718641.9,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718643.9,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718646.0,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718648.0,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718650.1,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718652.1,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718654.2,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718656.2,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718658.3,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718660.3,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718662.3,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718664.4,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718666.4,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718668.5,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718670.5,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718672.6,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718674.6,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718676.7,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718678.7,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718680.8,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718682.8,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718684.8,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718686.9,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718688.9,0.0,0.0,0.0,129.0,2119959435,803016080,0,0,
1789718691.0,0.0143,23.0,0.0,129.0,2120126765,803016080,167330,0,0.0
1789718693.3,0.0585,56.0,24.0,129.0,2120574279,803016080,447514,0,0.0
1789718696.0,0.1042,65.0,83.0,129.0,2121011771,803016080,437492,0,0.0
1789718699.3,0.1583,69.0,175.0,129.0,2121505144,803016080,493373,0,0.0
1789718703.3,0.2192,66.0,240.0,129.0,2122166770,803016464,661626,384,0.0006
1789718707.9,0.28,80.0,256.0,129.0,2122753206,803016464,586436,0,0.0
1789718712.6,0.3338,82.0,253.0,129.0,2123144005,803016464,390799,0,0.0
1789718717.4,0.3961,103.0,234.0,129.0,2123678353,803016464,534348,0,0.0
1789718722.5,0.4728,140.0,193.0,129.0,2124350233,803016480,671880,16,0.0
1789718727.7,0.553,122.0,164.0,129.0,2125128363,803016944,778130,464,0.0006
1789718733.4,0.6305,129.0,141.0,129.0,2125867188,803016976,738825,32,0.0
1789718739.4,0.7007,171.0,90.0,129.0,2126713447,803017424,846259,448,0.0005
1789718745.2,0.7413,152.0,83.0,129.0,2127367546,803017440,654099,16,0.0
1789718751.5,0.8166,160.0,69.0,129.0,2128111517,803017472,743971,32,0.0
1789718757.8,0.884,170.0,56.0,129.0,2128827919,803017504,716402,32,0.0
1789718763.9,0.9424,180.0,41.0,129.0,2129576417,803017536,748498,32,0.0
1789718770.3,0.9816,186.0,31.0,129.0,2130261879,803017568,685462,32,0.0
1789718776.6,0.9755,192.0,23.0,129.0,2131012327,803017632,750448,64,0.0001
1789718782.9,0.9675,195.0,19.0,129.0,2131804831,803017680,792504,48,0.0001
1789718789.3,0.9741,201.0,15.0,129.0,2132686962,803017744,882131,64,0.0001
1789718795.7,0.9735,209.0,12.0,129.0,2133561832,803017792,874870,48,0.0001
1789718802.2,0.9806,213.0,8.0,129.0,2134305129,803017840,743297,48,0.0001
1789718808.8,0.9732,213.0,8.0,129.0,2135126355,803017920,821226,80,0.0001
1789718815.3,0.9684,211.0,8.0,129.0,2136042597,803061392,916242,43472,0.0474
1789718821.8,0.9779,212.0,8.0,129.0,2136856451,803094688,813854,33296,0.0409
1789718828.4,0.9729,213.0,8.0,129.0,2137756116,803164400,899665,69712,0.0775
1789718835.0,0.9679,212.0,4.0,129.0,2138561570,803253312,805454,88912,0.1104
1789718841.6,0.9652,213.0,7.0,129.0,2139507258,803402448,945688,149136,0.1577
1789718848.2,0.966,212.0,4.0,129.0,2140426901,803643696,919643,241248,0.2623
1789718854.8,0.9512,215.0,2.0,130.0,2141464569,803891440,1037668,247744,0.2388
1789718861.4,0.9823,218.0,1.0,130.0,2142442966,804198208,978397,306768,0.3135
1789718868.1,0.9585,213.0,2.0,130.0,2143382668,804378976,939702,180768,0.1924
1789718874.7,0.9681,213.0,3.0,132.0,2144262517,804679536,879849,300560,0.3416
1789718881.3,0.9573,211.0,5.0,132.0,2145302599,804970160,1040082,290624,0.2794
1789718887.9,0.9502,211.0,4.0,132.0,2146290124,805236736,987525,266576,0.2699
1789718894.6,0.9609,212.0,1.0,132.0,2147191383,805400784,901259,164048,0.182
1789718901.2,0.9721,211.0,2.0,132.0,2148253045,805795952,1061662,395168,0.3722
1789718908.1,0.9247,203.0,7.0,132.0,2149127461,805973200,874416,177248,0.2027
1789718914.7,0.9271,204.0,6.0,132.0,2150177358,806261056,1049897,287856,0.2742
1789718921.3,0.941,207.0,4.0,132.0,2151123404,806448000,946046,186944,0.1976
1789718927.9,0.9493,208.0,3.0,132.0,2152091004,806629184,967600,181184,0.1873
1789718934.4,0.9521,206.0,2.0,132.0,2152965290,806842816,874286,213632,0.2444
1789718941.3,0.954,205.0,3.0,132.0,2154031521,807113600,1066231,270784,0.254
1789718948.0,0.9381,202.0,0.0,132.0,2154969705,807332816,938184,219216,0.2337
1789718954.6,0.9538,203.0,2.0,132.0,2155926430,807597760,956725,264944,0.2769
1789718961.2,0.9876,209.0,0.0,132.0,2156933037,807858592,1006607,260832,0.2591
1789718967.8,0.9606,205.0,1.0,132.0,2157965143,808093408,1032106,234816,0.2275
1789718974.4,0.9411,200.0,2.0,132.0,2158882830,808346992,917687,253584,0.2763
1789718981.1,0.9709,203.0,1.0,132.0,2159819786,808665600,936956,318608,0.34
1789718987.7,0.9507,201.0,4.0,132.0,2160796809,808911952,977023,246352,0.2521
1789718994.3,0.945,201.0,1.0,132.0,2161689455,809157088,892646,245136,0.2746
1789719000.9,0.9617,202.0,2.0,132.0,2162543399,809331408,853944,174320,0.2041
1789719007.5,0.9516,200.0,4.0,132.0,2163429674,809493296,886275,161888,0.1827
1789719014.1,0.9616,202.0,2.0,132.0,2164340159,809681632,910485,188336,0.2069
1789719020.7,0.9626,201.0,1.0,132.0,2165104865,809971008,764706,289376,0.3784
1789719027.3,0.9414,198.0,3.0,132.0,2165895177,809991168,790312,20160,0.0255
1789719034.0,0.945,197.0,3.0,132.0,2166700775,810259344,805598,268176,0.3329
1789719040.7,0.9631,200.0,1.0,132.0,2167606522,810412160,905747,152816,0.1687
1789719047.4,0.9606,197.0,4.0,132.0,2168409551,810446336,803029,34176,0.0426
1789719054.1,0.9706,201.0,0.0,132.0,2169445653,810827776,1036102,381440,0.3681
1789719060.7,0.9494,193.0,3.0,132.0,2170607057,811273104,1161404,445328,0.3834
1789719067.6,0.9783,197.0,0.0,132.0,2171581237,811682624,974180,409520,0.4204
1789719074.3,0.967,196.0,1.0,132.0,2172416141,811930192,834904,247568,0.2965
1789719080.9,0.9646,193.0,0.0,132.0,2173158328,812089792,742187,159600,0.215
1789719087.5,0.9783,194.0,1.0,132.0,2173947171,812120960,788843,31168,0.0395
1789719094.2,0.9658,193.0,3.0,132.0,2174676291,812164128,729120,43168,0.0592
1789719100.9,0.9708,193.0,1.0,132.0,2175674365,812501760,998074,337632,0.3383
1789719107.8,0.9501,191.0,2.0,132.0,2176642566,812739136,968201,237376,0.2452
1789719114.4,0.969,193.0,0.0,132.0,2177536230,813066976,893664,327840,0.3668
1789719121.0,0.9726,192.0,1.0,132.0,2178471362,813463488,935132,396512,0.424
1789719127.7,0.9744,190.0,3.0,132.0,2179302049,813678432,830687,214944,0.2588
1789719134.4,0.9661,188.0,1.0,132.0,2180090837,813836832,788788,158400,0.2008
1789719141.0,0.9698,189.0,2.0,132.0,2180950233,813990752,859396,153920,0.1791
1789719147.6,0.9563,187.0,1.0,132.0,2181686884,814146352,736651,155600,0.2112
1789719154.2,0.9568,188.0,2.0,132.0,2182644197,814374832,957313,228480,0.2387
1789719160.9,0.963,189.0,0.0,132.0,2183460704,814578560,816507,203728,0.2495
1789719167.7,0.9744,188.0,0.0,132.0,2184412413,814985168,951709,406608,0.4272
1789719174.3,0.9518,184.0,0.0,132.0,2185195816,815103408,783403,118240,0.1509
1789719181.0,0.9821,188.0,1.0,132.0,2185994650,815260096,798834,156688,0.1961
1789719187.6,0.9711,185.0,1.0,132.0,2186992436,815604976,997786,344880,0.3456
1789719194.2,0.9533,183.0,1.0,132.0,2187760432,815795616,767996,190640,0.2482
1789719200.9,0.9681,184.0,2.0,132.0,2188495170,815881536,734738,85920,0.1169
1789719207.5,0.9573,182.0,3.0,132.0,2189450276,816232192,955106,350656,0.3671
1789719214.1,0.9365,179.0,2.0,132.0,2190329940,816479408,879664,247216,0.281
1789719220.7,0.9494,182.0,0.0,132.0,2191255527,816745792,925587,266384,0.2878
1789719227.3,0.96,183.0,1.0,132.0,2192166425,816988208,910898,242416,0.2661
1789719234.0,0.9512,181.0,1.0,132.0,2192930839,816988224,764414,16,0.0
1789719240.5,0.9353,178.0,0.0,132.0,2193807439,817232128,876600,243904,0.2782
1789719247.1,0.9468,178.0,0.0,132.0,2194692238,817527488,884799,295360,0.3338
1789719253.7,0.9641,179.0,0.0,132.0,2195630315,817829424,938077,301936,0.3219
1789719260.3,0.9459,175.0,3.0,132.0,2196440013,818122336,809698,292912,0.3618
1789719267.0,0.9363,177.0,2.0,132.0,2197291807,818335104,851794,212768,0.2498
1789719273.5,0.9331,177.0,3.0,132.0,2198199090,818584768,907283,249664,0.2752
1789719280.1,0.9326,175.0,3.0,132.0,2199150258,818861536,951168,276768,0.291
1789719286.9,0.9221,174.0,3.0,132.0,2200038041,818967952,887783,106416,0.1199
1789719293.5,0.899,170.0,3.0,132.0,2200608291,818967952,570250,0,0.0
1789719299.9,0.8917,168.0,3.0,132.0,2201318618,818968000,710327,48,0.0001
1789719306.3,0.9134,171.0,0.0,132.0,2201968996,818968048,650378,48,0.0001
1789719312.7,0.8995,166.0,2.0,132.0,2202541891,818968048,572895,0,0.0
1789719319.1,0.8805,161.0,3.0,132.0,2203089421,818968064,547530,16,0.0
1789719325.5,0.9063,163.0,1.0,132.0,2203764458,818968080,675037,16,0.0
1789719331.8,0.9019,161.0,2.0,132.0,2204302899,818968128,538441,48,0.0001
1789719338.2,0.8705,155.0,2.0,132.0,2204873028,818968176,570129,48,0.0001
1789719344.5,0.9192,160.0,1.0,132.0,2205582957,818968176,709929,0,0.0
1789719351.0,0.9275,159.0,0.0,132.0,2206109915,818968192,526958,16,0.0
1789719357.4,0.9201,156.0,0.0,132.0,2206622558,818968224,512643,32,0.0001
1789719363.9,0.93,156.0,0.0,132.0,2207252588,818968224,630030,0,0.0
1789719370.4,0.9109,150.0,1.0,132.0,2207845924,818968240,593336,16,0.0
1789719376.7,0.9323,149.0,0.0,132.0,2208317245,818968256,471321,16,0.0
1789719383.1,0.9179,145.0,1.0,132.0,2208826992,818968256,509747,0,0.0
1789719389.6,0.9032,141.0,1.0,132.0,2209364191,818968272,537199,16,0.0
1789719395.9,0.8938,137.0,1.0,132.0,2209744962,818968288,380771,16,0.0
1789719402.5,0.9103,137.0,0.0,132.0,2210059753,818968288,314791,0,0.0
1789719409.0,0.8774,131.0,0.0,132.0,2210416626,818968304,356873,16,0.0
1789719415.3,0.0,0.0,0.0,132.0,2210556551,818968304,139925,0,0.0
1789719421.5,0.0,0.0,0.0,132.0,2210556551,818968304,0,0,
1789719427.7,0.0,0.0,0.0,132.0,2210556551,818968304,0,0,
1789719433.9,0.0,0.0,0.0,132.0,2210556551,818968304,0,0,
1789719440.0,0.0,0.0,0.0,132.0,2210556551,818968304,0,0,
1789719446.2,0.0,0.0,0.0,132.0,2210556551,818968304,0,0,
1789719452.3,0.0,0.0,0.0,132.0,2210556551,818968304,0,0,
1789719458.5,0.0,0.0,0.0,132.0,2210556551,818968304,0,0,
1789719464.7,0.0,0.0,0.0,132.0,2210556551,818968304,0,0,
1789719470.8,0.0,0.0,0.0,132.0,2210556551,818968304,0,0,
1789719477.0,0.0,0.0,0.0,132.0,2210556551,818968304,0,0,
1789719483.2,0.0,0.0,0.0,132.0,2210556551,818968304,0,0,
1789719489.3,0.0,0.0,0.0,132.0,2210556551,818968304,0,0,
1789719495.4,0.0,0.0,0.0,132.0,2210556551,818968304,0,0,
1789719501.0,0.0,0.0,0.0,132.0,2210556551,818968304,0,0,
1789719506.6,0.0,0.0,0.0,132.0,2210556551,818968304,0,0,
1789719510.2,0.0,0.0,0.0,132.0,2210556551,818968304,0,0,
