1789723189,program-aware-scheduling-epp-fb88cb4d-dcz5l,601m,43Mi
1789723189,program-aware-vllm-decode-9c9b54cb6-f9qsh,167m,23408Mi
1789723189,program-aware-vllm-decode-9c9b54cb6-gkzmr,143m,23512Mi
1789723189,program-aware-vllm-decode-9c9b54cb6-kccxc,86m,23804Mi
1789723189,program-aware-vllm-decode-9c9b54cb6-mngw2,160m,23733Mi
1789723189,weka-bench-epp-affinity-r1-pg97j,917m,65Mi
1789723221,program-aware-scheduling-epp-fb88cb4d-dcz5l,462m,42Mi
1789723221,program-aware-vllm-decode-9c9b54cb6-f9qsh,187m,23409Mi
1789723221,program-aware-vllm-decode-9c9b54cb6-gkzmr,201m,23512Mi
1789723221,program-aware-vllm-decode-9c9b54cb6-kccxc,111m,23803Mi
1789723221,program-aware-vllm-decode-9c9b54cb6-mngw2,190m,23675Mi
1789723221,weka-bench-epp-affinity-r1-pg97j,1145m,1030Mi
1789723253,program-aware-scheduling-epp-fb88cb4d-dcz5l,461m,42Mi
1789723253,program-aware-vllm-decode-9c9b54cb6-f9qsh,191m,23408Mi
1789723253,program-aware-vllm-decode-9c9b54cb6-gkzmr,193m,23512Mi
1789723253,program-aware-vllm-decode-9c9b54cb6-kccxc,111m,23803Mi
1789723253,program-aware-vllm-decode-9c9b54cb6-mngw2,218m,23675Mi
1789723253,weka-bench-epp-affinity-r1-pg97j,6939m,5424Mi
1789723285,program-aware-scheduling-epp-fb88cb4d-dcz5l,566m,141Mi
1789723285,program-aware-vllm-decode-9c9b54cb6-f9qsh,543m,23185Mi
1789723285,program-aware-vllm-decode-9c9b54cb6-gkzmr,706m,23324Mi
1789723285,program-aware-vllm-decode-9c9b54cb6-kccxc,1799m,23612Mi
1789723285,program-aware-vllm-decode-9c9b54cb6-mngw2,1573m,23393Mi
1789723285,weka-bench-epp-affinity-r1-pg97j,12070m,7764Mi
1789723316,program-aware-scheduling-epp-fb88cb4d-dcz5l,702m,674Mi
