ts,kv_cache_usage_perc,num_requests_running,num_requests_waiting,num_preemptions_total,cum_prefix_cache_queries,cum_prefix_cache_hits,interval_queries,interval_hits,interval_hit_rate
1789743560.2,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743562.3,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743564.3,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743566.4,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743568.4,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743570.5,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743572.5,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743574.6,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743576.6,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743578.7,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743580.7,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743582.8,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743584.8,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743586.9,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743588.9,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743591.0,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743593.0,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743595.1,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743597.1,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743599.2,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743601.2,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743603.3,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743605.3,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743607.4,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743609.4,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743611.5,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743613.5,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743615.5,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743617.6,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743619.6,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743621.7,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743623.7,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743625.8,0.0,0.0,0.0,37.0,495212045,60392816,0,0,
1789743627.9,0.018496001831004083,2.0,5.0,37.0,495263317,60392816,51272,0,0.0
1789743629.9,0.05861358662222671,7.0,14.0,37.0,495358980,60392816,95663,0,0.0
1789743632.0,0.0905131102750798,12.0,25.0,37.0,495435051,60392816,76071,0,0.0
1789743634.1,0.13021585821162407,13.0,37.0,37.0,495507925,60392816,72874,0,0.0
1789743636.2,0.15876092522923313,11.0,50.0,37.0,495586009,60392816,78084,0,0.0
1789743638.2,0.187863876292789,13.0,57.0,37.0,495642851,60392816,56842,0,0.0
1789743640.3,0.22371150242464988,21.0,55.0,37.0,495735077,60392816,92226,0,0.0
1789743642.4,0.25909422518488845,31.0,48.0,37.0,495856316,60393200,121239,384,0.0032
1789743644.5,0.2913013002989686,30.0,53.0,37.0,495909965,60393200,53649,0,0.0
1789743646.6,0.3220922082194916,24.0,58.0,37.0,495972586,60393200,62621,0,0.0
1789743648.6,0.35324788647774896,26.0,57.0,37.0,496149815,60393200,177229,0,0.0
1789743650.7,0.37035633055344963,24.0,60.0,37.0,496149815,60393200,0,0,
1789743652.8,0.3839672708026378,23.0,61.0,37.0,496149815,60393200,0,0,
1789743654.8,0.39002531935285456,21.0,61.0,37.0,496149815,60393200,0,0,
1789743656.9,0.40081107757449186,20.0,62.0,37.0,496149815,60393200,0,0,
1789743659.0,0.41138941736879,19.0,65.0,37.0,496201428,60393200,51613,0,0.0
1789743661.1,0.4443832520348463,20.0,64.0,37.0,496238508,60393200,37080,0,0.0
1789743663.1,0.4734575936601485,25.0,58.0,37.0,496331440,60393200,92932,0,0.0
1789743665.2,0.5101420458609296,34.0,50.0,37.0,496447519,60393200,116079,0,0.0
1789743667.3,0.5355901411875779,33.0,51.0,37.0,496447519,60393200,0,0,
1789743669.4,0.5592215371851174,29.0,53.0,37.0,496502777,60393200,55258,0,0.0
1789743671.4,0.591299869827056,32.0,52.0,37.0,496571458,60393200,68681,0,0.0
1789743673.5,0.6240934384253365,33.0,51.0,37.0,496667864,60393200,96406,0,0.0
1789743675.6,0.652202211509577,29.0,54.0,37.0,496712661,60393200,44797,0,0.0
1789743677.7,0.6851531320182529,33.0,50.0,37.0,496800080,60393200,87419,0,0.0
1789743679.7,0.6914758178723162,34.0,49.0,37.0,496884279,60393200,84199,0,0.0
1789743681.8,0.7203856552276596,34.0,49.0,37.0,496938839,60393200,54560,0,0.0
1789743683.9,0.6891799104524583,35.0,47.0,37.0,497091677,60393200,152838,0,0.0
1789743686.0,0.7038493999170325,35.0,47.0,37.0,497091677,60393200,0,0,
1789743688.0,0.7007524282260718,34.0,48.0,37.0,497091677,60393200,0,0,
1789743690.1,0.7117241477963581,34.0,49.0,37.0,497091677,60393200,0,0,
1789743692.2,0.7187406125280731,34.0,48.0,37.0,497125303,60393200,33626,0,0.0
1789743694.3,0.7095069163316978,31.0,51.0,37.0,497162706,60393200,37403,0,0.0
1789743696.4,0.6891870628120217,30.0,51.0,37.0,497221232,60393200,58526,0,0.0
1789743698.4,0.7221594403993877,32.0,50.0,37.0,497294798,60393200,73566,0,0.0
1789743700.5,0.7297695509748666,32.0,49.0,37.0,497372579,60393200,77781,0,0.0
1789743702.6,0.7517272948345659,34.0,51.0,37.0,497413325,60393200,40746,0,0.0
1789743704.7,0.7800291816270187,35.0,49.0,37.0,497508337,60393200,95012,0,0.0
1789743706.7,0.7890196975982376,35.0,50.0,37.0,497569219,60393200,60882,0,0.0
1789743708.8,0.8181226486617935,35.0,50.0,37.0,497602145,60393200,32926,0,0.0
1789743710.9,0.8038966054901512,35.0,48.0,37.0,497694670,60393216,92525,16,0.0002
1789743713.0,0.808152259430386,35.0,48.0,37.0,497736241,60393216,41571,0,0.0
1789743715.0,0.8411317893773156,39.0,45.0,37.0,497813893,60393232,77652,16,0.0002
1789743717.1,0.8610582631210036,42.0,42.0,37.0,497898471,60393248,84578,16,0.0002
1789743719.2,0.8778305462972235,41.0,43.0,37.0,497959936,60393248,61465,0,0.0
1789743721.3,0.8723375341525169,42.0,42.0,37.0,498029305,60393248,69369,0,0.0
1789743723.4,0.8770366343856838,42.0,42.0,37.0,498112958,60393248,83653,0,0.0
1789743725.4,0.9136781724290843,44.0,41.0,37.0,498196901,60393248,83943,0,0.0
1789743727.5,0.922597164804669,44.0,40.0,37.0,498234936,60393248,38035,0,0.0
1789743729.6,0.9519003819360007,45.0,40.0,37.0,498291275,60393248,56339,0,0.0
1789743731.7,0.9848799118829302,47.0,38.0,37.0,498383026,60393264,91751,16,0.0002
1789743733.7,0.9366229419085357,47.0,37.0,37.0,498411792,60393264,28766,0,0.0
1789743735.8,0.965904701961177,48.0,37.0,37.0,498485155,60393264,73363,0,0.0
