ts,kv_cache_usage_perc,num_requests_running,num_requests_waiting,num_preemptions_total,cum_prefix_cache_queries,cum_prefix_cache_hits,interval_queries,interval_hits,interval_hit_rate
1789747085.4,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747087.5,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747089.5,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747091.5,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747093.6,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747095.6,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747097.7,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747099.7,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747101.8,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747103.8,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747105.9,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747107.9,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747109.9,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747112.0,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747114.0,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747116.1,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747118.1,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747120.2,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747122.2,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747124.3,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747126.3,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747128.4,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747130.4,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747132.5,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747134.5,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747136.6,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747138.6,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747140.7,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747142.7,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747144.8,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747146.8,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747148.9,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747150.9,0.0,0.0,0.0,49.0,554632812,60582544,0,0,
1789747153.0,0.019912169024561166,3.0,1.0,49.0,554697226,60582544,64414,0,0.0
1789747155.0,0.05838471111619725,8.0,0.0,49.0,554790368,60582544,93142,0,0.0
1789747157.1,0.0981089161314318,7.0,43.0,49.0,554872662,60582544,82294,0,0.0
1789747159.2,0.13108129371879784,8.0,42.0,49.0,554936965,60582544,64303,0,0.0
1789747161.3,0.1676870699643812,11.0,49.0,49.0,555017659,60582544,80694,0,0.0
1789747163.4,0.20800492082337962,15.0,51.0,49.0,555140708,60582544,123049,0,0.0
1789747165.4,0.24069835638777237,15.0,56.0,49.0,555196467,60582544,55759,0,0.0
1789747167.5,0.27364927689644813,26.0,58.0,49.0,555296330,60582560,99863,16,0.0002
1789747169.6,0.29184487962578853,25.0,60.0,49.0,555296330,60582560,0,0,
1789747171.7,0.3230935385583704,29.0,52.0,49.0,555368124,60582560,71794,0,0.0
1789747173.8,0.3577324159240133,29.0,57.0,49.0,555472822,60582560,104698,0,0.0
1789747175.8,0.38898822721615856,24.0,54.0,49.0,555538159,60582576,65337,16,0.0002
1789747177.9,0.42133119716194367,29.0,57.0,49.0,555616277,60582576,78118,0,0.0
