ts,kv_cache_usage_perc,num_requests_running,num_requests_waiting,num_preemptions_total,cum_prefix_cache_queries,cum_prefix_cache_hits,interval_queries,interval_hits,interval_hit_rate
1789740270.5,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740272.6,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740274.6,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740276.7,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740278.7,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740280.8,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740282.8,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740284.9,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740286.9,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740289.0,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740291.0,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740293.0,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740295.1,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740297.2,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740299.2,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740301.3,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740303.3,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740305.3,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740307.4,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740309.4,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740311.5,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740313.5,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740315.6,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740317.6,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740319.7,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740321.7,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740323.7,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740325.8,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740327.8,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740329.9,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740331.9,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740334.0,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740336.0,0.0,0.0,0.0,266.0,3857952085,1044187984,0,0,
1789740338.1,0.0,0.0,0.0,266.0,3857954477,1044187984,2392,0,0.0
1789740340.1,0.0351,15.0,44.0,266.0,3858382275,1044187984,427798,0,0.0
1789740342.2,0.0687,29.0,85.0,266.0,3858681999,1044187984,299724,0,0.0
1789740344.3,0.104,55.0,113.0,266.0,3858951348,1044187984,269349,0,0.0
1789740346.4,0.1413,74.0,153.0,266.0,3859285309,1044187984,333961,0,0.0
1789740348.4,0.1798,101.0,154.0,266.0,3859670723,1044187984,385414,0,0.0
1789740350.5,0.2115,91.0,194.0,266.0,3859946834,1044187984,276111,0,0.0
1789740352.6,0.2435,85.0,214.0,266.0,3860329559,1044187984,382725,0,0.0
1789740354.7,0.2754,103.0,220.0,266.0,3860668817,1044188432,339258,448,0.0013
1789740356.7,0.3077,101.0,231.0,266.0,3860947674,1044188432,278857,0,0.0
1789740358.8,0.3307,90.0,238.0,266.0,3861118301,1044188432,170627,0,0.0
1789740360.9,0.3571,93.0,243.0,266.0,3861551720,1044188432,433419,0,0.0
1789740363.0,0.3786,87.0,250.0,266.0,3861577872,1044188432,26152,0,0.0
1789740365.0,0.3997,94.0,245.0,266.0,3861795354,1044188448,217482,16,0.0001
1789740367.1,0.4283,102.0,237.0,266.0,3862011625,1044188448,216271,0,0.0
1789740369.2,0.4536,104.0,235.0,266.0,3862189125,1044188448,177500,0,0.0
1789740371.3,0.4707,99.0,237.0,266.0,3862465689,1044188448,276564,0,0.0
1789740373.3,0.4989,109.0,230.0,266.0,3862781712,1044188448,316023,0,0.0
1789740375.4,0.529,115.0,226.0,266.0,3863017771,1044188448,236059,0,0.0
1789740377.5,0.5578,122.0,219.0,266.0,3863286214,1044188848,268443,400,0.0015
1789740379.6,0.5833,126.0,216.0,266.0,3863494688,1044189248,208474,400,0.0019
1789740381.7,0.6075,127.0,214.0,266.0,3863743728,1044189264,249040,16,0.0001
1789740383.8,0.6393,131.0,210.0,266.0,3864136307,1044189264,392579,0,0.0
1789740385.9,0.6674,135.0,206.0,266.0,3864384398,1044189264,248091,0,0.0
1789740387.9,0.6892,136.0,205.0,266.0,3864597763,1044189264,213365,0,0.0
1789740390.0,0.7041,136.0,203.0,266.0,3864804937,1044189280,207174,16,0.0001
1789740392.1,0.7188,139.0,202.0,266.0,3865050727,1044189744,245790,464,0.0019
1789740394.2,0.7377,144.0,197.0,266.0,3865244582,1044189760,193855,16,0.0001
1789740396.2,0.7584,151.0,189.0,266.0,3865574126,1044189760,329544,0,0.0
1789740398.3,0.7858,152.0,190.0,266.0,3865752462,1044189760,178336,0,0.0
1789740400.4,0.8131,160.0,183.0,266.0,3865988195,1044189760,235733,0,0.0
1789740402.4,0.8405,167.0,175.0,266.0,3866261694,1044190192,273499,432,0.0016
1789740404.5,0.8624,172.0,167.0,266.0,3866633134,1044190272,371440,80,0.0002
1789740406.6,0.8867,171.0,168.0,266.0,3866833894,1044190272,200760,0,0.0
1789740408.7,0.8979,174.0,163.0,266.0,3867121419,1044190288,287525,16,0.0001
1789740410.7,0.9118,177.0,160.0,266.0,3867332763,1044190288,211344,0,0.0
1789740412.8,0.9055,179.0,156.0,266.0,3867632808,1044190288,300045,0,0.0
1789740414.9,0.9202,179.0,160.0,266.0,3867852002,1044190304,219194,16,0.0001
1789740416.9,0.9457,184.0,156.0,266.0,3868199483,1044190320,347481,16,0.0
1789740419.0,0.967,184.0,155.0,266.0,3868268319,1044190320,68836,0,0.0
1789740421.1,0.9651,185.0,155.0,266.0,3868614278,1044190352,345959,32,0.0001
1789740423.2,0.9573,180.0,155.0,266.0,3868724306,1044190352,110028,0,0.0
1789740425.2,0.9727,186.0,151.0,266.0,3869097731,1044190400,373425,48,0.0001
1789740427.3,0.9669,182.0,154.0,266.0,3869256121,1044190432,158390,32,0.0002
1789740429.4,0.9534,182.0,157.0,266.0,3869507705,1044190480,251584,48,0.0002
1789740431.4,0.9507,181.0,157.0,266.0,3869741670,1044190512,233965,32,0.0001
1789740433.5,0.9679,181.0,159.0,266.0,3869848051,1044190512,106381,0,0.0
1789740435.6,0.9568,181.0,157.0,266.0,3870175302,1044190528,327251,16,0.0
1789740437.7,0.9658,180.0,161.0,266.0,3870208004,1044190544,32702,16,0.0005
1789740439.7,0.9752,181.0,161.0,266.0,3870374001,1044190576,165997,32,0.0002
1789740441.8,0.9808,181.0,158.0,266.0,3870606377,1044190576,232376,0,0.0
1789740443.9,0.9757,180.0,154.0,266.0,3870868343,1044190576,261966,0,0.0
1789740446.0,0.9539,179.0,160.0,266.0,3871164280,1044190608,295937,32,0.0001
1789740448.0,0.9537,178.0,158.0,266.0,3871388104,1044190608,223824,0,0.0
1789740450.1,0.9683,179.0,157.0,266.0,3871539000,1044190608,150896,0,0.0
1789740452.2,0.962,176.0,162.0,266.0,3871724440,1044190608,185440,0,0.0
1789740454.3,0.9584,176.0,162.0,266.0,3872073515,1044190624,349075,16,0.0
1789740456.3,0.9502,174.0,164.0,266.0,3872265108,1044190624,191593,0,0.0
1789740458.4,0.9613,177.0,161.0,266.0,3872479057,1044190656,213949,32,0.0001
1789740460.5,0.9663,177.0,163.0,266.0,3872718058,1044190704,239001,48,0.0002
1789740462.5,0.97,175.0,164.0,266.0,3872831523,1044190704,113465,0,0.0
1789740464.6,0.9746,176.0,163.0,266.0,3873074205,1044190720,242682,16,0.0001
1789740466.7,0.9573,174.0,164.0,266.0,3873315180,1044190752,240975,32,0.0001
1789740468.8,0.9777,179.0,161.0,266.0,3873639831,1044190784,324651,32,0.0001
1789740470.8,0.981,182.0,160.0,266.0,3873832949,1044190816,193118,32,0.0002
1789740472.9,0.9728,178.0,165.0,266.0,3873975302,1044190816,142353,0,0.0
1789740475.0,0.9768,178.0,164.0,266.0,3874236873,1044190816,261571,0,0.0
1789740477.0,0.9745,179.0,162.0,266.0,3874499726,1044190816,262853,0,0.0
1789740479.1,0.972,180.0,158.0,266.0,3874774835,1044190832,275109,16,0.0001
1789740481.2,0.959,176.0,158.0,266.0,3874943836,1044190832,169001,0,0.0
1789740483.3,0.9565,175.0,159.0,266.0,3875164687,1044190848,220851,16,0.0001
1789740485.3,0.9687,178.0,162.0,266.0,3875419370,1044190848,254683,0,0.0
1789740487.4,0.9621,177.0,163.0,266.0,3875639436,1044190848,220066,0,0.0
1789740489.5,0.9557,179.0,159.0,266.0,3876002179,1044190848,362743,0,0.0
