ts,programs_running,programs_idle,programs_marked,programs_paused,holds_reasoning,holds_paused,holds_new,releases_reasoning,releases_paused,releases_new,pauses_total,resumes_total,rebinds_total,starvation_promotions_total,pod_utilization,fc_queue_size,fc_queue_wait_sum,fc_queue_wait_count
1789726640.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789726643.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789726645.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789726647.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789726649.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789726651.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789726653.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789726655.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789726657.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789726659.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789726661.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789726663.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789726665.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789726667.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789726669.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789726671.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789726673.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789726675.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789726677.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789726679.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789726681.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789726683.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789726685.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
1789726688.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,
