ts,programs_running,programs_idle,programs_marked,programs_paused,holds_reasoning,holds_paused,holds_new,releases_reasoning,releases_paused,releases_new,pauses_total,resumes_total,rebinds_total,starvation_promotions_total,origin_waits_total,pod_utilization,fc_queue_size,fc_queue_wait_sum,fc_queue_wait_count
1789866379.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789866381.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789866383.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789866386.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789866388.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789866390.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789866392.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789866394.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789866396.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789866398.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789866400.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789866402.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789866404.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789866406.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789866408.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789866410.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789866412.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789866414.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789866416.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789866419.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789866421.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789866423.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789866425.2,10.0,0.0,0.0,0.0,,,,10.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.04701122912419983,,0.006097796,40.0
1789866427.6,8.0,2.0,0.0,0.0,,,,11.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.047172156063369455,,0.006374776,42.0
1789866429.9,7.0,3.0,0.0,0.0,,,,14.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.04968976862282302,,0.007124734,48.0
1789866432.2,8.0,2.0,0.0,0.0,,,,20.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.05126193541465508,,0.008530654,60.0
1789866434.4,6.0,4.0,0.0,0.0,,,,23.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.05126193541465508,,0.009148734,66.0
1789866436.8,5.0,5.0,0.0,0.0,,,,28.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.05138128956120588,,0.010469614,76.0
1789866439.1,6.0,4.0,0.0,0.0,,,,34.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.05208981511282767,,0.014003896,88.0
1789866441.4,6.0,4.0,0.0,0.0,,,,41.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.05251850659800451,,0.015476156,102.0
1789866443.7,9.0,1.0,0.0,0.0,,,,45.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.05481171548117155,,0.016491556,110.0
1789866446.0,9.0,1.0,0.0,0.0,,,,48.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.055151450130529626,,0.017212956,116.0
1789866448.3,8.0,2.0,0.0,0.0,,,,49.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.05549118477988771,,0.017485758,118.0
1789866450.6,9.0,1.0,0.0,0.0,,,,51.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.05581303865822694,,0.0179153,122.0
1789866452.9,7.0,3.0,0.0,0.0,,,,53.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.055910935879555125,,0.01833108,126.0
1789866455.2,9.0,1.0,0.0,0.0,,,,57.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.05835613131638236,,0.0192686,134.0
1789866457.5,9.0,1.0,0.0,0.0,,,,62.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.06013973822551229,,0.020636662,144.0
1789866459.8,7.0,3.0,0.0,0.0,,,,63.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.06046159210385152,,0.021053922,146.0
1789866462.0,8.0,2.0,0.0,0.0,,,,65.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.06078344598219075,,0.021519141999999998,150.0
1789866464.3,8.0,2.0,0.0,0.0,,,,65.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.06110529986052999,,0.021519141999999998,150.0
1789866466.6,8.0,2.0,0.0,0.0,,,,68.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.06138423988842399,,0.022286280000000002,156.0
1789866468.9,9.0,1.0,0.0,0.0,,,,75.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.06185048099274041,,0.02407328,170.0
1789866471.2,9.0,1.0,0.0,0.0,,,,78.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.06217233487107964,,0.024718178,176.0
1789866473.5,8.0,2.0,0.0,0.0,,,,80.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.06249418874941887,,0.025201278,180.0
1789866475.8,9.0,1.0,0.0,0.0,,,,85.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.06289158888531274,,0.026275836,190.0
1789866478.1,8.0,2.0,0.0,0.0,,,,88.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.06307933698101062,,0.026975078,196.0
1789866480.4,8.0,2.0,0.0,0.0,,,,91.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.0633184922933877,,0.027639458,202.0
1789866482.7,8.0,2.0,0.0,0.0,,,,94.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.06425723277187713,,0.028236438,208.0
1789866485.0,8.0,2.0,0.0,0.0,,,,97.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.06458266280442013,,0.028837998,214.0
