ts,kv_cache_usage_perc,num_requests_running,num_requests_waiting,num_preemptions_total,cum_prefix_cache_queries,cum_prefix_cache_hits,interval_queries,interval_hits,interval_hit_rate
1789866379.7,0.0,0.0,0.0,480.0,9914936820,4569329584,0,0,
1789866381.8,0.0,0.0,0.0,480.0,9914936820,4569329584,0,0,
1789866383.9,0.0,0.0,0.0,480.0,9914936820,4569329584,0,0,
1789866386.0,0.0,0.0,0.0,480.0,9914936820,4569329584,0,0,
1789866388.0,0.0,0.0,0.0,480.0,9914936820,4569329584,0,0,
1789866390.1,0.0,0.0,0.0,480.0,9914936820,4569329584,0,0,
1789866392.1,0.0,0.0,0.0,480.0,9914936820,4569329584,0,0,
1789866394.2,0.0,0.0,0.0,480.0,9914936820,4569329584,0,0,
1789866396.3,0.0,0.0,0.0,480.0,9914936820,4569329584,0,0,
1789866398.3,0.0,0.0,0.0,480.0,9914936820,4569329584,0,0,
1789866400.4,0.0,0.0,0.0,480.0,9914936820,4569329584,0,0,
1789866402.5,0.0,0.0,0.0,480.0,9914936820,4569329584,0,0,
1789866404.5,0.0,0.0,0.0,480.0,9914936820,4569329584,0,0,
1789866406.6,0.0,0.0,0.0,480.0,9914936820,4569329584,0,0,
1789866408.7,0.0,0.0,0.0,480.0,9914936820,4569329584,0,0,
1789866410.7,0.0,0.0,0.0,480.0,9914936820,4569329584,0,0,
1789866412.8,0.0,0.0,0.0,480.0,9914936820,4569329584,0,0,
1789866414.9,0.0,0.0,0.0,480.0,9914936820,4569329584,0,0,
1789866416.9,0.0,0.0,0.0,480.0,9914936820,4569329584,0,0,
1789866419.0,0.0,0.0,0.0,480.0,9914936820,4569329584,0,0,
1789866421.1,0.0,0.0,0.0,480.0,9914936820,4569329584,0,0,
1789866423.1,0.0,0.0,0.0,480.0,9914936820,4569329584,0,0,
1789866425.2,0.0305,8.0,2.0,480.0,9915263599,4569329584,326779,0,0.0
1789866427.6,0.0352,8.0,0.0,480.0,9915342429,4569347584,78830,18000,0.2283
1789866429.9,0.031,7.0,0.0,480.0,9915445955,4569398752,103526,51168,0.4943
1789866432.2,0.0355,8.0,0.0,480.0,9915633070,4569512144,187115,113392,0.606
