1789874690,program-aware-scheduling-epp-67b54c4b6f-xd6g8,572m,44Mi
1789874690,program-aware-vllm-decode-9c9b54cb6-f9qsh,105m,23452Mi
1789874690,program-aware-vllm-decode-9c9b54cb6-gkzmr,106m,23476Mi
1789874690,program-aware-vllm-decode-9c9b54cb6-kccxc,105m,23418Mi
1789874690,program-aware-vllm-decode-9c9b54cb6-mngw2,104m,23393Mi
1789874690,weka-bench-epp-thunder-origin-c192-gc5bm,943m,66Mi
1789874722,program-aware-scheduling-epp-67b54c4b6f-xd6g8,573m,47Mi
1789874722,program-aware-vllm-decode-9c9b54cb6-f9qsh,111m,23452Mi
1789874722,program-aware-vllm-decode-9c9b54cb6-gkzmr,107m,23476Mi
1789874722,program-aware-vllm-decode-9c9b54cb6-kccxc,111m,23417Mi
1789874722,program-aware-vllm-decode-9c9b54cb6-mngw2,105m,23392Mi
1789874722,weka-bench-epp-thunder-origin-c192-gc5bm,1187m,142Mi
1789874754,program-aware-scheduling-epp-67b54c4b6f-xd6g8,605m,45Mi
1789874754,program-aware-vllm-decode-9c9b54cb6-f9qsh,109m,23453Mi
1789874754,program-aware-vllm-decode-9c9b54cb6-gkzmr,108m,23476Mi
1789874754,program-aware-vllm-decode-9c9b54cb6-kccxc,111m,23417Mi
1789874754,program-aware-vllm-decode-9c9b54cb6-mngw2,106m,23393Mi
1789874754,weka-bench-epp-thunder-origin-c192-gc5bm,1459m,3152Mi
1789874786,program-aware-scheduling-epp-67b54c4b6f-xd6g8,596m,45Mi
1789874786,program-aware-vllm-decode-9c9b54cb6-f9qsh,110m,23451Mi
1789874786,program-aware-vllm-decode-9c9b54cb6-gkzmr,110m,23476Mi
1789874786,program-aware-vllm-decode-9c9b54cb6-kccxc,109m,23418Mi
1789874786,program-aware-vllm-decode-9c9b54cb6-mngw2,103m,23392Mi
1789874786,weka-bench-epp-thunder-origin-c192-gc5bm,7831m,4707Mi
1789874818,program-aware-scheduling-epp-67b54c4b6f-xd6g8,592m,45Mi
1789874818,program-aware-vllm-decode-9c9b54cb6-f9qsh,108m,23453Mi
1789874818,program-aware-vllm-decode-9c9b54cb6-gkzmr,110m,23475Mi
1789874818,program-aware-vllm-decode-9c9b54cb6-kccxc,107m,23417Mi
1789874818,program-aware-vllm-decode-9c9b54cb6-mngw2,106m,23393Mi
1789874818,weka-bench-epp-thunder-origin-c192-gc5bm,7678m,5585Mi
1789874850,program-aware-scheduling-epp-67b54c4b6f-xd6g8,578m,45Mi
1789874850,program-aware-vllm-decode-9c9b54cb6-f9qsh,112m,23452Mi
1789874850,program-aware-vllm-decode-9c9b54cb6-gkzmr,109m,23476Mi
1789874850,program-aware-vllm-decode-9c9b54cb6-kccxc,108m,23418Mi
1789874850,program-aware-vllm-decode-9c9b54cb6-mngw2,107m,23392Mi
1789874850,weka-bench-epp-thunder-origin-c192-gc5bm,7871m,6380Mi
1789874881,program-aware-scheduling-epp-67b54c4b6f-xd6g8,707m,198Mi
1789874881,program-aware-vllm-decode-9c9b54cb6-f9qsh,2067m,23407Mi
1789874881,program-aware-vllm-decode-9c9b54cb6-gkzmr,1451m,23424Mi
1789874881,program-aware-vllm-decode-9c9b54cb6-kccxc,1779m,23423Mi
1789874881,program-aware-vllm-decode-9c9b54cb6-mngw2,1247m,23435Mi
1789874881,weka-bench-epp-thunder-origin-c192-gc5bm,11560m,7224Mi
1789874913,program-aware-scheduling-epp-67b54c4b6f-xd6g8,915m,390Mi
1789874913,program-aware-vllm-decode-9c9b54cb6-f9qsh,3153m,23415Mi
1789874913,program-aware-vllm-decode-9c9b54cb6-gkzmr,3242m,23454Mi
1789874913,program-aware-vllm-decode-9c9b54cb6-kccxc,3125m,23459Mi
1789874913,program-aware-vllm-decode-9c9b54cb6-mngw2,3283m,23517Mi
1789874913,weka-bench-epp-thunder-origin-c192-gc5bm,8083m,7670Mi
1789874945,program-aware-scheduling-epp-67b54c4b6f-xd6g8,1331m,452Mi
1789874945,program-aware-vllm-decode-9c9b54cb6-f9qsh,2308m,23449Mi
1789874945,program-aware-vllm-decode-9c9b54cb6-gkzmr,2555m,23478Mi
1789874945,program-aware-vllm-decode-9c9b54cb6-kccxc,2543m,23475Mi
1789874945,program-aware-vllm-decode-9c9b54cb6-mngw2,3130m,23566Mi
1789874945,weka-bench-epp-thunder-origin-c192-gc5bm,3329m,7771Mi
1789874977,program-aware-scheduling-epp-67b54c4b6f-xd6g8,1556m,478Mi
1789874977,program-aware-vllm-decode-9c9b54cb6-f9qsh,2107m,23455Mi
1789874977,program-aware-vllm-decode-9c9b54cb6-gkzmr,2139m,23494Mi
1789874977,program-aware-vllm-decode-9c9b54cb6-kccxc,2238m,23486Mi
1789874977,program-aware-vllm-decode-9c9b54cb6-mngw2,2944m,23570Mi
1789874977,weka-bench-epp-thunder-origin-c192-gc5bm,3571m,7836Mi
1789875009,program-aware-scheduling-epp-67b54c4b6f-xd6g8,1637m,488Mi
1789875009,program-aware-vllm-decode-9c9b54cb6-f9qsh,1955m,23466Mi
1789875009,program-aware-vllm-decode-9c9b54cb6-gkzmr,2017m,23507Mi
1789875009,program-aware-vllm-decode-9c9b54cb6-kccxc,2002m,23502Mi
1789875009,program-aware-vllm-decode-9c9b54cb6-mngw2,2922m,23571Mi
1789875009,weka-bench-epp-thunder-origin-c192-gc5bm,3653m,7971Mi
1789875041,program-aware-scheduling-epp-67b54c4b6f-xd6g8,1385m,527Mi
1789875041,program-aware-vllm-decode-9c9b54cb6-f9qsh,1986m,23489Mi
1789875041,program-aware-vllm-decode-9c9b54cb6-gkzmr,2691m,23515Mi
1789875041,program-aware-vllm-decode-9c9b54cb6-kccxc,2684m,23515Mi
1789875041,program-aware-vllm-decode-9c9b54cb6-mngw2,2855m,23560Mi
1789875041,weka-bench-epp-thunder-origin-c192-gc5bm,3318m,8100Mi
1789875073,program-aware-scheduling-epp-67b54c4b6f-xd6g8,1529m,539Mi
1789875073,program-aware-vllm-decode-9c9b54cb6-f9qsh,1831m,23492Mi
1789875073,program-aware-vllm-decode-9c9b54cb6-gkzmr,2200m,23514Mi
1789875073,program-aware-vllm-decode-9c9b54cb6-kccxc,2545m,23517Mi
1789875073,program-aware-vllm-decode-9c9b54cb6-mngw2,2556m,23560Mi
1789875073,weka-bench-epp-thunder-origin-c192-gc5bm,3751m,8209Mi
1789875105,program-aware-scheduling-epp-67b54c4b6f-xd6g8,1429m,546Mi
1789875105,program-aware-vllm-decode-9c9b54cb6-f9qsh,2421m,23496Mi
1789875105,program-aware-vllm-decode-9c9b54cb6-gkzmr,2196m,23513Mi
1789875105,program-aware-vllm-decode-9c9b54cb6-kccxc,2656m,23518Mi
1789875105,program-aware-vllm-decode-9c9b54cb6-mngw2,2748m,23561Mi
1789875105,weka-bench-epp-thunder-origin-c192-gc5bm,3519m,8278Mi
1789875136,program-aware-scheduling-epp-67b54c4b6f-xd6g8,1284m,546Mi
1789875136,program-aware-vllm-decode-9c9b54cb6-f9qsh,2473m,23496Mi
1789875136,program-aware-vllm-decode-9c9b54cb6-gkzmr,2643m,23515Mi
1789875136,program-aware-vllm-decode-9c9b54cb6-kccxc,2513m,23518Mi
1789875136,program-aware-vllm-decode-9c9b54cb6-mngw2,2846m,23560Mi
1789875136,weka-bench-epp-thunder-origin-c192-gc5bm,3383m,8306Mi
1789875169,program-aware-scheduling-epp-67b54c4b6f-xd6g8,1288m,557Mi
1789875169,program-aware-vllm-decode-9c9b54cb6-f9qsh,2663m,23503Mi
1789875169,program-aware-vllm-decode-9c9b54cb6-gkzmr,2380m,23515Mi
1789875169,program-aware-vllm-decode-9c9b54cb6-kccxc,2532m,23518Mi
1789875169,program-aware-vllm-decode-9c9b54cb6-mngw2,2222m,23560Mi
1789875169,weka-bench-epp-thunder-origin-c192-gc5bm,3389m,8391Mi
1789875200,program-aware-scheduling-epp-67b54c4b6f-xd6g8,1440m,557Mi
1789875200,program-aware-vllm-decode-9c9b54cb6-f9qsh,2461m,23502Mi
1789875200,program-aware-vllm-decode-9c9b54cb6-gkzmr,2185m,23515Mi
1789875200,program-aware-vllm-decode-9c9b54cb6-kccxc,2613m,23518Mi
1789875200,program-aware-vllm-decode-9c9b54cb6-mngw2,2717m,23559Mi
1789875200,weka-bench-epp-thunder-origin-c192-gc5bm,3584m,8450Mi
1789875232,program-aware-scheduling-epp-67b54c4b6f-xd6g8,1570m,564Mi
1789875232,program-aware-vllm-decode-9c9b54cb6-f9qsh,2205m,23503Mi
1789875232,program-aware-vllm-decode-9c9b54cb6-gkzmr,2123m,23515Mi
1789875232,program-aware-vllm-decode-9c9b54cb6-kccxc,2637m,23518Mi
1789875232,program-aware-vllm-decode-9c9b54cb6-mngw2,2538m,23557Mi
1789875232,weka-bench-epp-thunder-origin-c192-gc5bm,3926m,8527Mi
1789875264,program-aware-scheduling-epp-67b54c4b6f-xd6g8,1548m,573Mi
1789875264,program-aware-vllm-decode-9c9b54cb6-f9qsh,2419m,23504Mi
1789875264,program-aware-vllm-decode-9c9b54cb6-gkzmr,2560m,23516Mi
1789875264,program-aware-vllm-decode-9c9b54cb6-kccxc,2381m,23518Mi
1789875264,program-aware-vllm-decode-9c9b54cb6-mngw2,2532m,23556Mi
1789875264,weka-bench-epp-thunder-origin-c192-gc5bm,3752m,8622Mi
1789875296,program-aware-scheduling-epp-67b54c4b6f-xd6g8,1379m,581Mi
1789875296,program-aware-vllm-decode-9c9b54cb6-f9qsh,2589m,23502Mi
1789875296,program-aware-vllm-decode-9c9b54cb6-gkzmr,2246m,23516Mi
1789875296,program-aware-vllm-decode-9c9b54cb6-kccxc,2515m,23518Mi
1789875296,program-aware-vllm-decode-9c9b54cb6-mngw2,2498m,23557Mi
1789875296,weka-bench-epp-thunder-origin-c192-gc5bm,3594m,8682Mi
1789875328,program-aware-scheduling-epp-67b54c4b6f-xd6g8,1377m,581Mi
1789875328,program-aware-vllm-decode-9c9b54cb6-f9qsh,2304m,23503Mi
1789875328,program-aware-vllm-decode-9c9b54cb6-gkzmr,2423m,23517Mi
1789875328,program-aware-vllm-decode-9c9b54cb6-kccxc,2644m,23519Mi
1789875328,program-aware-vllm-decode-9c9b54cb6-mngw2,2810m,23558Mi
1789875328,weka-bench-epp-thunder-origin-c192-gc5bm,3779m,8751Mi
1789875360,program-aware-scheduling-epp-67b54c4b6f-xd6g8,1363m,585Mi
1789875360,program-aware-vllm-decode-9c9b54cb6-f9qsh,2403m,23503Mi
1789875360,program-aware-vllm-decode-9c9b54cb6-gkzmr,2594m,23515Mi
1789875360,program-aware-vllm-decode-9c9b54cb6-kccxc,2757m,23519Mi
1789875360,program-aware-vllm-decode-9c9b54cb6-mngw2,2683m,23557Mi
1789875360,weka-bench-epp-thunder-origin-c192-gc5bm,3723m,8803Mi
1789875392,program-aware-scheduling-epp-67b54c4b6f-xd6g8,1400m,596Mi
1789875392,program-aware-vllm-decode-9c9b54cb6-f9qsh,2349m,23504Mi
1789875392,program-aware-vllm-decode-9c9b54cb6-gkzmr,2428m,23517Mi
1789875392,program-aware-vllm-decode-9c9b54cb6-kccxc,2535m,23519Mi
