ts,programs_running,programs_idle,programs_marked,programs_paused,holds_reasoning,holds_paused,holds_new,releases_reasoning,releases_paused,releases_new,pauses_total,resumes_total,rebinds_total,starvation_promotions_total,origin_waits_total,urgent_promotions_total,pod_utilization,fc_queue_size,fc_queue_wait_sum,fc_queue_wait_count
1789996771.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996773.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996775.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996777.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996779.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996781.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996783.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996785.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996787.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996790.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996792.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996794.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996796.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996798.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996800.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996802.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996804.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996806.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996808.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996810.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996812.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996814.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996816.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996818.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996821.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996823.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996825.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996827.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996829.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996831.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996833.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996835.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996837.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996839.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996841.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996843.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996845.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996847.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996850.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996852.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996854.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996856.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996858.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996860.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996862.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996864.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996866.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996868.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996870.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996872.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996874.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996876.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996879.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996881.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996883.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996885.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996887.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996889.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996891.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996893.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996895.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996897.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996899.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996901.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996903.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996905.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996907.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789996910.0,18.0,0.0,0.0,0.0,,,,12.0,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04074535993992061,,0.010872966,60.0
1789996912.6,37.0,0.0,0.0,0.0,,,,13.0,,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06423085863462433,,0.018057406,100.0
1789996915.4,51.0,0.0,0.0,0.0,,,,39.0,,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40011398991524516,,0.032548584,180.0
1789996918.8,63.0,0.0,0.0,0.0,,,,47.0,,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.400131870686264,,0.040039028,220.0
1789996922.5,76.0,0.0,0.0,0.0,,,,48.0,,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4001676322283017,,0.046769948,248.0
1789996926.8,98.0,3.0,0.0,0.0,,,,63.0,,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40018551299932054,,0.066312972,328.0
1789996931.5,119.0,2.0,0.0,0.0,,,,81.0,,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4002570360833959,,0.085930908,403.0
1789996936.1,126.0,0.0,0.0,0.0,,,,103.0,,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41703366949182846,,0.099448198,458.0
1789996940.7,128.0,0.0,0.0,0.0,,,,110.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4381727640095841,,0.10422677600000001,476.0
1789996945.3,124.0,4.0,0.0,0.0,,,,116.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4768810571111826,,0.10685897800000001,488.0
1789996950.1,120.0,8.0,0.0,0.0,,,,130.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48956344097557486,,0.113025376,516.0
1789996955.0,120.0,8.0,0.0,0.0,,,,145.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5051939169616994,,0.123587316,546.0
1789996959.8,122.0,6.0,0.0,0.0,,,,164.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5135960912634553,,0.13424347,584.0
1789996964.7,120.0,8.0,0.0,0.0,,,,177.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5200613310445946,,0.14093855,609.0
1789996969.5,120.0,8.0,0.0,0.0,,,,193.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5170363516074813,,0.15073563,642.0
1789996974.4,117.0,11.0,0.0,0.0,,,,220.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5262659585881343,,0.16294109,696.0
1789996979.3,110.0,18.0,0.0,0.0,,,,248.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5476862282301613,,0.179392772,752.0
1789996984.3,121.0,7.0,0.0,0.0,,,,280.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5593641597825698,,0.197378534,816.0
