ts,programs_running,programs_idle,programs_marked,programs_paused,holds_reasoning,holds_paused,holds_new,releases_reasoning,releases_paused,releases_new,pauses_total,resumes_total,rebinds_total,starvation_promotions_total,origin_waits_total,urgent_promotions_total,pod_utilization,fc_queue_size,fc_queue_wait_sum,fc_queue_wait_count
1789990887.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990889.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990891.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990893.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990895.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990897.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990899.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990901.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990903.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990906.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990908.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990910.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990912.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990914.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990916.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990918.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990920.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990922.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990924.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990926.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990928.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990930.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990932.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990934.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990937.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990939.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990941.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990943.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990945.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990947.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990949.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990951.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990953.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990955.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990957.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990960.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990962.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990964.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990966.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990968.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990970.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990972.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990974.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990976.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990978.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990980.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990982.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990984.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990987.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990989.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990991.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990993.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990995.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990997.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789990999.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789991001.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789991003.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789991005.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789991007.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789991009.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789991012.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789991014.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789991016.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789991018.2,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789991020.3,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789991022.4,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789991024.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789991026.5,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789991028.6,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789991030.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789991032.7,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789991034.8,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789991036.9,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789991039.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789991041.1,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1789991043.1,23.0,0.0,0.0,0.0,,,,4.0,,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025012963558988664,,0.006691404,54.0
1789991045.8,37.0,0.0,0.0,0.0,,,,20.0,,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21517719844079677,,0.015495522,114.0
1789991049.3,47.0,0.0,0.0,0.0,,,,32.0,,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2151950792118156,,0.021529278,158.0
1789991052.8,65.0,0.0,0.0,0.0,,,,55.0,,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21522190036834388,,0.032808276,240.0
1789991057.1,85.0,0.0,0.0,0.0,,,,59.0,,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27067061831706185,,0.040639594,288.0
1789991062.6,109.0,2.0,0.0,0.0,,,,74.0,,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3152268175803741,,0.05646307,370.0
1789991067.7,123.0,2.0,0.0,0.0,,,,96.0,,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5010192039480742,,0.069860364,442.0
1789991072.2,125.0,3.0,0.0,0.0,,,,109.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6748466723885134,,0.07565151,474.0
1789991076.9,126.0,2.0,0.0,0.0,,,,117.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7565394449808676,,0.079056124,490.0
1789991081.8,122.0,6.0,0.0,0.0,,,,127.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7566824911490183,,0.082857406,510.0
1789991086.7,121.0,7.0,0.0,0.0,,,,148.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7569328219432822,,0.091832686,552.0
1789991091.7,123.0,5.0,0.0,0.0,,,,164.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7572099738940743,,0.098654846,584.0
1789991096.6,120.0,8.0,0.0,0.0,,,,182.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7575318277724136,,0.106237946,620.0
1789991101.5,123.0,5.0,0.0,0.0,,,,200.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7684578729034796,,0.1138708,656.0
1789991107.1,123.0,5.0,0.0,0.0,,,,228.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.795760022172156,,0.12502708,712.0
1789991112.4,110.0,18.0,0.0,0.0,,,,264.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8079247577155527,,0.139131214,783.0
1789991117.5,118.0,10.0,0.0,0.0,,,,303.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8213134320351894,,0.155399878,862.0
1789991122.7,117.0,11.0,0.0,0.0,,,,332.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8112233129492544,,0.167649236,920.0
1789991127.9,121.0,7.0,0.0,0.0,,,,360.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8295725601687944,,0.179688716,976.0
1789991133.1,124.0,4.0,0.0,0.0,,,,396.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8511305117476665,,0.194865296,1048.0
1789991138.4,118.0,10.0,0.0,0.0,,,,430.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.863166058720452,,0.209106448,1116.0
1789991143.6,124.0,4.0,0.0,0.0,,,,463.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8709674391159746,,0.221946228,1182.0
1789991149.2,119.0,9.0,0.0,0.0,,,,486.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8829994099345564,,0.231763856,1228.0
1789991154.3,122.0,6.0,0.0,0.0,,,,513.0,,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8909112040911205,,0.242331334,1282.0
