ts,kv_cache_usage_perc,num_requests_running,num_requests_waiting,num_preemptions_total,cum_prefix_cache_queries,cum_prefix_cache_hits,interval_queries,interval_hits,interval_hit_rate
1790028610.5,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028612.7,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028614.7,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028616.8,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028618.9,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028620.9,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028623.0,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028625.0,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028627.1,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028629.2,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028631.3,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028633.3,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028635.4,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028637.5,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028639.5,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028641.6,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028643.7,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028645.7,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028647.8,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028649.9,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028651.9,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028654.0,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028656.1,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028658.1,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028660.2,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028662.3,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028664.3,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028666.4,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028668.5,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028670.6,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028672.6,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028674.7,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028676.8,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028678.9,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028681.0,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028683.1,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028685.2,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028687.2,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028689.3,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028691.4,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028693.4,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028695.5,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028697.6,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028699.6,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028701.7,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028703.8,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028705.9,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028708.0,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028710.0,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028712.1,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028714.2,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028716.3,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028718.3,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028720.4,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028722.5,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028724.5,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028726.6,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028728.7,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028730.7,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028732.8,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028734.9,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028736.9,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028739.0,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028741.1,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028743.2,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028745.2,0.0,0.0,0.0,672.0,17097476065,8319930240,0,0,
1790028747.3,0.0203,8.0,12.0,672.0,17097710983,8319930240,234918,0,0.0
1790028750.0,0.0652,32.0,4.0,672.0,17098095365,8319930240,384382,0,0.0
1790028753.0,0.1147,25.0,27.0,672.0,17098635924,8319930240,540559,0,0.0
1790028756.5,0.1716,38.0,35.0,672.0,17099147440,8319930688,511516,448,0.0009
1790028760.2,0.2283,72.0,7.0,672.0,17099725620,8319931072,578180,384,0.0007
1790028764.0,0.2831,69.0,43.0,672.0,17100147964,8319931536,422344,464,0.0011
1790028768.3,0.3383,72.0,50.0,672.0,17100629839,8319931552,481875,16,0.0
1790028772.8,0.407,82.0,45.0,672.0,17101314576,8319931568,684737,16,0.0
1790028777.4,0.4765,95.0,33.0,672.0,17101925243,8319931584,610667,16,0.0
1790028782.1,0.5126,102.0,25.0,672.0,17102442311,8319931616,517068,32,0.0001
1790028786.8,0.5146,101.0,20.0,672.0,17102961049,8320107008,518738,175392,0.3381
1790028791.6,0.5178,100.0,16.0,672.0,17103898470,8320715872,937421,608864,0.6495
1790028796.5,0.5768,112.0,13.0,672.0,17105100481,8321488336,1202011,772464,0.6426
1790028801.4,0.5527,105.0,13.0,672.0,17105870502,8322220800,770021,732464,0.9512
1790028806.4,0.5718,112.0,13.0,672.0,17107014750,8323011520,1144248,790720,0.691
1790028811.4,0.5953,114.0,9.0,672.0,17108160718,8323869088,1145968,857568,0.7483
1790028816.5,0.6314,120.0,5.0,672.0,17109427552,8324850240,1266834,981152,0.7745
1790028821.6,0.6463,122.0,3.0,672.0,17110618048,8325848272,1190496,998032,0.8383
1790028826.7,0.6568,121.0,2.0,672.0,17111712745,8326741440,1094697,893168,0.8159
1790028831.7,0.6734,123.0,1.0,672.0,17112998269,8327674128,1285524,932688,0.7255
1790028836.7,0.6739,122.0,0.0,672.0,17114068991,8328442976,1070722,768848,0.7181
1790028841.7,0.7016,123.0,4.0,672.0,17115241652,8329460576,1172661,1017600,0.8678
1790028846.7,0.7206,123.0,3.0,672.0,17116460692,8330450640,1219040,990064,0.8122
1790028852.0,0.6937,119.0,3.0,672.0,17117424392,8331272288,963700,821648,0.8526
1790028857.0,0.7082,121.0,2.0,672.0,17118485367,8332046496,1060975,774208,0.7297
1790028862.1,0.6947,116.0,3.0,672.0,17119533635,8332874288,1048268,827792,0.7897
1790028867.2,0.703,120.0,1.0,672.0,17120748208,8333828320,1214573,954032,0.7855
1790028872.3,0.7276,121.0,1.0,672.0,17121953542,8334691536,1205334,863216,0.7162
1790028877.5,0.7146,122.0,3.0,672.0,17123233935,8335671584,1280393,980048,0.7654
1790028882.7,0.7429,124.0,3.0,672.0,17123738309,8335966640,504374,295056,0.585
1790028887.8,0.7762,128.0,0.0,672.0,17124784012,8336680736,1045703,714096,0.6829
1790028892.9,0.7541,122.0,2.0,672.0,17125751036,8337556864,967024,876128,0.906
1790028898.0,0.7901,127.0,0.0,672.0,17127161953,8338850704,1410917,1293840,0.917
1790028903.1,0.7889,125.0,0.0,672.0,17128154360,8339690768,992407,840064,0.8465
1790028908.2,0.7597,122.0,0.0,672.0,17129623092,8341001104,1468732,1310336,0.8922
1790028913.4,0.7646,121.0,2.0,672.0,17131053906,8342194576,1430814,1193472,0.8341
1790028918.5,0.8224,127.0,0.0,672.0,17132205235,8343203872,1151329,1009296,0.8766
1790028923.6,0.8379,128.0,1.0,672.0,17133541093,8344425040,1335858,1221168,0.9141
1790028928.6,0.8362,127.0,0.0,672.0,17134691524,8345399152,1150431,974112,0.8467
1790028933.8,0.822,124.0,2.0,672.0,17135669098,8346171056,977574,771904,0.7896
1790028939.0,0.8326,125.0,0.0,672.0,17136811680,8347242368,1142582,1071312,0.9376
1790028944.2,0.8033,119.0,1.0,672.0,17138229496,8348554976,1417816,1312608,0.9258
1790028949.2,0.8235,124.0,2.0,672.0,17139347784,8349483856,1118288,928880,0.8306
1790028954.4,0.8322,126.0,1.0,672.0,17140432685,8350446912,1084901,963056,0.8877
1790028959.5,0.8382,126.0,3.0,672.0,17141667204,8351522784,1234519,1075872,0.8715
1790028964.6,0.8558,128.0,1.0,672.0,17142653506,8352341104,986302,818320,0.8297
1790028969.7,0.8447,127.0,1.0,672.0,17143898439,8353380464,1244933,1039360,0.8349
1790028975.1,0.8708,130.0,1.0,672.0,17145027688,8354322928,1129249,942464,0.8346
1790028981.1,0.8826,130.0,0.0,672.0,17146256552,8355459440,1228864,1136512,0.9248
1790028986.3,0.8921,132.0,0.0,672.0,17147112026,8356150496,855474,691056,0.8078
1790028991.4,0.8817,129.0,0.0,672.0,17148135471,8357082224,1023445,931728,0.9104
1790028996.8,0.9003,130.0,0.0,672.0,17148712143,8357449376,576672,367152,0.6367
1790029002.0,0.8615,123.0,0.0,672.0,17149874030,8358521536,1161887,1072160,0.9228
1790029007.1,0.8899,125.0,3.0,672.0,17150736712,8359146000,862682,624464,0.7239
1790029012.6,0.8619,123.0,1.0,672.0,17151718039,8359831216,981327,685216,0.6983
1790029017.7,0.8428,121.0,4.0,672.0,17152674932,8360601888,956893,770672,0.8054
1790029022.8,0.8934,126.0,0.0,672.0,17154437889,8362273408,1762957,1671520,0.9481
1790029028.1,0.9083,126.0,0.0,672.0,17155497569,8363231008,1059680,957600,0.9037
1790029033.2,0.8806,123.0,3.0,672.0,17156133684,8363574560,636115,343552,0.5401
1790029038.3,0.8824,125.0,2.0,672.0,17156996196,8364294304,862512,719744,0.8345
1790029043.5,0.875,122.0,2.0,672.0,17158264988,8365328784,1268792,1034480,0.8153
1790029048.6,0.9233,126.0,2.0,672.0,17159235035,8366041040,970047,712256,0.7342
1790029053.8,0.9273,126.0,2.0,672.0,17160073689,8366614208,838654,573168,0.6834
1790029059.0,0.9684,128.0,0.0,672.0,17161135698,8367362336,1062009,748128,0.7044
1790029064.1,0.9611,126.0,0.0,672.0,17161653920,8367714080,518222,351744,0.6788
1790029069.2,0.9407,125.0,2.0,672.0,17162596093,8368403232,942173,689152,0.7314
1790029074.4,0.955,126.0,1.0,672.0,17163364420,8368941872,768327,538640,0.7011
1790029079.5,0.9402,126.0,2.0,672.0,17164493524,8369778944,1129104,837072,0.7414
1790029084.8,0.9113,121.0,4.0,672.0,17165440859,8370683008,947335,904064,0.9543
1790029090.1,0.9524,127.0,3.0,672.0,17166817001,8371809392,1376142,1126384,0.8185
1790029095.2,0.9635,127.0,1.0,672.0,17167516764,8372280544,699763,471152,0.6733
1790029100.5,0.9425,127.0,2.0,672.0,17168341384,8372815536,824620,534992,0.6488
1790029105.7,0.9244,126.0,0.0,672.0,17169231694,8373439760,890310,624224,0.7011
1790029110.8,0.9364,125.0,1.0,672.0,17169835312,8373821184,603618,381424,0.6319
1790029115.9,0.9327,123.0,3.0,672.0,17170701967,8374417264,866655,596080,0.6878
1790029121.0,0.9299,127.0,0.0,672.0,17171439707,8374983872,737740,566608,0.768
1790029126.2,0.9245,123.0,3.0,672.0,17172087102,8375253248,647395,269376,0.4161
1790029131.4,0.9413,125.0,0.0,672.0,17173143985,8376155152,1056883,901904,0.8534
1790029136.6,0.9107,123.0,4.0,672.0,17173749492,8376392496,605507,237344,0.392
1790029141.7,0.9178,124.0,1.0,672.0,17174450382,8376907904,700890,515408,0.7354
1790029146.8,0.9282,125.0,0.0,672.0,17175212713,8377364960,762331,457056,0.5996
1790029151.8,0.9213,123.0,0.0,672.0,17175831311,8377788848,618598,423888,0.6852
1790029156.8,0.9441,125.0,2.0,672.0,17176269629,8377951120,438318,162272,0.3702
1790029162.1,0.9444,124.0,2.0,672.0,17176821136,8378139872,551507,188752,0.3422
1790029167.3,0.9352,125.0,2.0,672.0,17177431993,8378371088,610857,231216,0.3785
1790029172.3,0.9402,126.0,0.0,672.0,17177998995,8378667088,567002,296000,0.522
1790029177.4,0.9449,123.0,3.0,672.0,17178532952,8378981824,533957,314736,0.5894
1790029182.6,0.9323,123.0,2.0,672.0,17179262565,8379466800,729613,484976,0.6647
1790029187.6,0.9382,126.0,1.0,672.0,17179947567,8379765472,685002,298672,0.436
1790029192.9,0.9399,124.0,0.0,672.0,17180513697,8379978256,566130,212784,0.3759
1790029198.0,0.9236,122.0,3.0,672.0,17180983575,8380150768,469878,172512,0.3671
1790029203.1,0.9296,121.0,0.0,672.0,17181702244,8380695488,718669,544720,0.758
